GeographyCode,WP302EW0001,WP302EW0002,WP302EW0003,WP302EW0004,WP302EW0005,WP302EW0006
E06000053,1299,700,509,84,6,0
E06000054,222448,114694,87194,17796,2298,466
E06000055,74527,35238,31816,6490,843,140
E06000056,98170,47473,41175,8252,1032,238
E07000004,75310,38026,30388,5989,752,155
E07000005,35476,18715,13763,2631,301,66
E07000006,33210,17653,12793,2337,362,65
E07000007,80986,42238,31821,6063,718,146
E07000008,94190,51650,35072,6478,819,171
E07000009,31112,14929,13105,2654,368,56
E07000010,38156,15886,17502,4075,592,101
E07000011,77355,37706,32398,6266,828,157
E07000012,74393,38602,29492,5505,662,132
E07000026,40513,19944,16400,3556,530,83
E07000027,31302,15263,12671,2834,449,85
E07000028,56652,27712,23099,4992,732,117
E07000029,34640,17192,14045,2932,376,95
E07000030,28783,14100,11769,2529,331,54
E07000031,52022,26422,20752,4241,521,86
E07000032,55025,25002,23658,5450,785,130
E07000033,29342,12842,12842,3083,500,75
E07000034,51786,23973,21659,5263,761,130
E07000035,36196,17489,14899,3315,423,70
E07000036,42970,19242,18579,4462,562,125
E07000037,35791,17130,14712,3370,501,78
E07000038,31416,14269,13268,3332,457,90
E07000039,33980,16080,14458,2975,386,81
E07000040,53997,26829,21842,4655,560,111
E07000041,83220,43476,32300,6374,888,182
E07000042,30331,14413,12703,2796,353,66
E07000043,47704,24458,18527,4016,595,108
E07000044,43382,21923,17004,3760,575,120
E07000045,50050,24185,20430,4687,647,101
E07000046,24610,11675,10037,2483,352,63
E07000047,21560,10551,8643,2034,272,60
E07000048,20702,10261,8332,1805,265,39
E07000049,33977,16716,13913,2904,377,67
E07000050,30265,15348,11995,2535,329,58
E07000051,20220,9958,8205,1742,279,36
E07000052,52101,25611,21179,4570,640,101
E07000053,21283,9681,9157,2063,308,74
E07000061,43881,20808,18304,4088,568,113
E07000062,36828,16070,15956,4013,646,143
E07000063,40055,19306,16643,3483,533,90
E07000064,32090,14549,13782,3228,461,70
E07000065,55601,27297,22740,4770,692,102
E07000066,82802,39484,34636,7431,1054,197
E07000067,57625,27362,24404,5085,654,120
E07000068,33868,17162,13520,2730,372,84
E07000069,25388,11516,10979,2448,386,59
E07000070,82621,41604,33461,6602,785,169
E07000071,83688,41904,33802,6915,897,170
E07000072,47610,23142,19630,4114,609,115
E07000073,39814,18673,16890,3642,515,94
E07000074,23037,10784,9775,2166,266,46
E07000075,26660,12796,11041,2446,311,66
E07000076,44323,19538,19274,4719,641,151
E07000077,40286,20586,16070,3128,419,83
E07000078,63483,33250,24848,4670,601,114
E07000079,43391,22190,17232,3456,434,79
E07000080,30458,14323,12848,2832,394,61
E07000081,63844,31084,26366,5534,718,142
E07000082,50092,24293,20843,4290,557,109
E07000083,46180,23126,18700,3774,488,92
E07000084,84821,43259,34207,6404,806,145
E07000085,48214,24163,19654,3816,497,84
E07000086,64219,31959,26278,5128,734,120
E07000087,51004,25631,20726,4018,533,96
E07000088,26652,12512,11256,2512,307,65
E07000089,40079,22033,15005,2660,325,56
E07000090,46667,22474,19525,4026,548,94
E07000091,75620,37293,30751,6533,880,163
E07000092,49880,25914,19706,3731,450,79
E07000093,57602,28679,23501,4692,616,114
E07000094,75566,40460,28977,5337,671,121
E07000095,38867,18856,16205,3263,462,81
E07000096,66247,33604,26570,5213,712,148
E07000097,58180,29672,23259,4518,610,121
E07000098,46377,23595,18421,3776,499,86
E07000099,52441,25885,21570,4306,581,99
E07000100,61531,32193,24082,4541,602,113
E07000101,44839,21767,18595,3905,472,100
E07000102,35393,18278,14075,2646,317,77
E07000103,51469,25946,20668,4157,591,107
E07000104,68426,35259,27191,5146,693,137
E07000105,54618,25994,22857,4988,658,121
E07000106,66713,32298,27532,5922,811,150
E07000107,54972,27138,22511,4576,633,114
E07000108,43282,19917,18291,4300,643,131
E07000109,32015,14675,13744,3078,430,88
E07000110,76795,37708,31508,6535,884,160
E07000111,46402,23245,18615,3926,521,95
E07000112,44250,20452,18610,4402,643,143
E07000113,52439,23433,22844,5269,742,151
E07000114,47538,20999,20367,5191,834,147
E07000115,60126,28957,25092,5233,694,150
E07000116,54985,27931,21870,4506,578,100
E07000117,37472,17575,15544,3651,588,114
E07000118,41674,20622,16809,3635,523,85
E07000119,42934,21665,16953,3663,551,102
E07000120,31172,14342,13058,3184,488,100
E07000121,58893,29277,23642,5077,743,154
E07000122,34602,16188,14378,3406,534,96
E07000123,87088,43456,34935,7467,1027,203
E07000124,29815,15496,11600,2306,355,58
E07000125,24266,11251,10181,2430,340,64
E07000126,49069,24247,20000,4145,571,106
E07000127,49510,24596,19918,4226,641,129
E07000128,37730,18251,15297,3535,540,107
E07000129,51967,25902,21266,4169,508,122
E07000130,67856,32716,28296,5978,721,145
E07000131,42180,20674,17423,3560,426,97
E07000132,42514,19967,18107,3860,486,94
E07000133,22107,10769,9327,1791,186,34
E07000134,53711,25359,22844,4756,638,114
E07000135,21125,9575,9216,2017,266,51
E07000136,31094,13644,13858,3108,404,80
E07000137,51693,23073,22185,5508,782,145
E07000138,55050,26253,23147,4850,687,113
E07000139,45839,22477,18833,3970,470,89
E07000140,38861,16797,17668,3767,525,104
E07000141,57223,27180,23978,5250,695,120
E07000142,31075,14391,13319,2873,418,74
E07000143,50487,22443,22324,4915,680,125
E07000144,47264,21741,20493,4413,507,110
E07000145,39960,18183,17112,4003,562,100
E07000146,63513,29300,27196,6082,790,145
E07000147,39632,17726,17294,4031,492,89
E07000148,89224,43358,36897,7703,1090,176
E07000149,54367,26415,22677,4595,575,105
E07000150,30883,14286,13325,2835,363,74
E07000151,38650,18491,16314,3333,434,78
E07000152,31128,14355,13503,2847,366,57
E07000153,42290,19746,18278,3735,457,74
E07000154,118778,56155,50686,10355,1341,241
E07000155,34323,17108,14103,2735,325,52
E07000156,34351,15513,15025,3312,397,104
E07000163,27277,13874,10832,2216,295,60
E07000164,48641,25175,19011,3839,507,109
E07000165,82129,43408,31712,6107,766,136
E07000166,27802,15562,10056,1887,238,59
E07000167,25988,12517,10841,2286,286,58
E07000168,46119,21569,19328,4452,644,126
E07000169,35476,16804,15071,3093,426,82
E07000170,53093,24006,22535,5586,822,144
E07000171,51829,23508,22120,5350,719,132
E07000172,38833,18378,16120,3743,486,106
E07000173,36897,17138,15667,3532,463,97
E07000174,40987,18696,17393,4161,622,115
E07000175,50938,23867,21349,4902,693,127
E07000176,45942,23246,18298,3726,557,115
E07000177,71803,36265,29109,5578,735,116
E07000178,99423,54464,36951,6904,935,169
E07000179,61683,32674,23868,4483,566,92
E07000180,62253,33255,24008,4344,543,103
E07000181,48222,25469,18726,3543,416,68
E07000187,49267,23777,20384,4376,613,117
E07000188,46639,21583,19549,4747,646,114
E07000189,77724,38077,31759,6768,931,189
E07000190,59898,30197,23932,4953,704,112
E07000191,14929,6962,6259,1451,220,37
E07000192,38814,17500,16869,3810,538,97
E07000193,59222,28577,24687,5178,662,118
E07000194,44755,21389,18818,3928,514,106
E07000195,49280,23056,20777,4620,705,122
E07000196,36453,16903,15508,3472,479,91
E07000197,67178,32391,27931,5861,850,145
E07000198,34851,16551,14618,3175,413,94
E07000199,30315,14177,12848,2829,389,72
E07000200,35722,17099,14965,3171,407,80
E07000201,32904,16634,13326,2536,347,61
E07000202,71601,35066,29434,6060,890,151
E07000203,41665,20306,17269,3575,444,71
E07000204,58400,28864,23960,4831,597,148
E07000205,54351,26751,22302,4644,541,113
E07000206,44953,20279,19599,4364,580,131
E07000207,56375,30429,21314,4026,507,99
E07000208,30223,15740,11736,2393,300,54
E07000209,77684,42353,29412,5168,640,111
E07000210,46437,24512,17963,3419,463,80
E07000211,67831,34890,26960,5166,684,131
E07000212,49802,26851,19025,3387,466,73
E07000213,41012,20876,16467,3130,439,100
E07000214,43918,23636,16864,2954,375,89
E07000215,33114,16401,13523,2731,384,75
E07000216,52153,27551,20157,3869,485,91
E07000217,44230,22777,17568,3377,425,83
E07000218,39558,18602,16823,3558,491,84
E07000219,45300,20634,19360,4545,651,110
E07000220,47452,22624,20047,4238,462,81
E07000221,63398,32367,25100,5137,659,135
E07000222,77726,39238,31268,6276,785,159
E07000223,22179,10173,9487,2176,282,61
E07000224,49092,22556,20901,4777,729,129
E07000225,61226,31364,24280,4820,633,129
E07000226,79370,40416,32083,5863,869,139
E07000227,56174,28411,22688,4413,537,125
E07000228,60745,31442,23989,4546,625,143
E07000229,49415,23738,20613,4359,595,110
E07000234,39055,19733,15507,3281,455,79
E07000235,31181,15082,12809,2830,389,71
E07000236,39031,18558,16302,3558,524,89
E07000237,53214,26080,21800,4638,570,126
E07000238,54092,26316,22250,4780,616,130
E07000239,37393,17483,15578,3722,525,85
E08000001,114946,54595,47566,10850,1636,299
E08000002,73437,35907,29554,6781,1003,192
E08000003,319745,166580,121481,26432,4362,890
E08000004,89047,41936,36329,9034,1471,277
E08000005,79184,36581,32940,8045,1349,269
E08000006,113752,55975,45440,10369,1676,292
E08000007,125903,62284,50337,11283,1702,297
E08000008,79528,36346,33477,8246,1235,224
E08000009,129951,68210,49637,10150,1632,322
E08000010,117725,57098,47811,10907,1631,278
E08000011,57202,28701,22292,5077,930,202
E08000012,235801,122759,89042,19865,3391,744
E08000013,64928,31600,26076,6101,942,209
E08000014,102777,51391,40530,9111,1448,297
E08000015,112249,56489,44020,9803,1629,308
E08000016,82962,37186,35711,8511,1305,249
E08000017,127557,59454,53820,12063,1867,353
E08000018,107716,49569,45876,10418,1541,312
E08000019,261340,127911,105969,23359,3473,628
E08000020,91882,42799,38613,8953,1242,275
E08000021,169652,86628,65986,14454,2154,430
E08000022,84221,40107,34819,7808,1257,230
E08000023,50317,23325,21091,4950,761,190
E08000024,126089,58771,52886,12238,1823,371
E08000025,488095,231547,200672,47146,7195,1535
E08000026,148246,71670,61064,13232,1923,357
E08000027,123197,55394,53215,12519,1759,310
E08000028,125467,53707,55584,13822,1974,380
E08000029,99967,49391,40486,8666,1183,241
E08000030,105000,45719,46304,11008,1668,301
E08000031,108004,48488,46535,11084,1554,343
E08000032,213515,98796,90441,20717,3028,533
E08000033,94704,45948,38804,8531,1193,228
E08000034,166882,78131,69870,16151,2294,436
E08000035,409815,206752,163562,33599,4914,988
E08000036,151142,69562,64109,14859,2195,417
E09000001,356706,221762,117367,14980,2047,550
E09000002,58444,25792,25203,6220,1020,209
E09000003,129112,64545,51424,11081,1695,367
E09000004,74670,34889,31681,6927,970,203
E09000005,115221,54233,48316,10592,1703,377
E09000006,111405,54775,45425,9646,1297,262
E09000007,272367,153453,97918,17603,2704,689
E09000008,120398,56622,50461,11389,1576,350
E09000009,132461,63526,55041,11737,1761,396
E09000010,105493,49094,44253,10241,1534,371
E09000011,86199,41535,35095,8059,1239,271
E09000012,103604,55007,38755,8190,1332,320
E09000013,124530,70538,44397,8003,1283,309
E09000014,81001,38151,33434,7802,1284,330
E09000015,73804,34748,31454,6479,937,186
E09000016,84726,39452,36157,7808,1118,191
E09000017,164963,82168,67265,13321,1843,366
E09000018,128880,65259,51898,10000,1451,272
E09000019,167159,91804,61163,11853,1857,482
E09000020,116546,65815,41488,7679,1261,303
E09000021,72450,37795,28312,5533,685,125
E09000022,137664,72848,51785,10886,1704,441
E09000023,78895,37879,32024,7516,1176,300
E09000024,75223,37514,30460,6167,908,174
E09000025,103887,48319,43602,9975,1614,377
E09000026,78894,36463,33446,7642,1102,241
E09000027,78387,42633,29478,5332,768,176
E09000028,183496,100105,67715,13207,1992,477
E09000029,72286,34788,30181,6283,860,174
E09000030,234726,133879,83930,14129,2213,575
E09000031,79221,36093,33800,7845,1221,262
E09000032,117924,62406,44615,9136,1442,325
E09000033,579739,338813,202361,32328,5009,1228
W06000001,24405,13301,8853,1926,271,54
W06000002,57626,32270,20229,4400,605,122
W06000003,45201,23458,17253,3800,570,120
W06000004,41357,21709,15440,3553,549,106
W06000005,72020,36964,28223,5905,794,134
W06000006,60837,30580,24310,5125,705,117
W06000008,32426,16897,11984,2933,510,102
W06000009,52951,26617,20638,4838,701,157
W06000010,73870,37721,27970,6853,1079,247
W06000011,110469,59944,39556,9102,1537,330
W06000012,51434,26831,18869,4658,882,194
W06000013,60466,31736,22517,5194,854,165
W06000014,45574,23323,17473,4050,594,134
W06000015,199702,105670,74497,16353,2653,529
W06000016,82073,41306,31458,7689,1352,268
W06000018,58647,28261,23404,5863,923,196
W06000019,22021,10613,8833,2104,404,67
W06000020,38863,18808,15784,3569,576,126
W06000021,38064,18605,15342,3452,565,100
W06000022,73360,35794,29648,6628,1064,226
W06000023,60142,29144,24328,5694,816,160
W06000024,24856,12605,9351,2393,411,96
E02000001,356706,221762,117367,14980,2047,550
E02000002,1130,476,512,114,25,3
E02000003,3620,1608,1548,414,37,13
E02000004,1508,676,644,164,21,3
E02000005,1545,726,626,159,27,7
E02000007,3664,1564,1587,423,81,9
E02000008,2356,979,1074,253,44,6
E02000009,1168,524,498,123,21,2
E02000010,1504,662,667,141,26,8
E02000011,2785,1268,1159,306,43,9
E02000012,1900,891,801,180,22,6
E02000013,1289,531,584,149,21,4
E02000014,1836,776,808,214,36,2
E02000015,1333,627,544,137,21,4
E02000016,7136,3345,2951,699,115,26
E02000017,1704,806,704,152,32,10
E02000018,1206,507,545,128,17,9
E02000019,4262,1909,1825,436,74,18
E02000020,4988,2064,2211,599,95,19
E02000021,6053,2538,2685,677,124,29
E02000022,2425,1130,992,252,45,6
E02000023,2634,1198,1111,270,46,9
E02000024,5670,2884,2218,472,83,13
E02000025,1870,895,743,194,29,9
E02000026,1104,593,406,85,17,3
E02000027,4111,2132,1572,345,58,4
E02000028,2254,1104,906,206,27,11
E02000029,2668,1272,1092,263,34,7
E02000030,2495,1284,962,209,35,5
E02000031,3976,2002,1601,312,52,9
E02000032,1432,715,573,124,14,6
E02000033,3970,1879,1669,360,53,9
E02000034,2040,1007,824,181,24,4
E02000035,2504,1271,987,194,45,7
E02000036,2026,949,865,179,24,9
E02000037,2010,934,851,187,33,5
E02000038,2799,1401,1125,225,42,6
E02000039,2855,1517,1038,255,36,9
E02000040,4021,2106,1510,354,43,8
E02000041,4515,2215,1808,412,69,11
E02000042,4995,2501,1956,451,68,19
E02000043,1202,620,476,91,14,1
E02000044,1683,775,709,164,29,6
E02000045,2481,1183,1015,238,42,3
E02000046,3090,1537,1238,268,35,12
E02000047,3399,1556,1465,318,51,9
E02000048,2281,1189,902,163,21,6
E02000049,2586,1230,1066,234,43,13
E02000050,3095,1599,1204,242,40,10
E02000051,4881,2576,1860,373,63,9
E02000052,3361,1716,1309,292,36,8
E02000053,6353,3101,2625,541,72,14
E02000054,2394,1230,949,186,21,8
E02000055,5792,2931,2282,491,75,13
E02000056,2679,1390,1057,198,24,10
E02000057,2107,1109,811,157,21,9
E02000058,3616,1887,1373,298,43,15
E02000059,3873,1772,1676,355,59,11
E02000060,2819,1497,1053,232,32,5
E02000061,3668,1855,1424,323,49,17
E02000062,7652,3786,3092,647,105,22
E02000063,1338,637,557,118,18,8
E02000064,1447,708,575,144,16,4
E02000065,2874,1425,1181,226,35,7
E02000066,1626,764,690,146,21,5
E02000067,3267,1453,1449,308,49,8
E02000068,4939,2233,2110,513,65,18
E02000069,1292,562,578,129,20,3
E02000070,1027,476,422,104,22,3
E02000071,2018,871,912,208,24,3
E02000072,3509,1535,1519,385,53,17
E02000073,1520,718,661,119,19,3
E02000074,1554,693,678,149,26,8
E02000075,1366,646,582,118,18,2
E02000077,1408,653,583,156,13,3
E02000078,1137,519,498,101,17,2
E02000079,8226,3869,3445,791,98,23
E02000080,3239,1508,1376,311,36,8
E02000081,2584,1250,1094,211,23,6
E02000082,2001,908,853,206,26,8
E02000083,5895,2664,2611,539,70,11
E02000084,2139,1036,889,171,36,7
E02000085,1760,867,713,140,37,3
E02000086,1472,736,588,133,12,3
E02000087,2112,1025,865,191,30,1
E02000088,1175,566,494,102,12,1
E02000089,1204,536,501,145,19,3
E02000090,6096,2925,2569,516,72,14
E02000091,3887,1886,1616,332,47,6
E02000092,4545,2211,1858,397,58,21
E02000093,3553,1602,1560,324,61,6
E02000094,3622,1689,1585,290,52,6
E02000095,2888,1289,1268,283,39,9
E02000096,1926,911,826,155,28,6
E02000097,2024,863,909,208,35,9
E02000098,1861,938,745,147,21,10
E02000099,2772,1242,1214,261,46,9
E02000100,6410,3360,2511,468,57,14
E02000101,3090,1370,1325,327,59,9
E02000102,1708,715,773,179,36,5
E02000103,4955,2248,2161,457,76,13
E02000104,1811,831,798,156,20,6
E02000105,2006,907,892,172,28,7
E02000106,3903,1734,1680,408,64,17
E02000107,2721,1303,1110,243,58,7
E02000108,823,375,369,64,8,7
E02000109,8614,4082,3610,779,117,26
E02000110,1356,708,514,111,15,8
E02000111,3337,1560,1416,301,48,12
E02000112,5163,2363,2234,469,91,6
E02000113,3579,1552,1578,392,42,15
E02000114,2261,1113,914,191,36,7
E02000115,1414,747,509,119,30,9
E02000116,3123,1419,1300,341,58,5
E02000117,2801,1181,1245,308,49,18
E02000118,3321,1545,1408,315,46,7
E02000119,11908,5790,4900,1010,165,43
E02000120,2756,1397,1048,265,40,6
E02000121,5186,2303,2255,552,68,8
E02000122,1987,982,816,150,29,10
E02000123,4155,1918,1704,446,71,16
E02000124,4590,2491,1699,339,47,14
E02000125,1928,973,772,153,26,4
E02000126,1669,732,668,209,37,23
E02000127,1415,636,573,177,22,7
E02000128,1913,985,762,145,17,4
E02000130,3516,1656,1432,377,47,4
E02000131,2056,991,843,192,24,6
E02000132,4125,2043,1688,329,53,12
E02000133,2512,1330,988,166,26,2
E02000134,6331,3168,2525,538,84,16
E02000135,2342,1028,969,283,52,10
E02000136,1795,851,749,171,21,3
E02000137,1372,668,572,109,21,2
E02000138,2203,1087,903,190,20,3
E02000139,1983,954,826,180,20,3
E02000140,3070,1420,1299,302,37,12
E02000141,1472,645,673,129,23,2
E02000142,4012,1984,1637,324,60,7
E02000144,14700,7650,5752,1130,136,32
E02000145,3359,1522,1461,326,38,12
E02000146,3044,1526,1215,267,30,6
E02000147,1250,633,513,91,12,1
E02000148,2010,1020,797,162,27,4
E02000149,3243,1449,1412,321,50,11
E02000150,3044,1547,1213,240,36,8
E02000151,1177,569,499,92,17,0
E02000152,1831,859,751,191,23,7
E02000153,1181,571,494,95,18,3
E02000154,5507,2659,2287,493,61,7
E02000155,1112,499,492,98,19,4
E02000156,3703,1799,1570,293,35,6
E02000157,1459,711,618,117,10,3
E02000158,1093,517,452,108,15,1
E02000159,3078,1555,1218,254,41,10
E02000160,2798,1356,1173,236,28,5
E02000161,1477,725,600,139,9,4
E02000162,4595,2439,1769,347,32,8
E02000163,2866,1433,1119,264,42,8
E02000165,1541,733,654,132,18,4
E02000166,3101,1614,1149,270,56,12
E02000167,3845,2150,1362,276,44,13
E02000168,5494,2985,2024,425,44,16
E02000169,2121,1212,729,159,15,6
E02000170,2264,1215,851,169,23,6
E02000171,2314,1235,851,181,42,5
E02000172,4975,2458,1920,507,69,21
E02000173,10765,6084,3819,715,117,30
E02000174,3056,1610,1172,215,43,16
E02000175,3949,2056,1529,310,49,5
E02000176,2045,1143,752,121,25,4
E02000177,2355,1223,874,190,58,10
E02000178,2190,1111,828,205,32,14
E02000179,1483,772,570,117,22,2
E02000180,2218,1091,885,199,32,11
E02000181,1281,716,444,95,17,9
E02000182,3585,1898,1385,249,45,8
E02000183,7108,4023,2549,458,67,11
E02000184,9940,5342,3800,655,109,34
E02000185,2541,1217,1015,248,46,15
E02000186,24140,13552,8766,1521,237,64
E02000187,7794,3795,3123,754,104,18
E02000188,7915,4186,3046,564,99,20
E02000189,5189,2804,1875,428,63,19
E02000190,10143,5281,3893,797,143,29
E02000191,40890,24320,14043,2140,317,70
E02000192,30890,17936,10875,1765,248,66
E02000193,68776,40424,23789,3870,538,155
E02000194,2849,1358,1191,237,48,15
E02000195,1668,802,676,166,20,4
E02000196,1815,856,736,192,28,3
E02000197,1821,849,775,169,24,4
E02000198,1685,704,755,200,21,5
E02000199,1228,538,531,142,10,7
E02000200,2227,1029,943,214,31,10
E02000201,1952,906,776,239,23,8
E02000202,1368,583,609,148,22,6
E02000203,2770,1233,1160,313,53,11
E02000204,1843,813,794,203,28,5
E02000206,3798,1662,1655,409,55,17
E02000207,1915,877,818,176,36,8
E02000208,4799,2331,1948,430,78,12
E02000209,2203,987,961,212,37,6
E02000210,1366,588,596,159,21,2
E02000211,1348,618,578,133,17,2
E02000212,3705,1667,1603,376,53,6
E02000213,7010,3340,2883,668,96,23
E02000214,1451,696,599,143,10,3
E02000215,3623,1785,1472,307,41,18
E02000216,1241,587,525,112,14,3
E02000217,7813,3755,3206,740,91,21
E02000218,1025,475,425,109,13,3
E02000219,2001,957,816,195,28,5
E02000220,16751,8091,6983,1459,180,38
E02000221,5359,2596,2230,458,63,12
E02000222,2780,1331,1162,243,38,6
E02000223,756,347,316,73,17,3
E02000224,2862,1401,1183,228,44,6
E02000225,1529,662,688,157,18,4
E02000226,2126,1051,859,175,35,6
E02000227,2109,971,919,197,16,6
E02000228,1584,789,631,144,17,3
E02000229,1626,686,725,191,21,3
E02000230,4058,1941,1710,339,51,17
E02000231,2065,1008,837,187,26,7
E02000232,1325,638,556,111,18,2
E02000233,1455,638,661,131,23,2
E02000234,3422,1712,1354,305,38,13
E02000235,1688,821,700,143,21,3
E02000236,1554,709,674,153,15,3
E02000237,1712,783,732,171,22,4
E02000238,3474,1680,1445,293,42,14
E02000239,1738,793,780,139,23,3
E02000240,1669,778,689,167,29,6
E02000241,2092,929,949,184,26,4
E02000242,2830,1264,1250,280,29,7
E02000243,6078,2656,2766,570,71,15
E02000244,4066,1774,1846,370,67,9
E02000245,1215,516,544,132,21,2
E02000246,1180,510,524,118,19,9
E02000247,1933,912,794,200,22,5
E02000248,6059,3168,2401,419,57,14
E02000249,3086,1302,1391,336,48,9
E02000250,1306,654,526,107,16,3
E02000251,1130,518,499,98,12,3
E02000252,17880,8852,7225,1518,230,55
E02000253,1465,672,624,141,20,8
E02000254,1281,549,573,134,20,5
E02000255,1954,930,839,146,34,5
E02000256,6327,3104,2569,567,74,13
E02000257,7657,4021,2907,614,90,25
E02000258,1106,517,449,120,16,4
E02000259,1584,725,682,160,16,1
E02000260,3412,1563,1442,342,57,8
E02000261,2402,1226,907,212,43,14
E02000262,3686,1804,1486,318,63,15
E02000263,2398,988,1085,278,41,6
E02000264,2527,1273,1006,216,25,7
E02000265,3733,1827,1500,341,52,13
E02000266,9321,4285,3976,895,135,30
E02000267,2928,1413,1209,266,35,5
E02000268,3347,1683,1377,233,46,8
E02000269,3471,1862,1342,232,27,8
E02000270,4009,1848,1685,396,59,21
E02000271,3414,1841,1288,241,39,5
E02000272,2075,1021,844,186,21,3
E02000274,3798,1683,1688,358,58,11
E02000275,1715,762,721,184,38,10
E02000276,1696,858,665,146,19,8
E02000277,1148,497,497,132,17,5
E02000278,1305,541,575,166,21,2
E02000279,3655,1696,1548,353,44,14
E02000280,3308,1624,1338,291,43,12
E02000281,2220,992,1001,190,33,4
E02000282,1841,824,759,226,26,6
E02000283,1627,700,695,197,26,9
E02000284,3451,1671,1433,294,43,10
E02000285,3617,1672,1578,313,49,5
E02000286,6148,3190,2371,504,67,16
E02000287,3046,1545,1217,244,33,7
E02000288,6738,3027,2873,700,109,29
E02000289,1156,541,481,114,19,1
E02000290,6847,3015,3039,653,110,30
E02000291,4711,2288,1885,466,63,9
E02000292,3546,1593,1525,353,65,10
E02000293,1121,567,444,96,11,3
E02000294,1671,773,713,158,20,7
E02000295,1857,909,750,168,26,4
E02000296,6305,3125,2593,508,66,13
E02000297,2047,912,863,223,38,11
E02000298,2148,1083,846,181,32,6
E02000299,1970,823,861,234,41,11
E02000300,1341,607,575,127,19,13
E02000301,2111,861,931,259,44,16
E02000302,1751,835,719,154,37,6
E02000303,2026,868,880,230,39,9
E02000304,1528,746,604,153,21,4
E02000305,2843,1371,1173,251,33,15
E02000306,5044,2239,2149,557,87,12
E02000307,1471,687,613,144,24,3
E02000308,2581,1171,1113,260,26,11
E02000309,3933,1724,1698,422,74,15
E02000311,2216,961,974,238,33,10
E02000312,2795,1320,1171,253,38,13
E02000313,784,393,307,67,15,2
E02000314,6011,2796,2524,578,90,23
E02000315,1545,730,626,157,23,9
E02000316,11386,5310,4764,1097,184,31
E02000317,1386,671,558,127,21,9
E02000318,2703,1341,1059,270,28,5
E02000319,2717,1266,1135,269,38,9
E02000320,1208,536,522,133,11,6
E02000321,1476,652,627,169,24,4
E02000323,2744,1235,1181,275,46,7
E02000324,1735,782,749,165,31,8
E02000326,1158,556,469,111,19,3
E02000327,6047,3202,2236,503,85,21
E02000328,1303,656,510,111,24,2
E02000329,1012,462,431,104,12,3
E02000331,1334,635,548,129,19,3
E02000332,1814,864,772,151,23,4
E02000333,1990,1051,760,161,11,7
E02000334,1095,506,453,118,14,4
