GeographyCode,WP601EW0001,WP601EW0002,WP601EW0003,WP601EW0004,WP601EW0005,WP601EW0006,WP601EW0007,WP601EW0008
E07000228,60745,13907,32752,398,1843,3560,5953,2332
E07000229,49415,12360,27275,237,1200,2265,4057,2021
E07000234,39055,9126,21399,288,1310,1872,3558,1502
E07000235,31181,6833,16081,255,1285,2066,3538,1123
E07000236,39031,8344,24280,170,874,1291,2693,1379
E07000237,53214,13218,31557,206,1117,1608,3116,2392
E07000238,54092,11306,30820,346,1822,2711,5236,1851
E07000239,37393,9684,19688,260,1247,1787,3458,1269
E08000001,114946,27612,67057,809,3191,4046,7595,4636
E08000002,73437,17776,41208,505,2207,3047,5628,3066
E08000003,319745,58333,213761,1340,6667,7293,13613,18738
E08000004,89047,20171,53441,587,2538,2933,5983,3394
E08000005,79184,17343,47746,605,2333,2936,5809,2412
E08000006,113752,22625,75116,479,2492,2725,6505,3810
E08000007,125903,28600,73480,753,3653,4842,9664,4911
E08000008,79528,17955,47183,476,2302,2708,6378,2526
E08000009,129951,24621,82456,597,2927,4139,7583,7628
E08000010,117725,28107,68025,700,3502,3920,9030,4441
E08000011,57202,12700,36689,237,1223,1350,3426,1577
E08000012,235801,54448,145177,973,5164,5063,11403,13573
E08000013,64928,15415,39439,344,1708,1767,4065,2190
E08000014,102777,27341,55195,600,3026,3893,7892,4830
E08000015,112249,30584,61390,704,3387,4318,7807,4059
E08000016,82962,21164,46661,534,2590,2836,6741,2436
E08000017,127557,33050,74631,754,3324,3880,8071,3847
E08000018,107716,26836,64221,609,2786,3177,7128,2959
E08000019,261340,61686,153820,1272,5758,7922,15540,15342
E08000020,91882,20676,58035,454,2192,2068,4560,3897
E08000021,169652,36034,109168,664,3477,3354,6656,10299
E08000022,84221,19846,51942,368,1918,2227,4758,3162
E08000023,50317,13140,29787,293,1310,1271,2820,1696
E08000024,126089,29658,80199,623,2699,2809,5516,4585
E08000025,488095,106198,303837,3033,11473,15305,26224,22025
E08000026,148246,32100,92913,593,2900,3796,7785,8159
E08000027,123197,31765,69941,689,3313,4196,8878,4415
E08000028,125467,27249,80500,700,3206,3260,6955,3597
E08000029,99967,22012,61210,544,2135,3494,6473,4099
E08000030,105000,25234,62784,649,2796,3090,6940,3507
E08000031,108004,26040,66002,542,2618,2697,5888,4217
E08000032,213515,51830,123005,1595,5909,8390,14326,8460
E08000033,94704,21554,55695,625,2783,3655,7045,3347
E08000034,166882,40814,92869,1289,5226,6813,12616,7255
E08000035,409815,82275,261020,2010,9456,11355,22846,20853
E08000036,151142,35830,93494,788,3820,4085,8801,4324
E09000001,356706,21552,304208,471,10139,1758,12571,6007
E09000002,58444,11851,33592,458,1914,2829,5664,2136
E09000003,129112,27111,61527,1347,5246,11153,16519,6209
E09000004,74670,17720,38616,469,2521,3585,8829,2930
E09000005,115221,21089,61616,1234,4646,7577,13895,5164
E09000006,111405,26790,56220,857,3687,6723,12365,4763
E09000007,272367,32549,193413,1303,8374,8287,18665,9776
E09000008,120398,26164,64828,970,3883,6712,12406,5435
E09000009,132461,22577,75084,1177,4659,8424,14954,5586
E09000010,105493,23579,55196,980,3525,6520,10880,4813
E09000011,86199,18396,46538,655,2707,4546,8673,4684
E09000012,103604,18063,57554,1021,3902,6383,12735,3946
E09000013,124530,16147,82567,774,3326,5343,10037,6336
E09000014,81001,17014,36277,1000,3202,7648,11982,3878
E09000015,73804,16068,35537,794,3279,5323,9377,3426
E09000016,84726,21053,43569,662,2840,4046,9423,3133
E09000017,164963,28934,110136,762,3374,4766,10180,6811
E09000018,128880,18996,84873,771,3119,5477,10608,5036
E09000019,167159,22671,115291,861,4844,5596,12051,5845
E09000020,116546,16510,75327,888,3781,5785,9077,5178
E09000021,72450,14574,39873,515,1928,3868,6438,5254
E09000022,137664,20456,86523,851,3518,7139,13795,5382
E09000023,78895,16732,38803,766,2698,5749,10008,4139
E09000024,75223,13975,41225,588,2560,4845,8789,3241
E09000025,103887,20595,55629,1053,3496,5670,10487,6957
E09000026,78894,18654,37631,853,3181,5469,9271,3835
E09000027,78387,13914,42737,659,2753,6021,8855,3448
E09000028,183496,24919,126099,878,4975,6393,13451,6781
E09000029,72286,15863,38807,528,2250,3853,8043,2942
E09000030,234726,25912,178052,1075,4789,4828,12754,7316
E09000031,79221,16683,37400,924,3172,6116,11254,3672
E09000032,117924,19493,67215,968,3982,7696,13216,5354
E09000033,579739,59133,446971,2078,15188,9544,24592,22233
W06000001,24405,5262,13273,234,1078,1110,2593,855
W06000002,57626,13644,30265,375,2480,2335,5764,2763
W06000003,45201,11526,23047,331,1896,1924,4602,1875
W06000004,41357,10100,22857,281,1574,1496,3562,1487
W06000005,72020,14295,46341,365,1879,2028,4754,2358
W06000006,60837,14582,36511,305,1657,1703,3683,2396
W06000008,32426,6862,15156,213,1606,1754,4673,2162
W06000009,52951,13227,26270,446,2598,2646,6044,1720
W06000010,73870,17177,39534,480,2841,2931,8078,2829
W06000011,110469,28000,64823,568,2728,2878,5553,5919
W06000012,51434,12166,31811,272,1322,1337,2943,1583
W06000013,60466,14410,37403,281,1524,1562,3341,1945
W06000014,45574,11052,25261,325,1569,1977,3738,1652
W06000015,199702,40912,127551,776,4187,4769,9496,12011
W06000016,82073,20221,47810,423,2469,2163,5763,3224
W06000018,58647,13654,35569,318,1857,1590,3862,1797
W06000019,22021,5580,13124,135,660,523,1328,671
W06000020,38863,9174,24367,202,938,839,2030,1313
W06000021,38064,8837,20144,280,1461,1953,3950,1439
W06000022,73360,16976,46651,316,1597,1623,3399,2798
W06000023,60142,13188,28606,489,3031,3356,9587,1885
W06000024,24856,6183,15265,115,593,498,1242,960
E02000001,356706,21552,304208,471,10139,1758,12571,6007
E02000002,1130,286,451,11,58,100,177,47
E02000003,3620,764,2001,33,115,171,377,159
E02000004,1508,361,757,7,50,66,202,65
E02000005,1545,384,649,21,85,104,244,58
E02000007,3664,948,2159,21,59,133,226,118
E02000008,2356,517,1231,16,84,166,282,60
E02000009,1168,267,393,23,79,142,218,46
E02000010,1504,321,731,10,44,115,246,37
E02000011,2785,515,1714,17,88,109,275,67
E02000012,1900,397,900,15,75,169,273,71
E02000013,1289,335,509,11,58,113,216,47
E02000014,1836,534,722,19,88,143,262,68
E02000015,1333,344,602,9,64,87,172,55
E02000016,7136,1564,4531,43,181,186,305,326
E02000017,1704,340,760,26,70,160,238,110
E02000018,1206,223,527,17,59,97,249,34
E02000019,4262,770,2821,16,85,119,277,174
E02000020,4988,929,3162,34,169,190,371,133
E02000021,6053,544,4805,20,99,124,332,129
E02000022,2425,488,1356,28,81,125,225,122
E02000023,2634,450,1691,27,96,60,209,101
E02000024,5670,1392,2646,55,270,379,578,350
E02000025,1870,428,670,16,120,230,350,56
E02000026,1104,197,401,23,39,170,241,33
E02000027,4111,939,2432,20,49,219,297,155
E02000028,2254,334,1287,16,72,179,292,74
E02000029,2668,565,1219,27,138,242,382,95
E02000030,2495,484,1164,40,79,263,364,101
E02000031,3976,842,2121,46,197,243,355,172
E02000032,1432,265,522,18,64,194,305,64
E02000033,3970,734,2402,26,115,220,366,107
E02000034,2040,463,796,26,91,242,353,69
E02000035,2504,557,1121,31,121,254,327,93
E02000036,2026,409,661,25,85,271,447,128
E02000037,2010,543,660,25,80,235,386,81
E02000038,2799,518,1194,41,142,346,464,94
E02000039,2855,599,1308,40,169,266,345,128
E02000040,4021,688,2126,23,65,228,711,180
E02000041,4515,1057,2085,51,242,331,497,252
E02000042,4995,1210,2233,46,232,343,597,334
E02000043,1202,165,404,17,66,224,293,33
E02000044,1683,350,679,20,99,177,301,57
E02000045,2481,490,1061,23,96,271,452,88
E02000046,3090,650,1382,29,212,274,412,131
E02000047,3399,804,1594,45,124,258,457,117
E02000048,2281,482,793,23,101,364,418,100
E02000049,2586,642,1331,21,47,146,258,141
E02000050,3095,609,1517,24,100,273,431,141
E02000051,4881,1010,2610,52,214,386,447,162
E02000052,3361,564,1632,27,177,306,530,125
E02000053,6353,734,4509,32,166,247,481,184
E02000054,2394,472,1052,34,83,256,339,158
E02000055,5792,1266,2943,52,259,419,631,222
E02000056,2679,576,1179,40,104,365,344,71
E02000057,2107,522,760,24,90,280,318,113
E02000058,3616,819,1497,57,167,413,535,128
E02000059,3873,722,2095,33,137,282,435,169
E02000060,2819,700,1052,52,138,360,426,91
E02000061,3668,768,1648,43,211,384,435,179
E02000062,7652,2040,3680,50,145,234,386,1117
E02000063,1338,218,494,34,62,192,286,52
E02000064,1447,284,567,20,78,187,247,64
E02000065,2874,470,1862,13,70,124,262,73
E02000066,1626,279,915,12,60,104,199,57
E02000067,3267,658,1900,19,116,118,343,113
E02000068,4939,1038,3108,23,123,114,334,199
E02000069,1292,311,629,7,49,80,188,28
E02000070,1027,218,351,8,53,107,265,25
E02000071,2018,528,959,9,69,123,275,55
E02000072,3509,562,2273,27,118,107,330,92
E02000073,1520,352,470,17,87,193,364,37
E02000074,1554,282,885,11,54,82,199,41
E02000075,1366,300,534,8,53,135,295,41
E02000077,1408,329,573,11,54,109,285,47
E02000078,1137,301,399,9,44,102,264,18
E02000079,8226,2532,4311,40,186,160,398,599
E02000080,3239,998,1299,32,156,154,414,186
E02000081,2584,511,1592,11,54,108,242,66
E02000082,2001,477,859,13,67,131,397,57
E02000083,5895,1436,3294,35,209,147,486,288
E02000084,2139,513,831,18,92,188,439,58
E02000085,1760,426,660,14,83,116,390,71
E02000086,1472,393,550,14,57,126,281,51
E02000087,2112,515,918,21,124,160,305,69
E02000088,1175,227,393,18,42,120,336,39
E02000089,1204,299,380,10,51,127,303,34
E02000090,6096,1776,3201,28,201,170,417,303
E02000091,3887,983,2107,16,104,185,364,128
E02000092,4545,836,3082,16,103,115,254,139
E02000093,3553,842,1546,35,166,256,510,198
E02000094,3622,783,1753,39,149,244,484,170
E02000095,2888,647,1251,33,147,232,440,138
E02000096,1926,451,755,31,109,197,298,85
E02000097,2024,359,794,27,140,197,440,67
E02000098,1861,428,706,23,89,193,356,66
E02000099,2772,642,1094,31,168,200,499,138
E02000100,6410,1232,4317,35,102,169,322,233
E02000101,3090,800,1478,37,95,185,317,178
E02000102,1708,281,785,22,86,170,297,67
E02000103,4955,696,3059,37,195,243,529,196
E02000104,1811,323,930,17,52,150,257,82
E02000105,2006,435,789,33,127,210,273,139
E02000106,3903,673,1984,50,188,279,592,137
E02000107,2721,472,1056,37,145,307,548,156
E02000108,823,115,263,19,47,118,208,53
E02000109,8614,1339,5613,56,309,206,604,487
E02000110,1356,203,422,27,83,212,337,72
E02000111,3337,674,1852,42,120,170,313,166
E02000112,5163,1040,2985,32,171,191,394,350
E02000113,3579,763,2180,24,72,118,222,200
E02000114,2261,445,856,35,109,254,440,122
E02000115,1414,229,459,30,52,241,335,68
E02000116,3123,557,1632,55,135,239,367,138
E02000117,2801,558,1407,35,109,239,353,100
E02000118,3321,506,1896,39,193,174,375,138
E02000119,11908,1394,9332,53,241,182,447,259
E02000120,2756,535,1106,40,114,322,489,150
E02000121,5186,933,3161,51,225,183,381,252
E02000122,1987,355,753,30,91,268,425,65
E02000123,4155,949,1726,71,192,378,652,187
E02000124,4590,676,2425,50,240,383,659,157
E02000125,1928,277,579,43,108,330,524,67
E02000126,1669,477,672,15,77,137,208,83
E02000127,1415,349,565,15,51,120,270,45
E02000128,1913,498,714,28,118,161,307,87
E02000130,3516,693,1903,38,141,225,410,106
E02000131,2056,419,804,32,87,210,427,77
E02000132,4125,991,2136,32,152,180,378,256
E02000133,2512,656,1098,27,88,236,327,80
E02000134,6331,1453,3494,48,209,282,508,337
E02000135,2342,537,1120,22,103,154,323,83
E02000136,1795,487,901,16,59,105,180,47
E02000137,1372,254,569,15,51,180,271,32
E02000138,2203,512,982,22,92,184,310,101
E02000139,1983,440,856,20,93,173,343,58
E02000140,3070,603,1897,25,83,107,277,78
E02000141,1472,259,662,7,69,133,312,30
E02000142,4012,1074,2017,23,111,168,348,271
E02000144,14700,3488,9278,39,218,273,491,913
E02000145,3359,877,1759,15,77,115,259,257
E02000146,3044,641,1591,15,119,209,372,97
E02000147,1250,296,364,17,67,195,251,60
E02000148,2010,524,830,20,109,168,269,90
E02000149,3243,528,2086,21,103,128,313,64
E02000150,3044,618,1782,10,61,152,357,64
E02000151,1177,353,354,8,37,159,218,48
E02000152,1831,526,840,15,41,128,242,39
E02000153,1181,293,351,10,55,153,300,19
E02000154,5507,1491,2929,46,175,199,374,293
E02000155,1112,260,441,5,44,125,217,20
E02000156,3703,1109,1457,37,161,304,441,194
E02000157,1459,365,608,13,53,141,240,39
E02000158,1093,269,469,5,26,110,195,19
E02000159,3078,763,1527,44,105,162,315,162
E02000160,2798,725,1246,23,115,211,377,101
E02000161,1477,379,582,21,56,153,254,32
E02000162,4595,1309,2707,15,74,132,269,89
E02000163,2866,733,1325,25,122,204,326,131
E02000165,1541,260,616,18,83,176,362,26
E02000166,3101,524,1528,38,127,353,452,79
E02000167,3845,659,1794,39,215,416,540,182
E02000168,5494,767,3393,41,177,334,583,199
E02000169,2121,361,961,36,92,275,280,116
E02000170,2264,352,990,34,97,317,390,84
E02000171,2314,333,1067,33,81,291,444,65
E02000172,4975,850,3053,35,143,234,442,218
