GeographyCode,WP7701EW0001,WP7701EW0002,WP7701EW0003,WP7701EW0004,WP7701EW0005,WP7701EW0006,WP7701EW0007,WP7701EW0008,WP7701EW0009,WP7701EW0010,WP7701EW0011,WP7701EW0012,WP7701EW0013,WP7701EW0014,WP7701EW0015,WP7701EW0016,WP7701EW0017,WP7701EW0018,WP7701EW0019,WP7701EW0020,WP7701EW0021,WP7701EW0022,WP7701EW0023,WP7701EW0024,WP7701EW0025,WP7701EW0026,WP7701EW0027,WP7701EW0028,WP7701EW0029,WP7701EW0030,WP7701EW0031,WP7701EW0032,WP7701EW0033,WP7701EW0034,WP7701EW0035,WP7701EW0036,WP7701EW0037,WP7701EW0038,WP7701EW0039,WP7701EW0040,WP7701EW0041,WP7701EW0042,WP7701EW0043,WP7701EW0044,WP7701EW0045,WP7701EW0046,WP7701EW0047,WP7701EW0048,WP7701EW0049,WP7701EW0050,WP7701EW0051,WP7701EW0052,WP7701EW0053,WP7701EW0054,WP7701EW0055,WP7701EW0056,WP7701EW0057,WP7701EW0058,WP7701EW0059,WP7701EW0060,WP7701EW0061,WP7701EW0062,WP7701EW0063,WP7701EW0064,WP7701EW0065,WP7701EW0066,WP7701EW0067,WP7701EW0068,WP7701EW0069,WP7701EW0070,WP7701EW0071,WP7701EW0072,WP7701EW0073,WP7701EW0074,WP7701EW0075,WP7701EW0076,WP7701EW0077
E12000008,4063350,705482,684752,600643,578685,266113,120440,101036,136016,502581,367602,502581,0,0,0,0,0,0,0,0,502581,0,336056,29294,81798,61341,53682,27420,15145,14331,19421,0,33624,2426946,280207,442967,463350,474218,218062,96732,79337,95446,0,276627,122205,45137,43471,16231,6254,1851,743,635,2137,0,5746,416593,308366,50940,13115,10293,4922,2153,2240,11072,0,13492,258969,42478,65576,46606,34238,13858,5667,4493,7940,0,38113
E12000009,2533591,504857,451568,379815,345377,122702,60421,53300,80207,323789,211555,323789,0,0,0,0,0,0,0,0,323789,0,151288,14894,48129,32447,21067,6476,3782,4446,10839,0,9208,1486138,199530,290758,293242,286097,103998,50195,42692,51679,0,167947,87083,30851,31801,12160,4662,1107,543,606,1849,0,3504,311775,228165,37088,9720,8963,3668,2223,2464,10181,0,9303,173518,31417,43792,32246,24588,7453,3678,3092,5659,0,21593
E06000001,34197,8452,10563,3090,4269,1469,570,364,284,2473,2663,2473,0,0,0,0,0,0,0,0,2473,0,2540,454,1365,206,222,44,17,40,31,0,161,20748,3865,6669,2382,3637,1324,504,285,217,0,1865,674,233,311,62,37,2,3,0,0,0,26,4083,3019,690,88,86,19,5,12,17,0,147,3679,881,1528,352,287,80,41,27,19,0,464
E06000002,62839,10093,15274,14844,9675,2280,1186,1073,949,3337,4128,3337,0,0,0,0,0,0,0,0,3337,0,6562,754,2502,1662,953,153,42,77,116,0,303,39034,3569,9051,11317,7821,1961,1064,927,663,0,2661,1350,320,571,272,69,6,2,4,27,0,79,6562,4546,1149,286,162,43,14,21,83,0,258,5994,904,2001,1307,670,117,64,44,60,0,827
E06000003,45844,8905,7488,10360,7985,1228,742,575,457,4034,4070,4034,0,0,0,0,0,0,0,0,4034,0,2636,366,757,778,410,33,31,22,22,0,217,29164,3803,4916,8016,6736,1111,651,516,370,0,3045,827,221,276,179,68,5,4,5,2,0,67,5116,3821,513,343,206,17,14,14,33,0,155,4067,694,1026,1044,565,62,42,18,30,0,586
E06000004,86322,14145,20711,18543,13230,3493,1517,1427,1058,6376,5822,6376,0,0,0,0,0,0,0,0,6376,0,5651,876,2167,1299,596,125,45,98,101,0,344,57790,6597,14396,14596,11346,3085,1395,1203,833,0,4339,1639,440,686,323,85,13,5,4,4,0,79,6993,4944,995,481,223,56,6,27,47,0,214,7873,1288,2467,1844,980,214,66,95,73,0,846
E06000005,52096,11469,12605,3931,9208,3949,1392,1248,1174,4180,2940,4180,0,0,0,0,0,0,0,0,4180,0,4194,811,1845,312,559,180,68,109,135,0,175,32023,4809,7678,3059,7757,3455,1209,1028,862,0,2166,1160,458,511,61,43,16,3,6,15,0,47,6188,4459,1118,117,143,70,22,38,60,0,161,4351,932,1453,382,706,228,90,67,102,0,391
E06000006,57420,10643,13082,9436,8841,3954,2094,1013,1148,3696,3513,3696,0,0,0,0,0,0,0,0,3696,0,3806,709,1473,673,434,153,72,19,90,0,183,39038,5030,8818,7578,7674,3556,1895,901,964,0,2622,1211,359,488,178,99,16,7,1,10,0,53,5022,3576,800,252,125,45,32,17,22,0,153,4647,969,1503,755,509,184,88,75,62,0,502
E06000007,114983,15362,24695,19494,17826,10610,5474,2169,3678,9336,6339,9336,0,0,0,0,0,0,0,0,9336,0,8231,866,2784,1529,1025,758,334,93,524,0,318,78952,7563,17003,15521,15346,9078,4784,1942,2618,0,5097,2673,750,1148,392,139,53,35,9,55,0,92,7346,4961,1041,423,227,147,78,34,244,0,191,8445,1222,2719,1629,1089,574,243,91,237,0,641
E06000008,64522,14147,15913,10126,9266,2849,1665,961,655,4930,4010,4930,0,0,0,0,0,0,0,0,4930,0,4583,509,1541,1164,682,144,197,58,49,0,239,40687,6661,10487,7556,7897,2514,1298,796,517,0,2961,644,137,280,138,41,18,9,6,3,0,12,7281,5188,1162,295,166,58,59,33,48,0,272,6397,1652,2443,973,480,115,102,68,38,0,526
E06000009,63189,15214,18278,10509,3976,1896,862,783,712,6173,4786,6173,0,0,0,0,0,0,0,0,6173,0,5545,1008,2554,1053,325,108,49,46,80,0,322,35460,6203,11133,7974,3268,1633,716,643,521,0,3369,1857,610,821,261,35,12,3,8,7,0,100,8271,6017,1501,264,62,32,30,35,58,0,272,5883,1376,2269,957,286,111,64,51,46,0,723
E06000010,124406,22359,40076,26814,12769,3952,2020,1385,2315,5676,7040,5676,0,0,0,0,0,0,0,0,5676,0,16164,1478,7636,4542,986,276,186,108,290,0,662,70838,7952,21933,17976,10682,3271,1589,1155,1723,0,4557,8648,2481,4123,1369,176,46,33,27,31,0,362,12350,8714,2236,576,99,96,81,45,143,0,360,10730,1734,4148,2351,826,263,131,50,128,0,1099
E06000011,133512,27308,16717,19259,21132,8524,4753,3134,2842,18942,10901,18942,0,0,0,0,0,0,0,0,18942,0,4332,441,768,1125,848,299,202,115,215,0,319,79311,11000,11804,15016,17492,7022,3806,2426,2053,0,8692,5854,2987,1244,658,375,151,121,72,55,0,191,14578,11089,920,483,587,305,259,260,270,0,405,10495,1791,1981,1977,1830,747,365,261,249,0,1294
E06000012,71067,15634,21621,11466,5518,2772,2070,1042,1197,4574,5173,4574,0,0,0,0,0,0,0,0,4574,0,4391,624,2282,676,218,96,77,38,152,0,228,44576,6735,14284,9173,4803,2435,1702,881,854,0,3709,3700,1396,1583,379,76,25,34,17,23,0,167,7643,5612,1215,204,70,46,93,46,85,0,272,6183,1267,2257,1034,351,170,164,60,83,0,797
E06000013,76797,14267,16403,10696,13413,4575,2448,1624,1515,6841,5015,6841,0,0,0,0,0,0,0,0,6841,0,2031,295,812,257,254,88,91,43,85,0,106,51664,6814,11620,8916,11579,3936,2093,1419,1251,0,4036,2913,1111,1094,282,167,77,32,14,20,0,116,6797,4927,835,224,309,126,61,46,68,0,201,6551,1120,2042,1017,1104,348,171,102,91,0,556
E06000014,102927,23806,26129,11793,8526,5745,3579,4248,3735,9297,6069,9297,0,0,0,0,0,0,0,0,9297,0,10282,1016,3627,1484,897,611,514,718,950,0,465,49888,5772,12413,7909,6846,4710,2799,3105,2112,0,4222,10445,3682,5041,1104,106,28,25,44,106,0,309,16755,12286,2949,338,82,71,77,177,375,0,400,6260,1050,2099,958,595,325,164,204,192,0,673
E06000015,123890,22156,35732,18864,18693,6096,2282,2619,2471,7829,7148,7829,0,0,0,0,0,0,0,0,7829,0,12036,1312,5197,2076,1567,493,192,324,380,0,495,77211,8948,22097,14313,15640,5207,1953,2093,1808,0,5152,4258,1090,2143,626,208,28,11,9,33,0,110,13417,9166,2823,472,223,88,26,60,121,0,438,9139,1640,3472,1377,1055,280,100,133,129,0,953
E06000016,163224,31784,47983,34159,15951,5630,3600,2657,3414,9392,8654,9392,0,0,0,0,0,0,0,0,9392,0,23037,2578,9867,5702,1485,548,662,397,681,0,1117,91197,10348,26548,23931,13244,4688,2719,2084,2263,0,5372,5426,1355,2495,1017,198,27,17,13,48,0,256,21535,15314,4101,710,188,114,68,46,249,0,745,12637,2189,4972,2799,836,253,134,117,173,0,1164
E06000017,18293,3948,1178,2297,3181,1395,734,498,833,3011,1218,3011,0,0,0,0,0,0,0,0,3011,0,368,30,21,66,78,40,23,16,56,0,38,10569,1307,912,1866,2705,1223,614,424,524,0,994,629,409,61,46,40,17,14,5,14,0,23,2606,2007,70,106,88,30,31,33,175,0,66,1110,195,114,213,270,85,52,20,64,0,97
E06000018,174216,25886,46962,42431,21124,8937,3483,2519,4858,8856,9160,8856,0,0,0,0,0,0,0,0,8856,0,39381,3475,15040,12237,3744,1472,557,365,851,0,1640,89833,7222,21879,25128,15702,6853,2729,1967,3048,0,5305,6007,1145,2767,1427,275,38,22,19,121,0,193,19056,12698,3881,867,245,130,54,65,385,0,731,11083,1346,3395,2772,1158,444,121,103,453,0,1291
E06000019,87169,17848,13092,9889,11429,5642,2068,1650,2548,15123,7880,15123,0,0,0,0,0,0,0,0,15123,0,1949,254,436,265,341,181,77,61,196,0,138,50253,7458,8875,8173,9639,4750,1763,1372,1752,0,6471,3134,1261,1123,286,146,82,16,21,68,0,131,10860,7678,1299,317,493,248,100,72,308,0,345,5850,1197,1359,848,810,381,112,124,224,0,795
E06000020,83177,13046,19523,15535,8382,7629,2901,2183,2812,6331,4835,6331,0,0,0,0,0,0,0,0,6331,0,4503,471,1353,960,314,592,118,187,290,0,218,56725,6860,13940,12068,7258,6361,2547,1802,2150,0,3739,1668,522,629,258,77,46,7,21,41,0,67,5781,3878,818,383,176,88,55,51,180,0,152,8169,1315,2783,1866,557,542,174,122,151,0,659
E06000021,114156,20313,32748,26517,12152,3199,1040,1950,1966,6933,7338,6933,0,0,0,0,0,0,0,0,6933,0,8762,1068,3803,2384,495,153,36,168,196,0,459,75235,9292,22118,20786,10714,2816,941,1649,1502,0,5417,1651,383,744,321,67,32,4,17,21,0,62,10475,7495,1783,531,157,55,18,38,114,0,284,11100,2075,4300,2495,719,143,41,78,133,0,1116
E06000022,89861,17298,16048,10127,19251,3736,1058,1356,3645,10624,6718,10624,0,0,0,0,0,0,0,0,10624,0,9282,763,2451,1028,2480,402,113,261,1334,0,450,48096,5327,8804,7703,14716,3008,850,967,1652,0,5069,2655,715,969,291,356,35,3,9,172,0,105,13737,9633,2353,309,531,88,39,57,320,0,407,5467,860,1471,796,1168,203,53,62,167,0,687
E06000023,236098,44777,61281,44426,25709,9364,4956,4766,6435,17841,16543,17841,0,0,0,0,0,0,0,0,17841,0,29394,1989,9608,8368,3357,1369,946,886,1310,0,1561,120430,12642,30271,28513,19557,7221,3628,3497,4103,0,10998,15094,3704,7263,2477,525,97,26,39,141,0,822,37811,24521,9420,1411,360,101,67,86,582,0,1263,15528,1921,4719,3657,1910,576,289,258,299,0,1899
E06000024,83584,17383,12407,11226,13638,4586,1778,1190,1766,11734,7876,11734,0,0,0,0,0,0,0,0,11734,0,3036,367,784,521,675,158,102,29,125,0,275,52444,8517,8913,9337,11289,3931,1510,1043,1404,0,6500,2362,1031,642,254,208,58,19,16,24,0,110,8329,6257,741,252,444,167,60,45,102,0,261,5679,1211,1327,862,1022,272,87,57,111,0,730
E06000025,141998,22069,24070,28212,21611,6749,4863,4164,6653,12787,10820,12787,0,0,0,0,0,0,0,0,12787,0,8261,505,1695,2256,1156,301,293,344,1275,0,436,94799,11500,17125,21552,17797,5883,4200,3510,4223,0,9009,5980,1339,1953,1663,508,56,27,35,228,0,171,10887,7209,1262,778,614,84,54,66,557,0,263,9284,1516,2035,1963,1536,425,289,209,370,0,941
E06000026,121963,24654,35044,26440,7721,2686,1508,2250,4610,7898,9152,7898,0,0,0,0,0,0,0,0,7898,0,14363,1673,6254,4116,486,210,128,328,504,0,664,69494,9058,21147,18384,6588,2259,1260,1695,2761,0,6342,3099,659,1327,749,81,10,7,14,64,0,188,16444,11564,2683,632,58,38,41,101,712,0,615,10665,1700,3633,2559,508,169,72,112,569,0,1343
E06000027,52544,15382,11030,8838,2833,864,525,645,549,6853,5025,6853,0,0,0,0,0,0,0,0,6853,0,2536,486,956,645,124,44,20,56,32,0,173,29879,6787,7645,6984,2440,751,467,467,354,0,3984,768,233,270,174,31,4,4,3,11,0,38,8266,6577,875,282,68,21,13,69,110,0,251,4242,1299,1284,753,170,44,21,50,42,0,579
E06000028,81141,16507,24134,13446,6170,925,842,1061,1025,9111,7920,9111,0,0,0,0,0,0,0,0,9111,0,8411,951,4117,1768,475,64,109,130,160,0,637,44443,6097,14406,9969,5165,799,648,817,687,0,5855,3744,1047,1791,534,102,9,11,12,25,0,213,10283,7558,1845,256,41,10,25,51,99,0,398,5149,854,1975,919,387,43,49,51,54,0,817
E06000029,78847,14093,22300,16177,7030,1489,1252,1157,2080,7451,5818,7451,0,0,0,0,0,0,0,0,7451,0,5312,433,2135,1451,404,89,101,90,329,0,280,49206,6349,15210,12526,5907,1296,1028,920,1363,0,4607,3729,1077,1645,652,136,16,16,10,59,0,118,7313,5293,1186,238,90,14,32,70,214,0,176,5836,941,2124,1310,493,74,75,67,115,0,637
E06000030,108642,20215,31764,18155,5822,4260,2449,4646,4434,8849,8048,8849,0,0,0,0,0,0,0,0,8849,0,10723,1327,4754,1767,284,332,186,771,834,0,468,66426,8568,20210,13917,5081,3674,2129,3483,3149,0,6215,4396,1390,2115,586,43,14,14,41,49,0,144,10044,7457,1500,361,88,40,31,84,198,0,285,8204,1473,3185,1524,326,200,89,267,204,0,936
E06000031,101167,16179,24349,18272,11504,6707,3113,3139,4298,7158,6448,7158,0,0,0,0,0,0,0,0,7158,0,8536,1085,2973,1648,579,420,130,251,797,0,653,64120,6552,15590,13897,9920,5739,2775,2486,2859,0,4302,4913,1739,1982,651,104,53,21,60,71,0,232,7572,5277,1083,326,130,100,39,101,293,0,223,8868,1526,2721,1750,771,395,148,241,278,0,1038
E06000032,89954,17738,21071,10430,8801,4619,2720,2678,7073,6171,8653,6171,0,0,0,0,0,0,0,0,6171,0,8910,1089,2828,1189,559,329,311,662,946,0,997,54775,6822,13394,7971,7692,4020,2254,1854,4888,0,5880,1247,302,543,135,59,23,4,18,108,0,55,11205,8004,1835,256,101,58,35,52,429,0,435,7646,1521,2471,879,390,189,116,92,702,0,1286
E06000033,72074,17842,16311,13824,4596,1787,833,1184,841,7434,7422,7434,0,0,0,0,0,0,0,0,7434,0,8924,1248,2267,2330,913,302,137,439,154,0,1134,38306,6676,10255,9971,3302,1357,618,637,555,0,4935,2163,871,853,230,40,8,7,19,13,0,122,10322,7977,1401,283,87,38,22,39,65,0,410,4925,1070,1535,1010,254,82,49,50,54,0,821
E06000034,64202,8999,11748,10270,11431,4801,1829,971,1237,5186,7730,5186,0,0,0,0,0,0,0,0,5186,0,6937,588,1428,1269,1498,467,162,71,97,0,1357,41923,4460,8073,7758,9022,3977,1529,833,1044,0,5227,1013,298,376,159,55,20,10,8,9,0,78,4103,3021,486,199,149,50,26,13,24,0,135,5040,632,1385,885,707,287,102,46,63,0,933
E06000035,98648,18519,23687,13778,10382,2790,2529,2193,2136,9921,12713,9921,0,0,0,0,0,0,0,0,9921,0,7295,867,2311,1060,671,192,290,340,209,0,1355,61184,7732,16434,11092,8939,2412,2087,1679,1484,0,9325,1309,395,571,160,54,5,4,4,45,0,71,11315,8150,1880,361,160,44,38,44,244,0,394,7624,1375,2491,1105,558,137,110,126,154,0,1568
E06000036,59267,9425,9718,7788,9620,3237,2249,1861,3422,6875,5072,6875,0,0,0,0,0,0,0,0,6875,0,3362,233,598,350,815,194,242,379,253,0,298,39640,4614,7246,6735,8152,2923,1908,1351,2697,0,4014,1366,540,474,152,90,10,6,5,31,0,58,4779,3400,551,120,139,30,28,62,300,0,149,3245,638,849,431,424,80,65,64,141,0,553
E06000037,87006,12908,12475,11065,13319,7718,3572,3957,4655,10689,6648,10689,0,0,0,0,0,0,0,0,10689,0,4609,362,941,911,635,513,149,158,540,0,400,57154,5812,9025,8823,11143,6641,3185,3501,3683,0,5341,2274,878,655,262,266,50,21,24,41,0,77,7069,5127,634,261,399,154,57,71,188,0,178,5211,729,1220,808,876,360,160,203,203,0,652
E06000038,89115,17557,22025,12411,7708,6514,2241,3388,4100,6999,6172,6999,0,0,0,0,0,0,0,0,6999,0,17497,1647,5639,2848,1540,1743,644,1181,1242,0,1013,44265,4817,11143,8229,5718,4385,1482,1994,2489,0,4008,3254,1065,1478,390,69,50,11,22,31,0,138,12511,9295,2217,182,67,89,34,71,193,0,363,4589,733,1548,762,314,247,70,120,145,0,650
E06000039,74593,11526,12907,11027,12041,7238,2795,2172,3373,4977,6537,4977,0,0,0,0,0,0,0,0,4977,0,7905,660,1549,1316,1208,1058,569,266,234,0,1045,49739,5415,8708,8573,10140,5807,2090,1791,2866,0,4349,1511,437,515,258,62,40,8,9,42,0,140,5802,4143,831,188,118,86,27,24,78,0,307,4659,871,1304,692,513,247,101,82,153,0,696
E06000040,76112,10840,11273,11565,13231,4994,2663,1886,3279,10898,5483,10898,0,0,0,0,0,0,0,0,10898,0,5855,243,1045,1082,1016,688,550,412,282,0,537,46937,4838,7638,9076,11237,4053,1988,1361,2566,0,4180,1772,571,670,238,133,22,17,11,33,0,77,6321,4569,749,290,216,51,24,31,233,0,158,4329,619,1171,879,629,180,84,71,165,0,531
E06000041,69107,9219,11275,12122,7942,3740,1847,2651,3461,10842,6008,10842,0,0,0,0,0,0,0,0,10842,0,5030,284,1029,1142,511,265,207,566,497,0,529,42933,4413,8058,9580,6854,3262,1537,1954,2492,0,4783,1953,635,691,367,89,27,14,21,53,0,56,4855,3386,599,253,120,59,21,39,245,0,133,3494,501,898,780,368,127,68,71,174,0,507
E06000042,143998,17885,31530,28280,15776,13151,4509,3612,7321,12488,9446,12488,0,0,0,0,0,0,0,0,12488,0,10117,806,3095,2182,579,721,202,288,1275,0,969,96772,8168,21671,22202,13946,11300,4024,3070,5411,0,6980,3625,1048,1496,710,74,46,14,25,71,0,141,9222,6328,1345,507,166,186,45,70,258,0,317,11774,1535,3923,2679,1011,898,224,159,306,0,1039
E06000043,134345,32451,31582,15500,14521,3890,2373,1248,2472,17356,12952,17356,0,0,0,0,0,0,0,0,17356,0,28571,3378,10094,5158,4195,904,623,413,1103,0,2703,48223,5978,11881,8014,9037,2725,1565,731,984,0,7308,6661,2164,2927,782,237,42,15,12,42,0,440,26633,19844,4600,453,166,55,54,42,251,0,1168,6901,1087,2080,1093,886,164,116,50,92,0,1333
E06000044,109456,23524,27610,21258,10004,4401,1316,1144,4202,7092,8905,7092,0,0,0,0,0,0,0,0,7092,0,11017,1277,4031,2679,921,578,133,116,644,0,638,57864,7368,14021,14848,7985,3448,1097,931,2325,0,5841,8087,2380,3635,1321,213,51,10,16,101,0,360,16009,10960,3027,534,107,44,21,35,594,0,687,9387,1539,2896,1876,778,280,55,46,538,0,1379
E06000045,112852,22833,29490,21326,9233,5101,2884,1630,2666,7767,9922,7767,0,0,0,0,0,0,0,0,7767,0,13592,1349,5779,2694,1076,623,385,260,608,0,818,61265,6539,15800,15876,7284,3963,2249,1254,1472,0,6828,4753,1355,2222,677,121,58,20,5,49,0,246,16747,12287,2936,437,111,73,51,38,219,0,595,8728,1303,2753,1642,641,384,179,73,318,0,1435
E06000046,56591,14437,6986,10894,9469,726,171,270,1062,7280,5296,7280,0,0,0,0,0,0,0,0,7280,0,2921,264,449,1014,705,62,24,30,139,0,234,31166,5131,4875,8294,7530,435,91,147,585,0,4078,1652,693,358,330,124,20,9,11,21,0,86,9279,7498,529,302,317,77,19,46,207,0,284,4293,851,775,954,793,132,28,36,110,0,614
E06000047,196872,36563,31164,34465,37373,13826,4188,1549,3064,20652,14028,20652,0,0,0,0,0,0,0,0,20652,0,12853,1607,3548,3431,2314,753,165,57,298,0,680,121748,15718,20172,25595,30656,11705,3625,1358,2068,0,10851,2168,704,688,325,199,69,25,9,80,0,69,20988,15093,2134,1106,1195,433,129,48,296,0,554,18463,3441,4622,4008,3009,866,244,77,322,0,1874
E06000048,123686,25953,14506,17632,20030,9593,3496,2540,2594,17890,9452,17890,0,0,0,0,0,0,0,0,17890,0,6545,1007,1195,1393,1258,610,193,176,247,0,466,73242,11423,10126,13664,16455,7906,2872,1885,1639,0,7272,1950,769,460,271,212,68,21,19,56,0,74,14312,10638,816,556,650,394,182,234,411,0,431,9747,2116,1909,1748,1455,615,228,226,241,0,1209
E06000049,182026,32302,26557,27755,34646,12171,5296,4157,3790,23337,12015,23337,0,0,0,0,0,0,0,0,23337,0,7096,778,1114,1246,1572,547,367,423,420,0,629,118621,15155,19356,23040,30078,10544,4438,3396,2905,0,9709,4628,1737,1593,647,310,76,47,24,44,0,150,16146,12084,1619,596,654,322,141,107,193,0,430,12198,2548,2875,2226,2032,682,303,207,228,0,1097
E06000050,158249,26478,26299,22356,30406,14172,5017,3215,2773,17178,10355,17178,0,0,0,0,0,0,0,0,17178,0,8858,836,2501,1530,1951,820,279,213,278,0,450,101889,11927,17632,17855,25339,11875,4266,2739,2010,0,8246,4071,1485,1354,439,361,138,59,25,43,0,167,14519,10141,1825,571,660,479,123,78,243,0,399,11734,2089,2987,1961,2095,860,290,160,199,0,1093
E06000051,145002,28125,18436,15720,21225,12815,4685,3694,5923,22808,11571,22808,0,0,0,0,0,0,0,0,22808,0,4248,438,1069,507,700,425,165,165,522,0,257,86258,11474,12909,12894,17984,10781,3868,3013,3714,0,9621,4285,2077,1170,325,231,133,51,31,135,0,132,17417,12462,1267,508,677,534,292,204,1049,0,424,9986,1674,2021,1486,1633,942,309,281,503,0,1137
