GeographyCode,WP210EW0001,WP210EW0002,WP210EW0003,WP210EW0004,WP210EW0005,WP210EW0006,WP210EW0007,WP210EW0008,WP210EW0009,WP210EW0010
E07000119,42934,29495,133,248,117,460,42,135,9746,2558
E07000120,31172,20654,75,78,14,2394,22,118,6097,1720
E07000121,58893,38437,252,160,50,551,58,310,15177,3898
E07000122,34602,20482,118,45,16,3107,12,131,8686,2005
E07000123,87088,57125,228,1544,61,5439,320,326,17403,4642
E07000124,29815,22016,59,99,9,638,16,88,5203,1687
E07000125,24266,15657,75,47,44,772,10,94,6142,1425
E07000126,49069,35333,115,327,23,884,62,127,9530,2668
E07000127,49510,37229,111,155,36,305,44,127,8954,2549
E07000128,37730,27056,100,95,28,256,17,143,7831,2204
E07000129,51967,27334,129,2671,51,1411,1139,233,15893,3106
E07000130,67856,37053,212,3159,62,1452,631,304,20882,4101
E07000131,42180,25407,117,1033,39,733,441,151,11672,2587
E07000132,42514,25783,95,733,26,515,352,177,12213,2620
E07000133,22107,14075,79,430,9,176,120,97,5772,1349
E07000134,53711,32311,132,630,26,595,492,259,15959,3307
E07000135,21125,10241,59,1819,21,1027,1000,101,5638,1219
E07000136,31094,22055,63,124,13,205,24,104,6506,2000
E07000137,51693,34357,108,84,28,219,49,237,13011,3600
E07000138,55050,33648,173,250,33,395,59,283,16498,3711
E07000139,45839,30843,98,95,31,151,27,204,11461,2929
E07000140,38861,27746,66,118,27,273,36,126,7904,2565
E07000141,57223,38689,156,274,44,393,66,240,13603,3758
E07000142,31075,20962,74,39,12,97,31,141,7649,2070
E07000143,50487,30863,132,77,49,217,36,275,15178,3660
E07000144,47264,27088,153,184,52,207,42,254,15894,3390
E07000145,39960,23561,131,190,38,245,18,164,12918,2695
E07000146,63513,41097,201,227,53,277,56,290,16986,4326
E07000147,39632,24506,142,36,34,102,20,263,11616,2913
E07000148,89224,45208,503,401,121,679,91,590,35017,6614
E07000149,54367,31960,219,208,56,294,33,287,17479,3831
E07000150,30883,18051,79,244,20,278,160,104,10057,1890
E07000151,38650,23912,148,375,35,495,278,161,10791,2455
E07000152,31128,18664,93,206,34,279,89,143,9548,2072
E07000153,42290,24567,143,562,32,402,383,228,13295,2678
E07000154,118778,68095,512,2468,164,2821,717,646,35853,7502
E07000155,34323,21261,112,222,42,384,113,127,9671,2391
E07000156,34351,19625,112,811,20,541,113,201,10698,2230
E07000163,27277,17381,59,51,16,514,20,131,7255,1850
E07000164,48641,33533,98,84,28,251,27,155,11371,3094
E07000165,82129,53448,276,206,202,662,112,320,21515,5388
E07000166,27802,18696,168,271,12,156,17,87,6555,1840
E07000167,25988,17938,63,20,8,89,4,100,5925,1841
E07000168,46119,29868,146,93,20,281,10,213,12323,3165
E07000169,35476,24328,78,38,25,201,42,88,8425,2251
E07000170,53093,30465,139,312,24,382,189,228,17980,3374
E07000171,51829,35823,110,133,27,427,74,173,11785,3277
E07000172,38833,20807,139,318,45,510,345,147,13820,2702
E07000173,36897,20207,104,162,39,499,302,154,12957,2473
E07000174,40987,24438,91,150,16,244,108,180,13195,2565
E07000175,50938,32730,125,147,33,318,83,198,13945,3359
E07000176,45942,25374,155,437,84,715,342,197,15535,3103
E07000177,71803,44409,314,367,103,1213,296,306,19933,4862
E07000178,99423,52593,816,1293,476,3316,335,634,32433,7527
E07000179,61683,36951,314,371,145,618,136,304,18427,4417
E07000180,62253,37156,284,429,116,652,131,267,18923,4295
E07000181,48222,30312,193,141,66,294,45,236,13613,3322
E07000187,49267,29548,253,65,36,136,15,626,14484,4104
E07000188,46639,29112,109,48,16,157,24,270,13471,3432
E07000189,77724,49373,234,96,52,233,28,459,21468,5781
E07000190,59898,36061,229,128,39,223,16,391,18247,4564
E07000191,14929,9260,69,8,9,46,5,97,4240,1195
E07000192,38814,26316,88,135,9,303,304,144,9225,2290
E07000193,59222,37797,174,291,31,1982,356,242,14743,3606
E07000194,44755,29529,119,169,23,555,317,137,11271,2635
E07000195,49280,31530,217,253,28,721,119,217,13075,3120
E07000196,36453,24861,89,252,3,334,574,143,7956,2241
E07000197,67178,44569,260,530,29,726,399,300,16297,4068
E07000198,34851,24271,82,72,13,266,34,127,7714,2272
E07000199,30315,19129,73,157,10,266,192,123,8582,1783
E07000200,35722,21259,106,59,38,202,21,149,11282,2606
E07000201,32904,20408,127,98,62,213,17,176,9372,2431
E07000202,71601,39102,294,464,50,1025,175,399,25174,4918
E07000203,41665,25064,118,63,40,208,19,178,12694,3281
E07000204,58400,35209,189,183,58,318,44,251,18276,3872
E07000205,54351,31896,194,363,50,321,48,277,17236,3966
E07000206,44953,26235,170,76,25,188,13,222,14816,3208
E07000207,56375,33917,400,1077,273,1232,288,247,14953,3988
E07000208,30223,17706,201,828,90,828,79,133,8347,2011
E07000209,77684,44567,589,1054,189,1259,206,435,23722,5663
E07000210,46437,27475,259,808,147,753,130,229,13214,3422
E07000211,67831,39839,393,1448,138,1419,194,315,19305,4780
E07000212,49802,29161,339,1577,182,1225,642,219,13219,3238
E07000213,41012,23861,265,1408,119,1166,808,180,10464,2741
E07000214,43918,26453,557,909,64,841,240,211,11676,2967
E07000215,33114,20197,157,392,63,419,40,158,9320,2368
E07000216,52153,31907,294,328,96,462,60,289,14909,3808
E07000217,44230,25319,358,918,102,2082,200,177,12039,3035
E07000218,39558,25527,92,361,20,820,429,145,9852,2312
E07000219,45300,28264,179,724,16,1087,1122,229,11013,2666
E07000220,47452,29133,196,1108,29,638,511,186,12529,3122
E07000221,63398,41077,210,351,79,599,469,290,16149,4174
E07000222,77726,45413,288,1195,112,1194,2846,357,21394,4927
E07000223,22179,11973,114,88,81,246,11,143,7822,1701
E07000224,49092,29619,185,156,53,348,30,272,14803,3626
E07000225,61226,37842,314,243,77,329,45,354,17541,4481
E07000226,79370,44522,362,2398,136,2766,449,356,23202,5179
E07000227,56174,33274,258,343,92,424,65,319,17168,4231
E07000228,60745,34970,291,600,132,688,70,682,18620,4692
E07000229,49415,27080,331,358,108,570,75,409,16669,3815
E07000234,39055,25137,122,165,27,588,335,160,10048,2473
E07000235,31181,20059,90,73,17,255,52,184,8254,2197
E07000236,39031,24594,89,238,27,1031,294,146,10262,2350
E07000237,53214,33767,203,233,36,928,165,268,14248,3366
E07000238,54092,36570,173,117,28,534,315,243,12544,3568
E07000239,37393,25056,97,95,14,257,149,180,9155,2390
E08000001,114946,75247,305,2309,210,8250,70,370,22092,6093
E08000002,73437,47152,242,403,2354,3625,84,231,15255,4091
E08000003,319745,178385,1828,3817,2624,23567,1139,1344,87416,19625
E08000004,89047,56795,212,754,195,8126,63,223,17727,4952
E08000005,79184,49752,201,341,232,6798,38,230,17180,4412
E08000006,113752,72535,479,1043,2415,3424,247,391,26691,6527
E08000007,125903,77468,452,784,524,4015,228,466,34397,7569
E08000008,79528,50896,267,1102,116,2627,57,249,19677,4537
E08000009,129951,82162,505,1004,952,4973,480,406,31826,7643
E08000010,117725,89394,347,488,77,1409,66,283,19676,5985
E08000011,57202,45039,121,241,51,339,36,95,8359,2921
E08000012,235801,170090,924,1318,839,3762,261,631,44738,13238
E08000013,64928,50147,165,219,56,484,46,173,10329,3309
E08000014,102777,76434,258,307,211,707,65,256,18539,6000
E08000015,112249,77861,391,351,128,737,130,359,25371,6921
E08000016,82962,55549,163,221,37,754,143,261,20761,5073
E08000017,127557,83983,319,484,51,1734,462,432,32109,7983
E08000018,107716,69996,213,328,42,2642,216,333,27361,6585
E08000019,261340,143595,1006,1432,305,9766,512,1057,87218,16449
E08000020,91882,60674,251,358,555,1014,266,269,23616,4879
E08000021,169652,102933,658,1336,276,3871,567,583,49630,9798
E08000022,84221,52561,226,328,60,866,223,288,24853,4816
E08000023,50317,34928,111,131,32,797,219,127,11252,2720
E08000024,126089,87287,250,406,52,1205,432,301,29795,6361
E08000025,488095,261088,1985,11378,806,51500,18418,3094,110123,29703
E08000026,148246,83149,432,4560,143,6007,6747,841,37596,8771
E08000027,123197,79514,325,1144,44,3489,2294,556,28446,7385
E08000028,125467,72538,301,3083,34,6011,10415,927,25007,7151
E08000029,99967,61664,296,1893,133,4100,2216,387,23379,5899
E08000030,105000,64971,261,2012,29,4877,4566,665,21642,5977
E08000031,108004,64307,480,3094,41,2707,7378,1103,22566,6328
E08000032,213515,112587,548,2429,232,29175,2582,855,52467,12640
E08000033,94704,53591,302,472,94,4635,400,401,28558,6251
E08000034,166882,93551,422,782,112,14671,1371,607,45065,10301
E08000035,409815,229194,1442,3860,2688,16928,4356,1581,124205,25561
E08000036,151142,97788,346,547,109,3373,333,536,39163,8947
E09000001,356706,184729,3060,13240,5774,12379,3246,1925,103275,29078
E09000002,58444,33134,318,2162,290,5325,1399,217,12123,3476
E09000003,129112,59839,1503,9116,14046,9275,649,1421,23132,10131
E09000004,74670,44348,500,1466,88,1974,1395,295,19578,5026
E09000005,115221,53041,1521,19434,2294,12498,1339,1520,16020,7554
E09000006,111405,65411,648,2165,321,3118,473,504,30390,8375
E09000007,272367,120517,2921,8747,7571,15335,1813,1840,85913,27710
E09000008,120398,67827,916,6484,303,7037,582,822,27792,8635
E09000009,132461,62458,1462,13639,719,12528,8990,976,23080,8609
E09000010,105493,59306,755,4075,1585,10707,477,721,20142,7725
E09000011,86199,46790,1036,3037,216,4401,1362,450,22593,6314
E09000012,103604,42941,1161,2264,4369,9226,834,660,32887,9262
E09000013,124530,62502,1468,4262,1184,8223,1339,762,34855,9935
E09000014,81001,39746,944,2540,1816,8997,365,596,19294,6703
E09000015,73804,32617,782,14698,3176,5757,1006,1375,9806,4587
E09000016,84726,51978,404,1713,538,2869,915,313,20549,5447
E09000017,164963,84749,1549,12711,1006,10916,10472,1102,32420,10038
E09000018,128880,61740,1459,9926,615,9795,8177,816,27947,8405
E09000019,167159,75153,1793,4744,2652,10004,1155,1031,54283,16344
E09000020,116546,61059,1711,3210,1625,7853,685,688,29678,10037
E09000021,72450,38809,776,2992,344,3227,561,430,19977,5334
E09000022,137664,72154,1360,3881,850,7822,631,882,39003,11081
E09000023,78895,41832,861,2176,257,4400,356,511,22023,6479
E09000024,75223,42073,638,3638,285,4580,251,371,18188,5199
E09000025,103887,50556,793,7662,459,18802,2483,461,16019,6652
E09000026,78894,36377,514,6184,2690,10928,4349,427,12484,4941
E09000027,78387,41553,784,2209,518,2803,1022,448,22953,6097
E09000028,183496,93222,1856,5157,1458,10111,1215,1123,54599,14755
E09000029,72286,42034,554,2624,191,2661,208,338,18608,5068
E09000030,234726,106270,2047,10580,2705,24682,2522,1265,63003,21652
E09000031,79221,41035,638,2457,640,12500,830,376,15240,5505
E09000032,117924,63100,1200,3947,619,7474,531,650,31264,9139
E09000033,579739,285856,6344,18708,10811,31617,4314,3395,170116,48578
W06000001,24405,15520,72,14,15,70,20,96,6675,1923
W06000002,57626,34367,201,123,22,361,16,319,17694,4523
W06000003,45201,28040,169,98,16,238,16,223,13098,3303
W06000004,41357,26075,167,141,15,238,9,187,11624,2901
W06000005,72020,46833,189,134,31,351,35,188,19496,4763
W06000006,60837,38538,188,252,26,436,51,149,17023,4174
W06000008,32426,18779,164,74,25,175,11,334,10119,2745
W06000009,52951,32676,229,145,18,231,20,370,15320,3942
W06000010,73870,44720,226,174,35,347,64,420,22523,5361
W06000011,110469,60097,440,410,60,1262,153,566,40104,7377
W06000012,51434,28709,147,122,18,298,71,204,18477,3388
W06000013,60466,32404,167,201,19,307,37,248,23309,3774
W06000014,45574,25453,144,146,43,439,45,219,16002,3083
W06000015,199702,104198,925,2025,357,5608,479,960,72160,12990
W06000016,82073,41054,247,273,36,555,109,314,34344,5141
W06000018,58647,28838,144,146,31,379,77,215,24965,3852
W06000019,22021,10782,49,49,3,127,26,66,9368,1551
W06000020,38863,20941,128,150,14,246,39,142,14567,2636
W06000021,38064,22461,125,111,31,199,29,214,12011,2883
W06000022,73360,40467,215,444,38,1754,84,283,25161,4914
W06000023,60142,36192,327,162,41,176,32,403,17835,4974
W06000024,24856,13649,68,81,5,118,29,105,9317,1484
E02000001,356706,184729,3060,13240,5774,12379,3246,1925,103275,29078
E02000002,1130,655,3,32,1,80,30,2,253,74
E02000003,3620,1993,21,167,22,331,119,14,743,210
E02000004,1508,920,5,29,11,55,7,9,355,117
E02000005,1545,882,10,30,10,139,46,7,331,90
E02000007,3664,2302,18,60,13,153,42,14,821,241
E02000008,2356,1470,10,39,7,141,33,9,510,137
E02000009,1168,718,20,23,5,132,25,5,178,62
E02000010,1504,934,7,22,11,71,15,7,344,93
E02000011,2785,1675,9,68,18,115,34,8,697,161
E02000012,1900,1015,12,66,13,319,64,9,289,113
E02000013,1289,811,10,42,6,84,11,2,243,80
E02000014,1836,1163,15,30,7,123,22,5,373,98
E02000015,1333,812,12,34,3,105,11,8,257,91
E02000016,7136,3839,41,379,40,969,186,24,1275,383
E02000017,1704,844,15,99,7,332,72,3,254,78
E02000018,1206,718,10,48,2,110,24,4,221,69
E02000019,4262,2437,15,104,19,305,52,15,1045,270
E02000020,4988,2549,27,278,30,612,187,7,972,326
E02000021,6053,3453,21,264,19,274,258,40,1385,339
E02000022,2425,1292,13,136,23,333,43,11,442,132
E02000023,2634,1403,9,94,12,260,61,9,620,166
E02000024,5670,3016,63,274,243,278,26,59,1253,458
E02000025,1870,991,19,67,118,99,4,16,422,134
E02000026,1104,583,12,31,83,60,5,9,208,113
E02000027,4111,2367,39,268,165,226,17,42,697,290
E02000028,2254,1193,13,88,153,132,6,13,491,165
E02000029,2668,1469,20,116,105,123,6,24,606,199
E02000030,2495,1249,11,92,282,127,18,24,472,220
E02000031,3976,2083,43,227,331,214,18,61,714,285
E02000032,1432,746,25,59,92,109,7,15,269,110
E02000033,3970,2150,29,221,130,225,19,47,843,306
E02000034,2040,1052,18,129,140,124,11,20,368,178
E02000035,2504,1252,26,130,228,142,15,34,487,190
E02000036,2026,935,32,150,327,199,4,28,232,119
E02000037,2010,617,12,161,730,111,9,30,173,167
E02000038,2799,1430,26,169,94,192,14,29,620,225
E02000039,2855,1193,29,179,509,180,14,27,468,256
E02000040,4021,2130,35,143,246,197,13,26,851,380
E02000041,4515,1747,90,609,667,422,34,114,550,282
E02000042,4995,2355,63,393,440,340,27,61,943,373
E02000043,1202,485,18,78,167,45,11,31,244,123
E02000044,1683,873,16,75,195,103,6,14,269,132
E02000045,2481,1149,24,196,87,201,16,27,586,195
E02000046,3090,1198,69,323,252,270,27,60,629,262
E02000047,3399,1751,55,366,201,344,28,54,379,221
E02000048,2281,889,31,118,479,191,11,24,351,187
E02000049,2586,1455,19,115,80,233,21,17,479,167
E02000050,3095,1486,17,213,163,164,20,34,746,252
E02000051,4881,1900,47,323,954,302,30,46,852,427
E02000052,3361,1517,37,163,193,206,17,28,932,268
E02000053,6353,3187,75,588,143,451,42,64,1372,431
E02000054,2394,1074,31,126,269,162,8,22,473,229
E02000055,5792,2380,80,399,1076,405,27,59,908,458
E02000056,2679,1013,25,98,688,138,7,17,438,255
E02000057,2107,757,29,126,610,136,5,16,269,159
E02000058,3616,1236,50,163,1010,254,13,18,529,343
E02000059,3873,1737,55,573,221,415,23,44,553,252
E02000060,2819,911,22,125,1011,143,6,25,330,246
E02000061,3668,1321,76,255,722,281,13,29,631,340
E02000062,7652,3611,87,1075,211,1000,45,92,1041,490
E02000063,1338,719,16,44,70,175,0,6,197,111
E02000064,1447,632,19,68,161,156,6,15,257,133
E02000065,2874,1773,29,83,2,80,91,15,630,171
E02000066,1626,1023,16,24,1,50,35,9,364,104
E02000067,3267,1917,29,120,3,107,115,15,789,172
E02000068,4939,2808,25,132,8,137,158,17,1349,305
E02000069,1292,783,6,21,2,18,50,7,317,88
E02000070,1027,579,8,6,0,24,48,2,276,84
E02000071,2018,1146,27,41,5,57,89,8,526,119
E02000072,3509,2030,25,39,2,53,39,19,1068,234
E02000073,1520,941,8,16,0,35,52,3,362,103
E02000074,1554,869,6,58,2,39,42,6,446,86
E02000075,1366,828,8,25,1,29,24,5,329,117
E02000077,1408,822,12,45,0,34,19,4,361,111
E02000078,1137,652,8,16,1,32,15,2,332,79
E02000079,8226,4774,60,198,12,236,152,34,2202,558
E02000080,3239,1845,34,95,3,175,80,14,779,214
E02000081,2584,1566,10,23,1,47,42,15,698,182
E02000082,2001,1194,8,41,6,50,40,6,535,121
E02000083,5895,3429,23,63,6,140,77,25,1721,411
E02000084,2139,1301,19,28,3,26,36,5,557,164
E02000085,1760,1003,3,40,2,79,12,3,489,129
E02000086,1472,923,5,18,0,27,8,5,385,101
E02000087,2112,1292,17,33,5,61,24,6,545,129
E02000088,1175,725,7,19,1,37,11,3,304,68
E02000089,1204,775,6,11,1,23,5,2,296,85
E02000090,6096,3679,41,107,7,171,50,25,1578,438
E02000091,3887,2431,35,106,7,115,30,17,872,274
E02000092,4545,2768,18,44,6,82,41,18,1255,313
E02000093,3553,1495,42,1010,69,317,29,93,308,190
E02000094,3622,1613,55,659,178,467,37,35,372,206
E02000095,2888,1092,35,812,54,328,26,72,287,182
E02000096,1926,720,12,556,100,132,35,106,160,105
E02000097,2024,1046,26,382,51,211,14,27,155,112
E02000098,1861,804,27,288,202,217,2,31,171,119
E02000099,2772,1249,54,594,28,373,32,63,246,133
E02000100,6410,3307,104,968,110,516,97,116,804,388
E02000101,3090,1470,51,578,44,385,30,42,338,152
E02000102,1708,915,15,268,17,194,9,23,164,103
E02000103,4955,2273,50,670,225,603,40,42,708,344
E02000104,1811,781,29,329,82,202,17,24,216,131
E02000105,2006,800,28,534,12,263,48,19,191,111
E02000106,3903,2031,47,485,77,440,18,34,520,251
E02000107,2721,1327,42,175,53,402,18,15,472,217
E02000108,823,349,10,204,0,124,5,10,59,62
E02000109,8614,3945,115,1778,125,741,131,108,1135,536
E02000110,1356,642,22,72,32,145,5,13,303,122
E02000111,3337,1176,58,1049,23,382,52,57,344,196
