GeographyCode,WP207WA0001,WP207WA0002,WP207WA0003,WP207WA0004,WP207WA0005,WP207WA0006,WP207WA0007,WP207WA0008,WP207WA0009,WP207WA0010,WP207WA0011,WP207WA0012
W02000033,4890,2907,583,1157,176,118,860,3,99,23,5,116
W02000034,2751,1710,291,655,84,57,513,1,42,15,5,33
W02000035,1758,1089,188,406,71,44,287,4,37,9,1,28
W02000036,2628,1771,287,468,68,41,358,1,52,19,5,26
W02000037,3597,1982,437,1038,136,103,794,5,59,15,4,62
W02000038,3154,1575,421,1055,155,106,788,6,66,12,4,21
W02000039,2042,839,283,851,122,67,660,2,39,9,2,19
W02000040,2255,667,158,1375,91,55,1228,1,33,6,2,14
W02000041,3558,1169,415,1867,168,128,1563,8,56,17,2,32
W02000042,744,570,53,94,20,10,62,2,14,3,1,9
W02000043,2415,1808,187,307,43,39,223,2,34,8,5,66
W02000044,863,600,65,171,19,10,142,0,18,3,1,5
W02000045,5580,4126,445,784,122,91,567,4,96,27,5,97
W02000047,2209,1682,162,276,54,22,200,0,36,14,0,39
W02000049,1368,949,116,255,38,22,194,1,25,6,2,15
W02000050,8043,5162,764,1541,229,187,1117,8,136,35,8,397
W02000051,3221,1977,309,738,76,62,594,6,64,17,3,113
W02000052,2212,1034,333,728,77,64,585,2,57,10,2,48
W02000053,2614,1176,327,1003,123,81,796,3,52,23,1,32
W02000054,2020,1131,226,538,75,44,418,1,25,6,0,94
W02000055,3682,1599,475,1397,170,102,1119,6,70,22,3,116
W02000056,1810,636,180,924,102,77,744,1,24,6,0,40
W02000057,2922,1585,288,863,99,87,673,4,40,10,3,133
W02000058,1329,873,131,236,39,25,171,1,16,7,1,65
W02000059,1758,1226,117,253,35,24,192,2,35,9,3,115
W02000060,4203,3016,256,504,85,54,364,1,82,14,3,328
W02000061,4968,3670,232,453,65,37,349,2,57,20,5,531
W02000062,1086,852,66,102,20,14,68,0,22,6,1,37
W02000063,2205,1483,200,377,61,41,273,2,42,15,2,86
W02000064,2890,1834,103,221,32,26,161,2,40,8,5,679
W02000065,2159,1544,78,166,20,11,132,3,27,10,0,334
W02000066,11716,6325,336,593,120,71,401,1,112,27,3,4320
W02000067,781,631,32,76,12,10,53,1,10,3,1,28
W02000068,5227,3314,146,269,52,20,193,4,43,11,3,1441
W02000069,2295,1647,130,254,50,25,178,1,30,10,2,222
W02000070,4335,2613,159,306,42,41,221,2,53,7,2,1195
W02000071,1141,868,69,139,26,9,104,0,21,8,0,36
W02000072,11250,6202,312,597,92,67,429,9,102,29,6,4002
W02000073,8129,5451,530,1308,178,121,996,13,142,30,12,656
W02000074,2714,1982,134,190,31,24,133,2,48,10,4,346
W02000075,991,732,42,81,14,10,56,1,23,2,0,111
W02000076,1360,984,100,229,36,19,171,3,13,4,1,29
W02000077,1483,1067,104,163,29,16,117,1,32,6,0,111
W02000080,1747,1362,91,121,21,13,86,1,24,9,1,139
W02000081,1152,895,58,115,23,12,79,1,24,4,1,55
W02000082,1134,907,70,94,16,13,62,3,17,2,2,42
W02000083,1339,962,107,177,26,17,132,2,31,11,3,48
W02000084,903,676,56,88,11,8,68,1,18,8,3,54
W02000085,8841,5996,498,933,119,114,697,3,153,46,13,1202
W02000086,1697,1297,72,211,33,25,153,0,27,6,5,79
W02000087,882,627,48,168,14,9,143,2,9,0,0,30
W02000088,10068,7016,633,1084,181,113,782,8,179,44,9,1103
W02000089,4100,2947,217,363,46,37,279,1,54,17,5,497
W02000090,1127,812,82,147,22,18,107,0,18,3,2,63
W02000091,1821,1251,146,181,31,21,129,0,33,8,4,198
W02000092,2191,1456,188,303,54,27,220,2,62,14,3,165
W02000093,2343,1761,149,175,27,19,129,0,44,9,1,204
W02000094,1478,1076,130,158,19,17,120,2,35,8,2,69
W02000095,2356,1672,93,131,17,14,100,0,27,6,0,427
W02000096,2760,1690,174,318,50,31,235,2,28,8,0,542
W02000097,3401,1666,327,1009,96,81,825,7,66,19,5,309
W02000098,1523,1123,99,123,23,7,93,0,21,1,1,155
W02000099,5790,3981,337,583,85,60,430,8,83,25,6,775
W02000100,2529,930,239,1271,107,89,1063,12,52,9,3,25
W02000101,1881,1408,93,163,31,12,119,1,28,13,3,173
W02000102,2108,1238,211,562,56,41,464,1,43,8,6,40
W02000103,1736,1382,89,121,22,12,86,1,18,2,0,124
W02000104,5183,3710,362,689,92,66,526,5,107,26,3,286
W02000105,2832,2089,215,330,60,33,232,5,45,10,3,140
W02000106,2544,1794,240,394,72,44,277,1,62,20,5,29
W02000107,4016,3154,84,166,30,19,116,1,34,8,3,567
W02000108,2241,1865,112,188,25,17,143,3,45,8,0,23
W02000109,3981,3072,226,458,64,43,345,6,76,22,10,117
W02000110,2840,2208,188,328,46,33,248,1,47,19,2,48
W02000111,4368,3390,154,294,34,29,231,0,72,16,5,437
W02000113,5409,4200,321,564,86,66,407,5,120,35,7,162
W02000114,2459,2071,105,147,15,11,120,1,52,13,1,70
W02000116,2000,767,205,956,90,80,781,5,43,7,0,22
W02000117,6856,3046,718,2829,252,234,2334,9,144,49,5,65
W02000118,3956,1613,454,1753,163,142,1439,9,84,23,3,26
W02000120,2871,887,302,1626,130,133,1354,9,35,11,3,7
W02000122,2039,785,188,1006,78,79,846,3,30,9,0,21
W02000123,3777,1235,331,2136,152,131,1846,7,52,11,2,10
W02000124,4194,1417,514,2167,264,183,1706,14,61,18,3,14
W02000125,2564,859,233,1430,98,94,1232,6,22,4,8,8
W02000126,2971,977,261,1646,160,140,1336,10,47,14,4,22
W02000127,3405,1652,443,1165,187,124,851,3,87,21,8,29
W02000128,3431,1959,392,806,149,106,549,2,64,15,2,193
W02000129,2579,1624,242,654,90,62,498,4,37,11,1,10
W02000130,8087,5999,582,1279,217,130,927,5,140,38,8,41
W02000131,3457,2651,221,505,100,60,337,8,57,10,3,10
W02000132,3280,2335,248,599,83,84,428,4,54,11,5,28
W02000133,2688,2195,157,264,46,32,185,1,39,9,1,23
W02000134,2320,1939,126,189,41,19,127,2,25,12,3,26
W02000135,2464,2104,128,195,37,22,135,1,23,4,1,9
W02000136,2344,1895,127,240,41,25,174,0,28,10,3,41
W02000137,1655,1431,60,123,27,13,82,1,12,6,0,23
W02000138,5063,4217,261,397,71,50,274,2,61,16,1,110
W02000139,1839,1549,77,168,25,20,116,7,20,3,2,20
W02000140,4163,3453,177,306,44,40,221,1,55,14,2,156
W02000141,3205,2686,165,291,51,27,213,0,34,6,2,21
W02000142,2116,811,176,1100,108,77,913,2,15,8,0,6
W02000143,2343,957,256,1032,101,91,840,0,59,8,4,27
W02000144,2854,1010,283,1508,154,101,1248,5,26,14,4,9
W02000145,2911,1022,327,1486,166,160,1154,6,45,11,5,15
W02000146,2017,723,208,1046,111,79,851,5,27,11,1,1
W02000147,3627,1387,446,1664,171,138,1348,7,71,19,7,33
W02000148,3613,1499,502,1502,212,153,1128,9,65,26,2,17
W02000149,9393,3850,1270,4010,509,399,3084,18,172,63,7,21
W02000151,1307,403,144,729,109,80,538,2,23,7,0,1
W02000152,2408,982,330,1043,203,111,725,4,39,5,2,7
W02000153,1775,597,212,908,120,87,697,4,32,10,0,16
W02000154,3350,1098,482,1651,259,161,1225,6,71,28,9,11
W02000156,4205,1866,430,1792,229,172,1386,5,59,10,5,43
W02000157,1857,593,162,1065,119,87,854,5,23,5,0,9
W02000158,1031,486,132,383,70,33,277,3,20,3,3,4
W02000159,1196,488,180,493,77,49,365,2,24,5,2,4
W02000160,1159,603,161,360,47,29,282,2,25,6,1,3
W02000161,4488,2634,619,1094,193,120,777,4,78,26,1,36
W02000162,1565,804,251,440,74,41,323,2,38,13,2,17
W02000163,1522,791,192,505,59,33,410,3,25,5,3,1
W02000164,5300,2683,827,1614,200,171,1235,8,116,38,6,16
W02000165,4211,2528,519,1009,161,87,758,3,119,24,8,4
W02000166,2622,1474,381,695,120,59,514,2,52,12,6,2
W02000167,2531,1564,348,529,95,65,367,2,47,19,7,17
W02000168,1472,909,187,335,53,31,250,1,24,6,2,9
W02000169,2352,1608,228,450,69,48,331,2,48,10,1,7
W02000170,5088,3839,403,693,101,68,520,4,107,23,3,20
W02000171,2937,2288,223,358,54,40,262,2,41,15,1,11
W02000172,3415,2657,278,366,67,44,255,0,63,17,4,30
W02000173,1427,1132,95,160,22,14,124,0,30,6,3,1
W02000174,1637,1237,134,208,30,19,158,1,40,13,4,1
W02000175,3344,2685,208,363,51,36,275,1,61,13,2,12
W02000176,5396,4062,409,762,117,78,562,5,99,24,2,38
W02000177,10992,8633,672,1184,185,118,875,6,171,50,4,278
W02000178,1471,1151,69,219,24,16,179,0,23,6,0,3
W02000179,1577,1186,121,233,22,20,190,1,31,5,1,0
W02000180,3804,3212,200,308,50,26,232,0,55,14,0,15
W02000181,7053,5682,417,738,126,80,528,4,119,20,6,71
W02000182,2092,1757,107,174,35,18,119,2,36,9,0,9
W02000183,3540,2945,206,301,39,45,217,0,44,14,2,28
W02000184,3380,2666,197,295,54,39,202,0,54,9,1,158
W02000185,986,811,67,81,22,9,50,0,20,4,2,1
W02000186,924,799,49,55,9,3,43,0,16,4,0,1
W02000187,753,646,42,55,6,10,39,0,8,0,0,2
W02000188,4214,3365,236,453,30,47,373,3,72,17,5,66
W02000189,2798,2287,174,275,42,28,203,2,48,6,3,5
W02000190,910,761,51,71,10,8,52,1,19,1,3,4
W02000191,2858,2276,183,275,48,20,205,2,47,10,3,64
W02000192,19645,15969,1028,1955,244,188,1509,14,388,73,14,218
W02000193,3341,2549,162,338,50,38,248,2,64,5,1,222
W02000194,6769,5427,396,723,71,78,571,3,127,22,4,70
W02000195,1165,951,67,107,22,15,69,1,23,7,0,10
W02000196,1002,847,43,86,15,8,63,0,15,4,0,7
W02000197,1959,1619,118,158,24,12,121,1,30,4,1,29
W02000198,2168,1835,115,153,29,16,108,0,26,8,4,27
W02000200,1065,745,103,183,33,26,123,1,25,3,1,5
W02000201,1286,907,100,231,33,21,176,1,35,8,1,4
W02000202,3263,2025,375,754,122,90,538,4,63,22,4,20
W02000203,1701,1378,95,172,29,10,132,1,32,8,1,15
W02000204,980,767,72,113,12,16,85,0,20,7,0,1
W02000205,3131,2457,209,363,59,40,264,0,78,12,2,10
W02000206,5286,4223,321,584,90,64,428,2,103,27,9,19
W02000207,672,560,36,53,12,4,36,1,17,4,0,2
W02000208,4864,3940,262,517,82,50,381,4,78,13,7,47
W02000209,838,679,43,84,13,4,67,0,30,2,0,0
W02000210,832,688,63,62,13,7,42,0,14,3,1,1
W02000211,3534,2878,187,359,54,28,277,0,77,22,2,9
W02000212,1363,1117,92,127,27,13,86,1,20,6,1,0
W02000213,2163,1767,108,191,35,14,142,0,61,10,4,22
W02000214,2487,2127,129,178,24,13,141,0,43,5,0,5
W02000215,5528,4535,291,531,78,66,382,5,114,34,8,15
W02000216,2543,2148,138,193,28,22,142,1,40,15,2,7
W02000217,8304,7057,389,611,97,81,431,2,133,21,8,85
W02000218,985,829,38,82,7,6,67,2,30,4,1,1
W02000219,2153,1786,102,184,19,14,149,2,60,16,1,4
W02000220,1337,1173,37,85,16,13,56,0,28,7,2,5
W02000221,1538,1289,66,119,12,12,95,0,41,4,2,17
W02000222,1016,788,44,140,13,10,116,1,34,9,1,0
W02000223,1743,1477,56,149,26,14,109,0,45,12,0,4
W02000224,3000,2569,114,229,22,16,191,0,54,19,1,14
W02000225,3202,2756,126,234,27,23,184,0,55,11,0,20
W02000226,4329,3602,185,373,32,39,296,6,88,19,3,59
W02000227,1083,918,41,97,9,8,78,2,18,4,2,3
W02000228,5374,4595,213,391,53,46,292,0,108,21,4,42
W02000229,744,630,37,55,5,5,45,0,20,1,0,1
W02000230,4118,3491,170,345,42,30,272,1,81,11,8,12
W02000231,10137,8603,424,761,77,92,587,5,239,62,8,40
W02000232,13041,11105,556,931,110,108,706,7,204,33,5,207
W02000233,746,649,31,43,6,6,31,0,17,4,2,0
W02000234,1529,1253,81,135,12,14,108,1,41,10,2,7
W02000235,2935,2506,114,213,22,19,170,2,71,16,4,11
W02000236,1456,1246,59,100,14,10,75,1,27,10,2,12
W02000237,1898,1609,73,154,16,20,116,2,39,7,0,16
W02000238,2525,2070,99,266,35,17,210,4,50,13,1,26
W02000239,5120,4266,194,490,50,36,400,4,77,17,2,74
W02000240,4664,4019,160,374,51,25,297,1,70,12,2,27
W02000241,4664,4012,154,321,41,25,253,2,75,12,4,86
W02000242,1751,1523,64,130,10,14,106,0,21,5,2,6
W02000243,1520,1303,52,128,13,9,106,0,25,7,1,4
W02000244,1699,1498,46,119,14,9,95,1,17,4,1,14
W02000245,2754,2451,78,158,19,15,123,1,37,6,0,24
W02000246,1384,1139,54,165,13,14,137,1,22,3,1,0
W02000247,2061,1759,97,161,22,14,124,1,24,11,1,8
W02000248,4496,3856,144,381,40,36,304,1,64,14,3,34
W02000249,2043,1769,72,162,17,19,125,1,26,5,0,9
W02000250,5648,4703,172,299,34,23,242,0,52,15,4,403
W02000251,3347,2797,124,319,31,30,257,1,43,7,2,55
W02000252,2396,1891,126,286,27,21,237,1,55,15,1,22
W02000253,3053,2564,142,218,24,15,177,2,68,11,4,46
W02000254,2003,1608,99,207,29,19,158,1,63,17,5,4
W02000255,1948,1674,94,130,18,14,98,0,33,15,1,1
W02000256,2104,1826,81,138,17,22,97,2,41,7,2,9
W02000257,2001,1708,82,146,16,18,110,2,43,10,2,10
W02000258,905,734,45,78,9,5,64,0,30,6,0,12
W02000259,715,626,26,43,8,0,35,0,13,7,0,0
W02000260,1244,1035,44,118,10,8,99,1,30,7,0,10
W02000261,2409,1988,102,243,26,24,191,2,57,12,0,7
W02000262,993,832,42,85,9,7,68,1,26,3,0,5
W02000263,2472,2020,105,267,26,24,216,1,49,5,1,25
W02000264,785,676,27,60,8,1,51,0,18,3,0,1
W02000265,2713,2266,114,252,23,16,211,2,60,12,3,6
W02000266,911,756,29,104,12,9,83,0,18,3,1,0
W02000267,2097,1823,76,151,23,6,119,3,31,11,2,3
W02000268,2208,1834,91,228,21,12,194,1,37,11,3,4
W02000269,1731,1490,56,131,11,8,112,0,41,10,1,2
W02000270,1722,1392,81,199,12,13,173,1,33,10,2,5
W02000271,1868,1526,73,217,19,13,182,3,37,5,2,8
W02000272,5512,4501,248,589,44,44,500,1,111,30,5,28
W02000273,4172,3345,199,491,56,40,392,3,80,14,2,41
W02000274,2949,2533,100,244,26,20,197,1,50,15,2,5
W02000275,1020,854,32,113,16,11,86,0,16,5,0,0
W02000276,2678,2173,73,315,30,24,257,4,49,15,0,53
W02000277,8416,7057,309,721,72,59,590,0,151,31,6,141
W02000278,2018,1629,71,267,27,27,213,0,32,11,1,7
W02000279,1383,1141,53,151,13,9,129,0,30,3,1,4
W02000280,3297,2613,133,319,34,22,261,2,54,14,3,161
W02000281,10454,8663,435,1020,93,97,827,3,191,47,11,87
W02000282,3896,3231,135,431,37,27,363,4,55,14,2,28
W02000284,4554,4112,138,216,31,21,163,1,45,17,5,21
W02000285,2322,1962,74,228,24,15,186,3,40,11,2,5
W02000286,7935,6696,350,659,69,51,533,6,162,39,6,23
W02000287,2594,2246,90,193,20,9,163,1,27,5,3,30
W02000288,2543,2186,62,207,22,17,166,2,44,5,2,37
W02000289,1173,991,37,115,15,14,86,0,23,3,0,4
W02000290,2331,2005,86,175,21,15,138,1,33,7,1,24
W02000291,1095,977,29,68,12,3,52,1,9,2,1,9
W02000292,1139,987,34,101,6,6,88,1,13,3,1,0
W02000293,1531,1342,50,110,11,13,84,2,24,3,0,2
W02000294,1020,909,20,55,6,2,47,0,12,5,0,19
W02000295,4549,3973,89,240,28,25,187,0,27,6,2,212
W02000296,1487,1217,24,211,12,16,180,3,15,2,2,16
W02000297,2334,2063,61,162,12,13,137,0,28,5,2,13
W02000298,3394,2956,93,255,28,23,202,2,34,10,3,43
W02000299,1501,1345,50,83,10,8,64,1,16,1,1,5
W02000300,3499,3092,88,237,26,23,186,2,39,5,3,35
W02000301,3209,2872,88,175,26,22,127,0,41,5,1,27
W02000302,5317,4456,160,521,47,38,432,4,99,27,1,53
W02000303,2417,2177,53,136,13,11,112,0,16,5,1,29
W02000304,1685,1530,38,79,13,8,58,0,9,3,0,26
W02000305,678,611,17,41,7,3,30,1,5,0,0,4
W02000306,2119,1908,45,126,10,18,95,3,15,3,1,21
W02000307,864,664,33,143,19,14,110,0,19,2,3,0
W02000308,1245,1076,41,105,6,11,88,0,18,3,1,1
W02000309,4143,3558,122,349,38,29,280,2,49,8,3,54
W02000310,2045,1659,66,194,22,19,152,1,25,5,2,94
W02000311,3765,3210,125,329,31,27,270,1,48,12,3,38
W02000312,1734,1419,74,173,18,11,144,0,33,8,1,26
W02000313,5546,4581,226,487,48,47,388,4,88,18,4,142
W02000314,2609,2405,54,107,17,8,80,2,18,2,1,22
W02000315,1802,1636,52,83,15,10,58,0,12,2,4,13
W02000316,2543,2337,49,109,19,8,81,1,15,1,3,29
W02000317,3698,3184,68,224,32,20,168,4,33,8,3,178
W02000318,2364,2116,69,133,26,14,90,3,18,6,4,18
W02000319,2173,1939,61,129,18,10,99,2,21,6,5,12
W02000320,3348,3043,62,143,23,19,101,0,31,11,2,56
W02000321,2576,2353,63,114,14,14,86,0,16,3,6,21
W02000322,908,837,28,36,5,3,28,0,4,1,1,1
W02000323,1734,1601,26,75,18,6,48,3,9,4,2,17
W02000324,998,874,31,78,5,2,71,0,9,4,0,2
W02000325,1141,967,19,136,7,4,124,1,14,1,1,3
W02000326,4769,4241,116,310,52,26,230,2,31,13,5,53
W02000327,2551,2259,63,131,24,11,94,2,14,6,1,77
W02000328,3049,2851,41,102,16,12,74,0,17,7,1,30
W02000329,2392,2195,41,103,19,13,69,2,6,8,1,38
W02000330,3689,3253,89,236,34,20,181,1,34,5,6,66
W02000331,678,611,11,48,8,9,30,1,5,0,0,3
W02000332,8169,7297,160,501,58,58,376,9,71,28,15,97
W02000333,960,859,23,62,12,8,42,0,6,2,1,7
W02000334,708,647,19,37,9,7,21,0,2,1,0,2
W02000335,8025,7212,153,378,51,42,282,3,55,19,7,201
W02000336,7378,6512,182,386,56,43,280,7,69,28,8,193
W02000337,1294,1119,35,103,12,9,82,0,14,3,3,17
W02000338,2050,1852,44,99,17,9,73,0,19,6,2,28
W02000339,5006,3708,79,179,26,24,128,1,41,6,4,989
W02000340,3038,2625,76,149,29,19,96,5,19,8,3,158
W02000341,4272,3792,62,210,28,17,163,2,36,12,4,156
W02000342,2644,2188,52,104,14,5,85,0,11,6,0,283
W02000343,5163,3886,81,196,33,20,142,1,31,6,4,959
W02000344,2718,2223,40,133,28,14,91,0,13,6,0,303
W02000345,2467,2083,54,134,17,13,103,1,14,4,1,177
W02000346,2034,1800,51,85,14,8,62,1,13,6,2,77
W02000347,3799,3329,86,249,37,18,193,1,36,15,1,83
W02000348,1560,1429,22,77,14,7,55,1,15,6,0,11
W02000349,996,904,22,55,6,3,46,0,8,2,1,4
W02000350,5685,5137,90,197,43,16,138,0,30,19,2,210
W02000351,570,514,14,32,11,1,20,0,6,2,1,1
W02000352,2617,2371,59,99,22,6,70,1,12,11,1,64
W02000353,1960,1753,53,94,19,10,65,0,19,4,1,36
W02000354,708,650,9,31,1,1,28,1,9,3,0,6
W02000355,2350,2077,50,109,12,7,87,3,12,9,1,92
W02000356,1131,953,21,102,9,5,88,0,5,5,1,44
W02000357,2217,2054,37,86,18,9,58,1,11,8,1,20
W02000358,2866,2553,64,173,31,14,126,2,30,7,4,35
W02000359,2255,2067,37,83,15,6,61,1,21,8,0,39
W02000360,12492,11292,249,632,95,63,465,9,104,31,5,179
W02000361,8478,7758,142,323,60,36,222,5,42,15,10,188
W02000362,1239,1097,42,75,12,7,56,0,11,0,0,14
W02000363,1282,1170,31,57,9,7,40,1,14,4,1,5
W02000364,6505,5904,113,264,51,22,188,3,47,18,3,156
W02000365,2410,2197,40,124,22,11,91,0,17,3,0,29
W02000366,12240,10502,237,629,65,57,504,3,109,18,3,742
W02000367,1309,1126,39,113,17,9,86,1,21,4,1,5
W02000368,881,772,22,63,6,3,52,2,16,1,3,4
W02000369,6637,5703,179,443,52,39,349,3,102,19,6,185
W02000370,960,811,35,96,8,11,77,0,12,5,0,1
W02000371,7919,6614,264,794,62,78,651,3,140,24,5,78
W02000372,2541,2062,108,291,26,26,239,0,42,8,1,29
W02000373,2024,1717,60,142,16,16,109,1,27,4,3,71
W02000374,950,821,33,67,13,3,50,1,15,5,0,9
W02000375,2140,1853,56,168,15,12,140,1,25,3,2,33
W02000376,4621,3954,153,377,41,36,299,1,64,15,3,55
W02000377,6070,5158,174,354,40,26,285,3,63,11,3,307
W02000378,1253,1059,51,105,11,10,82,2,25,7,0,6
W02000379,554,492,14,31,2,3,26,0,12,0,1,4
W02000380,1715,1283,85,296,20,20,256,0,28,8,0,15
W02000381,907,770,22,85,11,5,69,0,6,3,1,20
W02000382,1309,1126,50,89,8,8,73,0,26,8,2,8
W02000383,909,778,37,79,14,7,58,0,10,3,0,2
W02000384,12402,10668,417,919,103,87,722,7,181,36,11,170
W02000385,1517,1229,76,169,16,13,139,1,23,1,1,18
W02000386,2656,2180,92,312,21,27,264,0,47,11,2,12
W02000387,2428,2099,86,172,18,13,140,1,45,7,2,17
W02000388,3019,2724,64,149,22,12,115,0,34,7,3,38
W02000389,1571,1235,63,228,14,18,196,0,19,6,2,18
W02000390,1092,938,39,90,9,11,70,0,22,2,0,1
W02000391,4700,4044,150,362,34,26,302,0,67,16,0,61
W02000392,6276,4668,262,1094,67,80,942,5,95,24,3,130
W02000393,828,698,20,96,15,4,77,0,10,1,1,2
W02000394,2779,2396,90,206,29,21,154,2,44,9,1,33
W02000395,3623,3163,106,255,23,28,203,1,31,17,1,50
W02000396,2284,1947,66,173,18,9,144,2,22,4,0,72
W02000397,1793,1482,56,226,11,18,197,0,21,4,0,4
W02000398,37020,29945,1221,4118,346,331,3422,19,623,165,34,914
W02000399,5338,4522,177,436,44,44,343,5,85,12,3,103
W02000400,5475,4296,231,744,69,69,602,4,98,13,5,88
W02000401,966,777,37,122,9,8,104,1,20,3,2,5
W02000402,7214,6101,242,625,68,61,493,3,116,19,4,107
W02000403,2694,2391,74,138,17,12,107,2,25,5,3,58
W02000404,5856,4978,180,468,59,40,363,6,66,7,4,153
W02000405,604,540,11,42,5,2,34,1,7,3,0,1
W02000406,5966,5008,175,598,57,40,498,3,84,17,5,79
W02000407,2013,1712,83,164,24,29,111,0,27,8,1,18
W02000408,2267,1913,79,184,20,16,147,1,32,8,1,50
W02000409,1049,895,40,94,12,9,71,2,19,1,0,0
W02000410,1248,1119,28,74,10,5,58,1,10,7,0,10
W02000411,1070,925,38,88,11,9,68,0,11,1,1,6
W02000412,5268,4632,136,360,46,37,276,1,64,13,2,61
W02000414,2236,1651,198,300,62,33,205,0,56,10,4,17
W02000415,3735,3193,158,253,23,21,206,3,81,15,7,28
W02000416,3065,1540,503,917,225,111,575,6,61,18,7,19
W02000417,1594,659,185,713,116,60,537,0,25,4,0,8
W02000418,4469,2047,581,1681,219,174,1281,7,91,29,5,35
W02000419,1654,1179,143,276,37,18,220,1,35,4,1,16
W02000420,14898,10972,633,892,156,99,629,8,183,44,11,2163
W02000421,4169,1516,402,2175,182,174,1811,8,46,12,1,17
W02000422,13519,11269,459,1268,127,109,1029,3,192,46,11,274
W02000423,12468,10281,447,1132,112,103,912,5,183,27,13,385
W35000001,298,99,41,144,24,13,106,1,7,2,0,5
W35000002,301,136,37,120,11,7,102,0,2,1,0,5
W35000003,363,88,28,239,13,18,208,0,3,1,0,4
W35000004,867,161,80,604,55,46,501,2,7,1,2,12
W35000005,266,32,26,204,14,15,174,1,2,0,2,0
W35000006,1179,113,103,950,53,60,832,5,4,5,0,4
W35000007,749,216,159,301,67,30,204,0,17,4,0,52
W35000008,301,41,44,211,16,18,177,0,2,3,0,0
W35000009,286,94,25,149,12,18,118,1,3,3,0,12
