GeographyCode,WP101EW0001
E07000209,77684
E07000210,46437
E07000211,67831
E07000212,49802
E07000213,41012
E07000214,43918
E07000215,33114
E07000216,52153
E07000217,44230
E07000218,39558
E07000219,45300
E07000220,47452
E07000221,63398
E07000222,77726
E07000223,22179
E07000224,49092
E07000225,61226
E07000226,79370
E07000227,56174
E07000228,60745
E07000229,49415
E07000234,39055
E07000235,31181
E07000236,39031
E07000237,53214
E07000238,54092
E07000239,37393
E08000001,114946
E08000002,73437
E08000003,319745
E08000004,89047
E08000005,79184
E08000006,113752
E08000007,125903
E08000008,79528
E08000009,129951
E08000010,117725
E08000011,57202
E08000012,235801
E08000013,64928
E08000014,102777
E08000015,112249
E08000016,82962
E08000017,127557
E08000018,107716
E08000019,261340
E08000020,91882
E08000021,169652
E08000022,84221
E08000023,50317
E08000024,126089
E08000025,488095
E08000026,148246
E08000027,123197
E08000028,125467
E08000029,99967
E08000030,105000
E08000031,108004
E08000032,213515
E08000033,94704
E08000034,166882
E08000035,409815
E08000036,151142
E09000001,356706
E09000002,58444
E09000003,129112
E09000004,74670
E09000005,115221
E09000006,111405
E09000007,272367
E09000008,120398
E09000009,132461
E09000010,105493
E09000011,86199
E09000012,103604
E09000013,124530
E09000014,81001
E09000015,73804
E09000016,84726
E09000017,164963
E09000018,128880
E09000019,167159
E09000020,116546
E09000021,72450
E09000022,137664
E09000023,78895
E09000024,75223
E09000025,103887
E09000026,78894
E09000027,78387
E09000028,183496
E09000029,72286
E09000030,234726
E09000031,79221
E09000032,117924
E09000033,579739
W06000001,24405
W06000002,57626
W06000003,45201
W06000004,41357
W06000005,72020
W06000006,60837
W06000008,32426
W06000009,52951
W06000010,73870
W06000011,110469
W06000012,51434
W06000013,60466
W06000014,45574
W06000015,199702
W06000016,82073
W06000018,58647
W06000019,22021
W06000020,38863
W06000021,38064
W06000022,73360
W06000023,60142
W06000024,24856
E02000001,356706
E02000002,1130
E02000003,3620
E02000004,1508
E02000005,1545
E02000007,3664
E02000008,2356
E02000009,1168
E02000010,1504
E02000011,2785
E02000012,1900
E02000013,1289
E02000014,1836
E02000015,1333
E02000016,7136
E02000017,1704
E02000018,1206
E02000019,4262
E02000020,4988
E02000021,6053
E02000022,2425
E02000023,2634
E02000024,5670
E02000025,1870
E02000026,1104
E02000027,4111
E02000028,2254
E02000029,2668
E02000030,2495
E02000031,3976
E02000032,1432
E02000033,3970
E02000034,2040
E02000035,2504
E02000036,2026
E02000037,2010
E02000038,2799
E02000039,2855
E02000040,4021
E02000041,4515
E02000042,4995
E02000043,1202
E02000044,1683
E02000045,2481
E02000046,3090
E02000047,3399
E02000048,2281
E02000049,2586
E02000050,3095
E02000051,4881
E02000052,3361
E02000053,6353
E02000054,2394
E02000055,5792
E02000056,2679
E02000057,2107
E02000058,3616
E02000059,3873
E02000060,2819
E02000061,3668
E02000062,7652
E02000063,1338
E02000064,1447
E02000065,2874
E02000066,1626
E02000067,3267
E02000068,4939
E02000069,1292
E02000070,1027
E02000071,2018
E02000072,3509
E02000073,1520
E02000074,1554
E02000075,1366
E02000077,1408
E02000078,1137
E02000079,8226
E02000080,3239
E02000081,2584
E02000082,2001
E02000083,5895
E02000084,2139
E02000085,1760
E02000086,1472
E02000087,2112
E02000088,1175
E02000089,1204
E02000090,6096
E02000091,3887
E02000092,4545
E02000093,3553
E02000094,3622
E02000095,2888
E02000096,1926
E02000097,2024
E02000098,1861
E02000099,2772
E02000100,6410
E02000101,3090
E02000102,1708
E02000103,4955
E02000104,1811
E02000105,2006
E02000106,3903
E02000107,2721
E02000108,823
E02000109,8614
E02000110,1356
E02000111,3337
E02000112,5163
E02000113,3579
E02000114,2261
E02000115,1414
E02000116,3123
E02000117,2801
E02000118,3321
E02000119,11908
E02000120,2756
E02000121,5186
E02000122,1987
E02000123,4155
E02000124,4590
E02000125,1928
E02000126,1669
E02000127,1415
E02000128,1913
E02000130,3516
E02000131,2056
E02000132,4125
E02000133,2512
E02000134,6331
E02000135,2342
E02000136,1795
E02000137,1372
E02000138,2203
E02000139,1983
E02000140,3070
E02000141,1472
E02000142,4012
E02000144,14700
E02000145,3359
E02000146,3044
E02000147,1250
E02000148,2010
E02000149,3243
E02000150,3044
E02000151,1177
E02000152,1831
E02000153,1181
E02000154,5507
E02000155,1112
E02000156,3703
E02000157,1459
E02000158,1093
E02000159,3078
E02000160,2798
E02000161,1477
E02000162,4595
E02000163,2866
E02000165,1541
E02000166,3101
E02000167,3845
E02000168,5494
E02000169,2121
E02000170,2264
E02000171,2314
E02000172,4975
E02000173,10765
E02000174,3056
E02000175,3949
E02000176,2045
E02000177,2355
E02000178,2190
E02000179,1483
E02000180,2218
E02000181,1281
E02000182,3585
E02000183,7108
E02000184,9940
E02000185,2541
E02000186,24140
E02000187,7794
E02000188,7915
E02000189,5189
E02000190,10143
E02000191,40890
E02000192,30890
E02000193,68776
E02000194,2849
E02000195,1668
E02000196,1815
E02000197,1821
E02000198,1685
E02000199,1228
E02000200,2227
E02000201,1952
E02000202,1368
E02000203,2770
E02000204,1843
E02000206,3798
E02000207,1915
E02000208,4799
E02000209,2203
E02000210,1366
E02000211,1348
E02000212,3705
E02000213,7010
E02000214,1451
E02000215,3623
E02000216,1241
E02000217,7813
E02000218,1025
E02000219,2001
E02000220,16751
E02000221,5359
E02000222,2780
E02000223,756
E02000224,2862
E02000225,1529
E02000226,2126
E02000227,2109
E02000228,1584
E02000229,1626
E02000230,4058
E02000231,2065
E02000232,1325
E02000233,1455
E02000234,3422
E02000235,1688
E02000236,1554
E02000237,1712
E02000238,3474
E02000239,1738
E02000240,1669
E02000241,2092
E02000242,2830
E02000243,6078
E02000244,4066
E02000245,1215
E02000246,1180
E02000247,1933
E02000248,6059
E02000249,3086
E02000250,1306
E02000251,1130
E02000252,17880
E02000253,1465
E02000254,1281
E02000255,1954
E02000256,6327
E02000257,7657
E02000258,1106
E02000259,1584
E02000260,3412
E02000261,2402
E02000262,3686
E02000263,2398
E02000264,2527
E02000265,3733
E02000266,9321
E02000267,2928
E02000268,3347
E02000269,3471
E02000270,4009
E02000271,3414
E02000272,2075
E02000274,3798
E02000275,1715
E02000276,1696
E02000277,1148
E02000278,1305
E02000279,3655
E02000280,3308
E02000281,2220
E02000282,1841
E02000283,1627
E02000284,3451
E02000285,3617
E02000286,6148
E02000287,3046
E02000288,6738
E02000289,1156
E02000290,6847
E02000291,4711
E02000292,3546
E02000293,1121
E02000294,1671
E02000295,1857
E02000296,6305
E02000297,2047
E02000298,2148
E02000299,1970
E02000300,1341
E02000301,2111
E02000302,1751
E02000303,2026
E02000304,1528
E02000305,2843
E02000306,5044
E02000307,1471
E02000308,2581
E02000309,3933
E02000311,2216
E02000312,2795
E02000313,784
E02000314,6011
E02000315,1545
E02000316,11386
E02000317,1386
E02000318,2703
E02000319,2717
E02000320,1208
E02000321,1476
E02000323,2744
E02000324,1735
E02000326,1158
E02000327,6047
E02000328,1303
E02000329,1012
E02000331,1334
E02000332,1814
E02000333,1990
E02000334,1095
E02000335,939
E02000337,1277
E02000339,2678
E02000340,3539
E02000341,1389
E02000342,1733
E02000343,1075
E02000344,2049
E02000345,3248
E02000346,1297
E02000347,1908
E02000348,1414
E02000350,2157
E02000351,1494
E02000352,1349
E02000353,2699
E02000354,2187
E02000355,1974
E02000356,1792
E02000357,937
E02000358,3313
E02000359,1205
E02000360,2156
E02000361,6239
E02000362,2618
E02000363,4856
E02000364,2882
E02000365,4999
E02000366,1529
E02000367,4723
E02000368,1522
E02000369,4167
E02000370,3999
E02000371,34404
E02000372,17198
E02000373,1201
E02000374,931
E02000375,14464
E02000376,3354
E02000377,1967
E02000378,3130
E02000379,1512
E02000380,1974
E02000381,4431
E02000382,3876
E02000383,7398
E02000384,20591
E02000385,1705
E02000386,4440
E02000387,5081
E02000388,3616
E02000389,3756
E02000390,1986
E02000391,4522
E02000392,4578
E02000393,1185
E02000394,4654
E02000395,3945
E02000396,3035
E02000397,1757
E02000398,3079
E02000400,2331
E02000401,1083
E02000402,1099
E02000403,5783
E02000404,1552
E02000405,1654
E02000406,1048
E02000407,2071
E02000408,2148
E02000409,1602
E02000410,2023
E02000411,3606
E02000412,5848
E02000413,1664
E02000414,1309
E02000415,1782
E02000416,2018
E02000417,2756
E02000418,1474
E02000419,2445
E02000420,1684
E02000421,3822
E02000422,1658
E02000423,2812
E02000424,1890
E02000425,1455
E02000426,2700
E02000427,1624
E02000428,2211
E02000429,1686
E02000430,3167
E02000431,1802
E02000432,1235
E02000433,4418
E02000434,2824
E02000435,1481
E02000436,1327
E02000437,1970
E02000438,2501
E02000439,2597
E02000440,1745
E02000441,1260
E02000442,1930
E02000443,2630
E02000444,1479
E02000445,3456
E02000447,1261
E02000448,2970
E02000449,1440
E02000451,1313
E02000452,6005
E02000453,1963
E02000454,1197
E02000455,8448
E02000456,1074
E02000457,2963
E02000459,3114
E02000460,1037
E02000461,3339
E02000462,1418
E02000463,1122
E02000464,1073
E02000465,1433
E02000466,1730
E02000467,2377
E02000468,1691
E02000469,1407
E02000470,6153
E02000471,1253
E02000472,1921
E02000473,2634
E02000474,1890
E02000475,2240
E02000476,14394
E02000477,1557
E02000478,1099
E02000479,4844
E02000480,8683
E02000481,1538
E02000482,1637
E02000483,3976
E02000484,1693
E02000485,3142
E02000486,1668
E02000487,1744
E02000488,1906
E02000489,1256
E02000490,1296
E02000491,3583
E02000492,3410
E02000493,1498
E02000494,2919
E02000495,5144
E02000496,4326
E02000497,1962
E02000498,1562
E02000499,2003
E02000500,3543
E02000501,1827
E02000502,1896
E02000503,1402
E02000504,1794
E02000506,2407
E02000507,2232
E02000508,13602
E02000509,13056
E02000510,5219
E02000511,2927
E02000512,1264
E02000513,1659
E02000514,1661
E02000515,3974
E02000516,1046
E02000517,1492
E02000518,5562
E02000519,3368
E02000520,12505
E02000521,2019
E02000522,1853
E02000523,3759
E02000524,46243
E02000525,4705
E02000526,5175
E02000528,6364
E02000529,1435
E02000530,6452
E02000531,8922
E02000532,3100
E02000533,1829
E02000534,10186
E02000535,1212
E02000536,3591
E02000537,1626
E02000538,5483
E02000539,5771
E02000540,3939
E02000541,2135
E02000542,3700
E02000543,6885
E02000544,1370
E02000545,2874
E02000546,2995
E02000547,7542
E02000548,6416
E02000549,3179
E02000550,2326
E02000551,4237
E02000552,4954
E02000553,974
E02000554,1768
E02000555,2278
E02000556,2883
E02000557,6174
E02000558,2408
E02000559,10488
E02000560,3741
E02000561,1827
E02000562,1926
E02000563,2393
E02000564,4122
E02000565,1758
E02000566,4842
E02000567,1975
E02000568,6422
E02000569,3996
E02000570,2503
E02000571,2441
E02000572,3092
E02000573,11341
E02000574,14582
E02000575,37979
E02000576,36220
E02000577,4541
E02000578,2861
E02000579,2989
E02000580,3923
E02000581,3743
E02000582,4174
E02000583,3033
E02000584,8092
E02000585,3180
E02000586,9960
E02000587,4510
E02000588,18774
E02000589,4504
E02000590,6259
E02000591,2242
E02000592,8075
E02000593,2212
E02000594,5499
E02000595,8384
E02000596,6363
E02000597,3228
E02000598,1690
E02000599,2830
E02000600,4799
E02000601,3158
E02000602,5281
E02000603,1696
E02000604,5250
E02000605,2152
E02000606,18275
E02000607,1376
E02000608,3460
E02000609,1431
E02000610,2775
E02000611,1231
E02000612,1612
E02000613,1844
E02000614,5378
E02000615,2563
E02000616,1814
E02000617,3835
E02000619,3029
E02000620,8479
E02000621,7785
E02000622,3329
E02000623,1320
E02000624,1373
E02000625,2621
E02000626,1670
E02000627,2282
E02000628,5258
E02000629,2870
E02000630,3520
E02000631,10550
E02000632,2145
E02000633,4313
E02000634,2791
E02000635,2270
E02000636,2490
E02000637,1880
E02000638,2745
E02000639,1116
E02000640,1833
E02000641,1350
E02000642,1907
E02000643,1830
E02000644,1713
E02000645,3557
E02000646,3224
E02000647,1591
E02000648,1415
E02000649,3479
E02000650,1503
E02000651,1780
E02000652,1214
E02000653,1467
E02000654,2327
E02000655,2728
E02000657,3575
E02000658,1915
E02000659,3171
E02000660,2062
E02000661,2678
E02000662,1967
E02000663,1291
E02000664,8896
E02000665,1773
E02000666,1346
E02000667,1257
E02000668,1934
E02000669,1872
E02000670,1292
E02000671,3026
E02000672,6364
E02000673,2196
E02000674,1232
E02000675,1553
E02000676,1254
E02000677,2349
E02000678,792
E02000679,1675
E02000680,1579
E02000681,1894
E02000682,1595
E02000683,1038
E02000685,1487
E02000686,1719
E02000687,1937
E02000689,4692
E02000690,2903
E02000691,4640
E02000692,7993
E02000693,3205
E02000694,2868
E02000695,1687
E02000696,1889
E02000697,7146
E02000698,1968
E02000699,1887
E02000700,3590
E02000701,1814
E02000702,1027
E02000703,1459
E02000704,3726
E02000705,1447
E02000706,1979
E02000707,1082
E02000708,2986
E02000709,1082
E02000710,5835
E02000711,4051
E02000712,2017
E02000713,2250
E02000714,1567
E02000715,1270
E02000716,1247
E02000717,1827
E02000718,1053
E02000719,1861
E02000720,1429
E02000721,3180
E02000722,2347
E02000723,2528
E02000724,1436
E02000725,8839
E02000726,7071
E02000727,1901
E02000728,998
E02000729,1210
E02000730,2347
E02000731,4038
E02000732,1848
E02000733,2374
E02000734,1089
E02000735,1958
E02000736,2053
E02000737,2895
E02000738,1364
E02000739,1702
E02000740,2673
E02000741,5621
E02000742,1224
E02000743,2748
E02000744,1691
E02000745,1181
E02000746,7517
E02000747,5865
E02000748,5106
E02000749,2593
E02000750,6236
E02000751,3309
E02000752,3251
E02000753,690
E02000754,1134
E02000755,1403
E02000756,4030
E02000757,4025
E02000758,1146
E02000759,2797
E02000760,1574
E02000762,978
E02000763,2025
E02000764,3631
E02000765,1471
E02000767,2568
E02000768,963
E02000769,2773
E02000770,1439
E02000772,5243
E02000773,2308
E02000774,1345
E02000776,1935
E02000777,878
E02000779,3073
E02000780,8318
E02000781,2500
E02000782,2957
E02000783,1009
E02000784,3114
E02000785,4679
E02000786,3787
E02000787,3706
E02000788,3034
E02000789,2321
E02000790,2069
E02000791,9243
E02000792,2036
E02000793,1906
E02000794,2835
E02000795,2038
E02000796,1842
E02000797,7572
E02000798,2507
E02000799,2306
E02000800,851
E02000801,4086
E02000802,2612
E02000803,2520
E02000804,5790
E02000805,3185
E02000806,4348
E02000807,1786
E02000808,55705
E02000809,34969
E02000810,2694
E02000812,6676
E02000813,2963
E02000814,2308
E02000815,3742
E02000816,3000
E02000817,2262
E02000818,2379
E02000819,2320
E02000820,2735
E02000821,2342
E02000822,1649
E02000823,2091
E02000824,3597
E02000825,1620
E02000826,2313
E02000827,4036
E02000828,2829
E02000829,1858
E02000830,5180
E02000831,2887
E02000832,1888
E02000833,1582
E02000834,2430
E02000835,1157
E02000836,2481
E02000837,2663
E02000838,1660
E02000839,2386
E02000840,1304
E02000841,4901
E02000842,2873
E02000843,2643
E02000844,1676
E02000845,2169
E02000846,1540
E02000847,2609
E02000848,2449
E02000849,1593
E02000850,7335
E02000851,11488
E02000852,1948
E02000853,1694
E02000854,2570
E02000855,2912
E02000856,3883
E02000857,2502
E02000858,1877
E02000859,2019
E02000860,3764
E02000861,3204
E02000863,1617
E02000864,2510
E02000865,2974
E02000866,2113
E02000867,3520
E02000868,2517
E02000869,1828
E02000870,2395
E02000871,2301
E02000872,2643
E02000873,5415
E02000874,1306
E02000875,2964
E02000876,3304
E02000877,2702
E02000878,23569
E02000879,1614
E02000880,3700
E02000881,1549
E02000882,1921
E02000883,1723
E02000884,14738
E02000885,2027
E02000886,1629
E02000887,3166
E02000888,1756
E02000889,7920
E02000890,7012
E02000891,14585
E02000893,1218
E02000894,1415
E02000895,1789
E02000896,2747
E02000897,1690
E02000898,1445
E02000899,2363
E02000900,2630
E02000901,3570
E02000902,1339
E02000903,1818
E02000904,2780
E02000905,3457
E02000906,1965
E02000907,2788
E02000908,4521
E02000909,2504
E02000910,3305
E02000911,4475
E02000912,1791
E02000913,5717
E02000914,3168
E02000915,2159
E02000916,4933
E02000917,2053
E02000918,3543
E02000919,1633
E02000920,4481
E02000921,2350
E02000922,2207
E02000923,4184
E02000924,11109
E02000925,1618
E02000926,4493
E02000927,1796
E02000928,2429
E02000929,919
E02000930,4735
E02000931,1623
E02000932,10537
E02000933,2927
E02000934,6237
E02000935,3135
E02000936,2236
E02000937,1938
E02000938,2186
E02000939,1810
E02000940,4561
E02000941,2498
E02000942,2052
E02000943,3481
E02000944,1643
E02000945,2037
E02000946,2968
E02000947,2644
E02000948,1494
E02000949,5093
E02000950,1570
E02000951,1499
E02000952,1247
E02000953,2070
E02000954,1387
E02000955,1264
E02000956,9869
E02000957,3754
E02000958,1547
E02000959,1334
E02000960,4146
E02000961,2230
E02000962,2943
E02000963,1581
E02000964,2346
E02000965,2269
E02000966,2503
E02000967,14347
E02000968,5745
E02000969,3434
E02000970,49759
E02000971,15673
E02000972,130851
E02000973,3721
E02000974,17261
E02000975,11652
E02000976,6041
E02000977,154611
E02000978,24762
E02000979,86983
E02000980,10911
E02000981,4416
E02000982,19410
E02000983,2144
E02000984,1841
E02000985,2255
E02000986,1433
E02000987,2325
E02000988,3441
E02000989,1250
E02000990,7989
E02000991,1503
E02000992,1597
E02000993,3006
E02000994,1821
E02000995,1205
E02000996,1696
E02000997,6702
E02000998,3633
E02000999,18076
E02001000,2221
E02001001,1758
E02001002,1966
E02001003,1722
E02001004,3443
E02001005,10577
E02001006,2489
E02001007,1818
E02001008,1034
E02001009,1934
E02001010,2088
E02001011,1931
E02001012,5859
E02001013,1152
E02001014,5547
E02001015,4062
E02001016,1025
E02001017,3364
E02001018,1183
E02001019,3148
E02001020,1143
E02001021,2368
E02001022,1791
E02001023,1390
E02001024,1415
E02001025,5335
E02001026,12252
E02001027,3020
E02001028,1143
E02001029,7076
E02001030,1596
E02001031,6178
E02001032,1091
E02001033,1878
E02001034,3068
E02001035,1392
E02001036,1657
E02001037,1935
E02001038,2706
E02001039,1112
E02001040,3488
E02001041,1601
E02001042,2608
E02001043,1006
E02001044,2040
E02001045,1734
E02001046,1849
E02001047,1694
E02001048,1153
E02001049,1411
E02001050,5932
E02001051,1896
E02001052,4003
E02001053,2516
E02001055,4930
E02001056,1558
E02001057,3345
E02001059,7685
E02001061,3868
E02001062,17124
E02001063,8653
E02001064,5145
E02001065,1359
E02001066,11479
E02001067,1438
E02001068,1561
E02001069,2468
E02001070,4000
E02001071,2296
E02001072,1914
E02001073,3764
E02001074,2407
E02001075,2276
E02001076,2487
E02001077,2417
E02001078,1881
E02001079,1170
E02001080,1893
E02001081,1397
E02001082,4413
E02001083,4175
E02001084,1643
E02001085,1871
E02001086,2194
E02001087,2940
E02001088,1513
E02001089,5526
E02001090,4284
E02001091,1959
E02001092,2076
E02001093,4214
E02001094,3164
E02001095,10455
E02001096,5039
E02001097,18089
E02001098,1178
E02001099,2711
E02001100,2768
E02001101,740
E02001102,1382
E02001103,1670
E02001104,1161
E02001105,2514
E02001106,3712
E02001107,1075
E02001108,3351
E02001109,1587
E02001110,2103
E02001111,8471
E02001112,3880
E02001113,6332
E02001114,4236
E02001115,1473
E02001116,2132
E02001117,1787
E02001118,1146
E02001119,3436
E02001121,7231
E02001123,879
E02001124,1331
E02001125,6047
E02001126,2442
E02001127,1115
E02001128,3440
E02001129,2906
E02001130,1197
E02001131,774
E02001132,2750
E02001133,1000
E02001134,1439
E02001135,1853
E02001136,2546
E02001137,1082
E02001138,1759
E02001139,3464
E02001140,2623
E02001141,13099
E02001142,915
E02001143,3222
E02001144,2181
E02001145,1645
E02001146,4122
E02001147,1701
E02001148,4266
E02001149,5300
E02001150,4467
E02001151,4656
E02001152,3836
E02001153,1346
E02001154,2695
E02001155,5874
E02001156,1343
E02001157,1776
E02001158,2012
E02001159,2056
E02001160,2025
E02001161,2025
E02001162,1600
E02001163,2384
E02001164,3382
E02001165,3520
E02001166,1895
E02001167,1022
E02001168,5673
E02001169,2186
E02001170,2226
E02001171,1522
E02001172,2661
E02001173,5042
E02001174,1489
E02001175,880
E02001176,5380
E02001177,14628
E02001178,12780
E02001179,968
E02001180,1237
E02001181,1615
E02001182,1962
E02001183,1743
E02001184,19435
E02001185,1978
E02001186,6650
E02001187,956
E02001188,1899
E02001189,2893
E02001190,835
E02001191,1040
E02001192,3545
E02001193,5296
E02001194,1754
E02001195,7017
E02001196,1889
E02001197,4005
E02001198,1850
E02001199,3189
E02001200,16934
E02001201,1118
E02001202,4976
E02001203,1089
E02001204,2789
E02001205,4939
E02001206,2882
E02001207,1602
E02001208,6798
E02001209,1938
E02001210,1033
E02001211,1532
E02001212,2238
E02001213,6451
E02001214,2109
E02001215,1547
E02001216,2643
E02001217,4174
E02001218,916
E02001219,2765
E02001220,2281
E02001221,1099
E02001222,3875
E02001223,1384
E02001224,1443
E02001225,3526
E02001226,1808
E02001227,1027
E02001228,2819
E02001229,2514
E02001230,1310
E02001231,1017
E02001232,1094
E02001233,1203
E02001234,1207
E02001235,5907
E02001236,1579
E02001237,1540
E02001238,2259
E02001239,1760
E02001240,721
E02001241,16684
E02001242,1232
E02001243,3634
E02001244,1187
E02001245,4797
E02001246,1569
E02001247,2865
E02001248,4008
E02001249,2149
E02001250,2132
E02001251,1277
E02001252,1205
E02001253,4739
E02001254,631
E02001255,1441
E02001256,5180
E02001257,1223
E02001258,1464
E02001259,8691
E02001260,24081
E02001261,9985
E02001262,4717
E02001263,4027
E02001264,10759
E02001265,1466
E02001266,2850
E02001267,3276
E02001268,1534
E02001269,3132
E02001270,4893
E02001271,1391
E02001272,2345
E02001273,7024
E02001274,1579
E02001275,2883
E02001276,865
E02001277,4052
E02001278,2772
E02001279,1273
E02001280,1169
E02001281,1663
E02001282,6345
E02001283,8892
E02001284,1815
E02001285,4349
E02001286,2123
E02001287,1072
E02001288,2735
E02001289,2044
E02001290,1130
E02001291,1625
E02001292,5764
E02001293,1291
E02001294,11077
E02001295,1949
E02001296,4017
E02001297,3543
E02001298,4301
E02001299,3539
E02001300,2788
E02001301,9613
E02001302,962
E02001303,1749
E02001304,2363
E02001305,2221
E02001306,1159
E02001307,3180
E02001308,2203
E02001309,2819
E02001310,1736
E02001311,1900
E02001312,2226
E02001313,2228
E02001314,1065
E02001315,3261
E02001316,5651
E02001317,3812
E02001318,3968
E02001319,1073
E02001320,3414
E02001321,1129
E02001322,2696
E02001323,1687
E02001324,3997
E02001325,1942
E02001326,2796
E02001327,2028
E02001328,1157
E02001329,3530
E02001330,960
E02001331,12882
E02001332,922
E02001333,3947
E02001334,953
E02001335,6700
E02001336,982
E02001337,1956
E02001338,949
E02001339,1134
E02001340,1531
E02001341,4551
E02001342,3590
E02001343,3757
E02001344,737
E02001345,877
E02001346,4059
E02001347,6477
E02001348,2218
E02001349,1642
E02001350,3104
E02001351,4297
E02001352,2702
E02001353,859
E02001354,2890
E02001355,1612
E02001356,1094
E02001357,1209
E02001358,1858
E02001359,867
E02001360,4473
E02001361,864
E02001362,888
E02001363,738
E02001364,1251
E02001365,1509
E02001366,2324
E02001367,2733
E02001368,4348
E02001369,3700
E02001370,2292
E02001371,949
E02001372,8483
E02001373,4400
E02001374,5179
E02001375,1379
E02001376,2002
E02001377,11751
E02001378,1936
E02001380,1358
E02001381,3084
E02001382,894
E02001383,3679
E02001384,2276
E02001385,1457
E02001386,2234
E02001387,2217
E02001388,2286
E02001389,1609
E02001390,2157
E02001391,735
E02001392,1085
E02001393,4516
E02001394,3335
E02001395,1792
E02001396,3704
E02001397,2067
E02001398,1681
E02001399,1254
E02001400,1381
E02001401,4410
E02001402,2229
E02001403,1885
E02001404,15940
E02001405,1939
E02001406,3057
E02001407,1049
E02001408,1120
E02001409,1398
E02001410,7723
E02001411,1169
E02001412,2101
E02001413,1219
E02001414,1170
E02001415,1026
E02001416,946
E02001417,8301
E02001418,2303
E02001419,10749
E02001420,3082
E02001421,2282
E02001422,1316
E02001423,1251
E02001424,6524
E02001425,1659
E02001426,1025
E02001427,2929
E02001428,1529
