GeographyCode,WP6604EW0001,WP6604EW0002,WP6604EW0003,WP6604EW0004,WP6604EW0005,WP6604EW0006,WP6604EW0007,WP6604EW0008,WP6604EW0009,WP6604EW0010,WP6604EW0011,WP6604EW0012,WP6604EW0013,WP6604EW0014,WP6604EW0015,WP6604EW0016,WP6604EW0017,WP6604EW0018,WP6604EW0019,WP6604EW0020,WP6604EW0021,WP6604EW0022,WP6604EW0023,WP6604EW0024,WP6604EW0025,WP6604EW0026,WP6604EW0027,WP6604EW0028,WP6604EW0029,WP6604EW0030,WP6604EW0031,WP6604EW0032,WP6604EW0033,WP6604EW0034,WP6604EW0035,WP6604EW0036,WP6604EW0037,WP6604EW0038,WP6604EW0039,WP6604EW0040,WP6604EW0041,WP6604EW0042,WP6604EW0043,WP6604EW0044,WP6604EW0045,WP6604EW0046,WP6604EW0047,WP6604EW0048,WP6604EW0049,WP6604EW0050,WP6604EW0051,WP6604EW0052,WP6604EW0053,WP6604EW0054,WP6604EW0055,WP6604EW0056,WP6604EW0057,WP6604EW0058,WP6604EW0059,WP6604EW0060,WP6604EW0061,WP6604EW0062,WP6604EW0063,WP6604EW0064,WP6604EW0065,WP6604EW0066,WP6604EW0067,WP6604EW0068,WP6604EW0069,WP6604EW0070,WP6604EW0071,WP6604EW0072,WP6604EW0073,WP6604EW0074,WP6604EW0075,WP6604EW0076,WP6604EW0077,WP6604EW0078,WP6604EW0079,WP6604EW0080,WP6604EW0081,WP6604EW0082,WP6604EW0083,WP6604EW0084,WP6604EW0085,WP6604EW0086,WP6604EW0087,WP6604EW0088,WP6604EW0089,WP6604EW0090
E12000008,4063350,88440,306762,332270,870671,420283,698662,1138967,207295,470721,10707,42654,35239,150805,46598,96138,65810,22770,746300,10410,40859,27071,27815,105381,141959,374975,17830,540493,8708,45198,14284,56995,63287,144548,168267,39206,458338,7674,28319,23747,63221,36907,128273,147295,22902,469447,17930,65659,175630,104806,21819,42727,25068,15808,392810,1442,1907,1747,13745,16711,27516,269973,59769,336244,5395,7643,3383,258643,13142,29095,13225,5718,237206,11671,52803,28402,38344,69932,15765,16278,4011,411791,14503,21720,22767,156297,46506,72641,58076,19281
E12000009,2533591,80857,228632,203494,572226,181669,386801,758109,121803,275156,7206,25585,18329,102519,17410,47764,43619,12724,413361,6152,24587,13183,12447,36190,74813,235719,10270,306639,5291,25481,7347,28771,22108,79298,115701,22642,279717,5372,17018,12560,37104,15581,74335,104557,13190,341157,28492,57081,117284,73216,11028,25890,18743,9423,249237,1192,1183,1040,10486,4155,15225,179468,36488,215166,3079,4719,1887,169583,7144,16834,9004,2916,170842,9806,52037,17351,27077,41674,10222,10379,2296,282316,14267,20941,14513,111023,26379,42420,40919,11854
E06000001,34197,1494,4015,3270,7136,1656,3427,11557,1642,2779,110,348,241,1018,101,323,482,156,4807,236,305,184,104,147,375,3367,89,3321,214,410,113,202,93,545,1532,212,3280,88,239,173,320,109,633,1533,185,4553,281,948,1785,825,99,275,244,96,4313,19,22,20,123,39,190,3333,567,3394,90,73,23,2771,63,202,120,52,3267,245,1165,436,311,726,174,165,45,4483,211,505,295,1462,279,710,781,240
E06000002,62839,899,3048,4171,13214,4173,7348,27152,2834,4761,88,308,289,1875,287,682,1004,228,12556,99,236,268,290,441,978,10056,188,6230,126,316,162,537,287,1251,3240,311,7480,78,196,231,696,356,1432,4091,400,5829,169,784,2183,1321,311,421,477,163,7818,11,38,26,271,87,424,6126,835,6207,69,83,39,4815,326,457,293,125,4063,157,760,598,685,1267,304,240,52,7895,102,327,375,2724,811,1399,1625,532
E06000003,45844,2118,5527,4000,9950,3086,5228,13830,2105,3894,165,547,259,1401,247,474,614,187,6115,148,679,222,169,234,686,3841,136,4370,185,570,139,342,177,809,1851,297,4210,104,340,195,486,322,830,1711,222,6412,531,1337,2172,1229,219,523,270,131,5592,15,40,27,167,54,294,4212,783,4074,51,87,31,3396,80,230,152,47,4779,685,1269,554,476,1235,311,217,32,6398,234,658,401,2284,518,1071,962,270
E06000004,86322,2043,9383,7462,19040,6436,13931,24747,3280,7493,146,909,603,2586,435,1378,1077,359,12615,169,1005,702,331,811,2285,7115,197,9542,203,1127,406,845,583,2504,3423,451,10042,123,649,468,1164,514,2757,4017,350,10236,327,2202,3581,2165,447,843,465,206,8289,10,55,33,254,129,503,6214,1091,9747,311,160,79,6785,561,1424,337,90,8206,426,2470,935,1134,2191,635,337,78,10152,328,806,655,3776,765,1602,1762,458
E06000005,52096,736,4097,3936,11730,5801,7657,15916,2223,4687,76,437,322,1800,291,748,792,221,7748,42,423,370,252,642,1111,4754,154,5421,36,398,208,505,586,1426,1905,357,7024,56,358,321,682,529,2098,2723,257,5688,250,885,2031,1411,278,362,340,131,5480,14,24,36,203,99,251,4100,753,6427,35,191,37,4109,1307,505,171,72,3633,106,944,327,507,1271,247,195,36,5988,121,437,284,2261,798,909,936,242
E06000006,57420,1256,7618,4379,13374,7689,7469,13741,1894,5379,150,946,420,1682,590,793,602,196,8340,126,922,381,425,1255,1267,3833,131,5989,131,925,199,853,645,1188,1753,295,6209,90,611,326,946,658,1063,2289,226,6032,143,1363,2104,1141,314,624,216,127,4836,10,31,27,171,110,282,3605,600,6342,61,205,46,4485,781,490,213,61,6543,301,1904,494,825,2290,432,258,39,7750,244,711,382,2846,1046,1330,972,219
E06000007,114983,6164,8236,9239,26070,14062,18717,27720,4775,11555,665,996,1164,3592,1110,2171,1358,499,20163,1625,1038,1274,686,2467,3791,8920,362,13791,964,1184,626,1700,1337,3562,3649,769,13349,626,752,724,1943,1227,3341,4131,605,11032,550,1672,3799,2695,590,924,483,319,9443,38,40,42,345,157,729,6648,1444,12443,754,259,139,8218,1390,1149,347,187,8532,574,1586,843,1548,2869,636,381,95,14675,368,709,628,5343,2915,2414,1803,495
E06000008,64522,824,9958,4065,13557,4637,7401,21606,2474,6325,77,1101,332,2455,326,828,975,231,11176,77,652,287,410,637,1209,7710,194,6039,50,803,188,725,377,1254,2300,342,7346,49,811,252,916,420,1558,3060,280,7330,174,2161,2106,1625,242,455,405,162,6907,7,62,31,143,64,316,5532,752,5901,33,189,69,4267,475,440,298,130,6597,171,3116,502,753,1432,250,306,67,6901,186,1063,298,2263,664,1091,1020,316
E06000009,63189,538,3759,3995,17144,3455,6339,24101,3858,7232,26,400,283,4078,197,748,1061,439,8820,36,224,167,212,341,656,7012,172,5708,37,394,103,631,238,996,2764,545,9123,61,289,224,863,206,1440,5668,372,6356,88,812,2504,1754,174,339,407,278,7597,1,23,37,427,177,361,5474,1097,6195,51,132,54,4869,132,351,438,168,4126,112,985,314,631,1537,166,292,89,8032,126,500,309,3679,453,1282,985,698
E06000010,124406,2022,17061,9903,29303,8843,14348,37842,5084,10868,180,1688,772,4136,711,1243,1639,499,17664,118,1268,547,677,824,1875,12069,286,12996,168,1406,388,1311,813,2263,5822,825,14404,239,1219,711,1856,886,2727,6144,622,15112,302,4001,5275,3170,540,790,771,263,11359,27,98,85,489,226,689,8158,1587,13782,267,373,197,10571,542,1093,483,256,11737,376,4514,967,1623,2991,665,500,101,16484,345,2494,961,5470,1310,3003,2256,645
E06000011,133512,6332,16132,11481,29690,9298,13968,40496,6115,13819,710,1809,991,5248,834,1769,1862,596,18057,275,1502,578,669,1190,2165,11298,380,13615,277,1510,378,1341,856,2397,6023,833,13134,369,1157,717,1779,981,2576,4958,597,20773,2436,4358,6556,4282,438,1102,1126,475,14772,85,77,102,498,178,635,10876,2321,10129,76,264,135,8151,277,504,505,217,11440,710,3676,1033,1439,3093,567,838,84,17773,1394,1779,991,6283,1451,2253,3010,612
E06000012,71067,1095,10070,5168,17539,6111,7158,21055,2871,6308,94,888,382,2574,534,674,855,307,8443,91,592,269,282,367,781,5951,110,6740,124,972,168,676,423,1226,2792,359,7722,75,673,326,1015,765,1324,3232,312,8649,244,2053,2924,2108,276,471,382,191,7676,8,65,44,299,90,373,5707,1090,6878,29,121,41,5833,115,262,378,99,9252,248,3720,598,1437,2386,504,295,64,9399,182,986,416,3315,1155,1543,1463,339
E06000013,76797,2627,16523,6741,16505,6239,7113,18319,2730,7146,285,1442,561,2541,534,742,784,257,8982,168,1244,524,282,413,813,5395,143,6857,181,1432,280,695,413,1076,2435,345,7164,174,888,487,1164,649,1302,2254,246,10926,664,3399,3186,2133,361,548,418,217,7124,27,63,46,242,172,333,5174,1067,5723,39,194,72,4647,141,339,229,62,11327,537,5258,951,1253,2506,475,291,56,11548,552,2603,634,3548,1050,1485,1339,337
E06000014,102927,1138,5597,7661,25418,8866,16660,32246,5341,10866,104,729,798,4086,929,1931,1711,578,19554,77,597,905,454,2002,3560,11381,578,12544,84,828,484,1100,1033,3575,4440,1000,11541,62,366,575,1380,746,2954,4859,599,10135,352,1124,3829,2639,449,688,711,343,9593,18,39,49,494,300,670,6542,1481,11516,28,212,102,9037,300,1167,484,186,5652,177,1333,453,791,2083,385,357,73,11526,236,369,466,5437,1024,1730,1761,503
E06000015,123890,1485,20075,7803,25810,9496,16168,38173,4880,11622,133,1995,807,3814,861,1774,1735,503,23871,188,4116,769,608,1822,3107,12931,330,13860,138,2478,454,1170,1024,3067,4682,847,14120,142,1434,563,1541,707,3079,6028,626,13261,189,4312,3655,2796,681,794,602,232,11961,27,86,60,426,266,819,8766,1511,11418,169,328,143,9199,322,605,493,159,10066,275,4106,740,1293,2469,616,474,93,13711,224,1220,612,4963,1344,2307,2462,579
E06000016,163224,2360,22429,8790,35033,9130,22001,56818,6663,14571,243,2182,693,5546,611,2321,2312,663,29300,135,1135,620,1118,1180,3311,21295,506,17549,241,1761,497,1908,795,4269,6970,1108,20322,159,1260,701,2494,735,4844,9223,906,14919,222,4403,4186,3730,486,698,864,330,15519,22,157,82,554,201,1007,11650,1846,14971,700,371,282,10844,535,1377,630,232,16320,350,8467,962,2135,2612,916,696,182,19753,288,2693,767,6704,1975,3258,3178,890
E06000017,18293,595,2140,1170,3831,1014,1986,6759,798,2207,80,256,130,740,119,335,457,90,2448,30,147,75,106,172,368,1486,64,3119,28,207,37,270,121,386,1928,142,1586,38,152,79,261,85,289,618,64,2517,216,432,652,494,55,168,421,79,1661,23,12,8,93,15,90,1165,255,1068,3,35,8,883,14,62,46,17,1467,53,703,93,155,261,65,125,12,2220,124,196,88,829,172,223,513,75
E06000018,174216,3032,11966,9210,37036,13559,28294,63340,7779,15674,254,1427,866,5552,922,2981,2860,812,36014,250,978,813,1074,2409,5772,23998,720,21786,275,1394,531,2110,1677,5582,8817,1400,22640,347,922,687,2326,1009,5314,10849,1186,13678,193,2459,4349,3788,630,880,1021,358,15000,24,90,96,613,342,1169,10786,1880,16876,1039,259,172,11644,820,1964,765,213,11675,336,3046,894,1826,3954,816,628,175,20873,314,1391,802,8103,1796,3816,3616,1035
E06000019,87169,5824,11284,7705,19970,4277,10576,23436,4097,9649,533,1244,587,3804,450,1379,1218,434,11808,137,803,366,397,691,1824,7245,345,8454,152,1188,268,818,355,1672,3281,720,8392,281,830,489,1320,400,1885,2771,416,14569,2608,2321,4570,2808,328,1011,523,400,8997,80,88,64,384,63,557,6556,1205,6703,45,193,91,5570,107,316,298,83,7606,470,3448,646,989,1286,332,351,84,10991,1518,1169,624,3880,597,1600,1193,410
E06000020,83177,1792,15328,4974,17377,7714,10320,22547,3125,7772,179,1394,434,2650,554,1178,1055,328,12596,77,1116,364,395,2729,1443,6183,289,8946,132,1330,199,1034,853,1785,3152,461,9692,176,1245,289,1197,564,2180,3659,382,9789,379,3283,2415,1895,385,657,558,217,7595,18,85,38,273,71,436,5734,940,7234,68,311,45,5713,181,489,322,105,9049,336,4625,641,947,1477,527,404,92,10504,427,1939,549,3273,900,1625,1480,311
E06000021,114156,2282,14529,8725,26030,8767,13277,34565,5981,9894,218,1539,611,3713,590,1271,1472,480,16360,159,783,508,536,711,1653,11471,539,10806,175,1229,266,1122,605,2241,4252,916,12845,360,1142,491,1637,758,2944,4817,696,15144,333,4508,5104,2998,498,810,573,320,11556,19,92,57,381,129,591,8790,1497,12457,367,428,120,8421,899,951,499,772,10276,401,3410,894,1658,2761,567,465,120,14818,250,1398,674,5564,1816,2249,2226,641
E06000022,89861,1990,5434,5831,19536,8320,14097,29992,4661,9787,234,677,569,3499,833,1997,1545,433,19802,286,560,390,528,2669,3315,11598,456,11417,214,657,180,935,1716,3164,3528,1023,10141,185,389,384,1043,620,2521,4524,475,9748,457,1442,3366,2377,324,836,643,303,8279,16,27,28,331,115,469,5925,1368,7543,51,124,48,6443,183,303,264,127,4265,265,1099,469,610,1148,309,295,70,8879,282,459,397,3770,712,1183,1670,406
E06000023,236098,2603,13550,15637,45637,20507,55377,72571,10216,23551,259,1625,1444,7228,1906,6306,3685,1098,51210,301,1743,1535,1109,4681,13489,27291,1061,34514,284,1627,733,2759,3516,13220,9989,2386,30948,262,1113,1046,3133,1673,11210,11163,1348,21816,396,3380,8142,5467,1134,1533,1202,562,18955,28,72,108,610,364,1411,13951,2411,19044,71,349,145,13774,699,2864,903,239,13238,518,2544,1419,2600,4198,1081,704,174,22822,484,1097,1065,8957,2336,4263,3683,937
E06000024,83584,2278,7426,6845,19828,7542,12139,23331,4195,9112,175,983,689,3324,690,1663,1125,463,12715,199,874,458,415,1242,2177,7043,307,9988,159,1010,288,1045,1011,2544,3212,719,8500,299,596,463,1259,569,2146,2706,462,10346,525,1601,3873,2329,383,842,511,282,9614,35,43,29,301,560,589,6687,1370,7850,148,153,61,6183,246,486,447,126,5908,295,1570,538,1036,1799,302,303,65,9551,443,596,446,3936,1042,1390,1297,401
E06000025,141998,3249,13559,12492,27687,15065,23804,41402,4740,14415,292,1349,1418,3937,1314,2586,3045,474,28233,429,2930,1341,680,3959,4828,13718,348,17117,411,1762,573,1487,1512,4519,6013,840,17140,302,1046,1014,1892,1177,4422,6765,522,16306,761,3033,6219,3108,904,1162,772,347,10715,35,49,61,343,141,781,7806,1499,12838,78,293,193,9435,540,1556,594,149,9181,470,2101,986,1535,2863,611,543,72,16053,471,996,687,5270,2655,3339,2146,489
E06000026,121963,1699,10625,8221,24526,8576,14728,48315,5273,10482,93,885,588,3598,555,1519,2735,509,21215,212,1301,529,365,930,2536,14945,397,16424,207,1097,268,970,829,2905,9332,816,14041,169,578,441,1307,1189,2865,6910,582,14439,260,3689,4931,2698,630,750,1160,321,12793,18,62,41,408,256,743,9513,1752,11851,226,184,87,9161,759,733,550,151,7390,273,1919,745,1106,2218,399,642,88,13328,241,910,591,4913,1210,2278,2528,657
E06000027,52544,807,2416,4360,14652,2401,6013,18928,2967,6150,59,302,326,3180,201,831,926,325,8154,45,188,158,240,283,879,6190,171,4950,70,264,117,581,172,1113,2143,490,5373,48,206,210,789,192,1256,2374,298,6847,235,692,2905,1790,150,444,417,214,7124,16,17,24,378,51,335,5284,1019,4988,39,76,54,4184,133,192,226,84,2653,129,471,299,539,813,135,210,57,6305,166,200,267,2971,406,828,1158,309
E06000028,81141,653,2645,5515,20288,5578,18493,23610,4359,9461,70,329,475,3658,489,2681,1257,502,14041,48,228,268,371,1170,3307,8304,345,10128,66,355,192,958,611,4369,2798,779,10002,81,197,294,1185,437,4068,3296,444,7946,104,774,3396,2101,318,587,409,257,8496,9,24,52,403,223,616,5843,1326,9157,48,96,78,7038,175,1303,271,148,3513,125,413,414,537,1506,196,253,69,8397,102,229,346,4037,649,1366,1179,489
E06000029,78847,1104,10030,6334,17104,5383,12823,22022,4047,8634,116,1024,704,2870,562,1672,1199,487,13028,84,913,505,447,1125,2042,7584,328,9430,101,911,258,1022,597,2747,3001,793,8966,87,764,425,1363,437,2635,2772,483,10686,271,3302,3471,1951,330,643,452,266,7383,12,39,24,217,90,476,5438,1087,7382,32,144,66,5560,184,1028,232,136,5394,246,2213,474,770,1092,271,244,84,7944,155,720,407,2904,966,1309,1100,383
E06000030,108642,2984,12928,7602,24652,12392,20493,22815,4776,10846,392,1239,652,3485,1243,2224,1066,545,19149,668,1620,628,881,2778,4109,7912,553,13001,406,1512,269,1676,1174,4284,2763,917,12612,344,847,440,1923,974,4338,3098,648,10848,279,2263,3935,2452,620,716,337,246,8565,29,49,30,321,198,615,6075,1248,10447,373,227,96,7814,315,1231,242,149,9722,279,3915,794,1410,2414,563,277,70,13452,214,1256,758,4690,2676,2413,1045,400
E06000031,101167,1882,10227,5596,23208,9362,19262,27773,3857,9801,212,1099,555,3242,771,2063,1450,409,15262,240,1143,444,544,1560,2999,7987,345,12489,205,1134,296,1316,970,3612,4359,597,12985,149,841,416,1807,841,3861,4559,511,9469,321,1921,2837,2331,489,690,591,289,9206,22,70,38,358,157,917,6581,1063,10121,61,487,96,7286,321,1341,381,148,8100,271,2443,476,1563,2086,753,424,84,13734,401,1089,438,4761,2167,3026,1441,411
E06000032,89954,692,10121,6742,16856,13914,13875,24467,3287,8246,44,1156,547,2667,824,1602,1045,361,14740,33,1349,475,499,1614,2028,8475,267,10536,59,1292,202,1144,2030,2518,2783,508,10152,46,844,405,1265,1236,2458,3453,445,9493,96,2007,3625,1897,739,535,389,205,10427,10,52,49,265,2309,840,5985,917,7209,28,264,66,5050,493,899,281,128,8018,201,2281,712,916,2972,525,339,72,11133,175,876,661,3153,1697,2470,1717,384
E06000033,72074,540,3980,5691,14959,4470,14341,23984,4109,7132,56,481,481,2610,394,1619,1083,408,11200,38,244,283,277,632,1519,7941,266,7520,36,503,183,653,354,2302,2816,673,10797,39,442,361,875,342,4321,3942,475,7820,109,1029,3412,1754,260,566,409,281,8250,6,42,37,200,158,626,5898,1283,7510,26,119,83,5358,195,1313,263,153,3849,124,725,491,538,1321,299,290,61,7996,106,395,360,2694,814,1776,1342,509
E06000034,64202,1432,4819,6429,20674,9430,6598,12601,2219,6218,125,443,559,2620,953,742,548,228,6037,102,378,361,305,583,686,3474,148,5392,125,555,153,879,621,1020,1736,303,6947,112,372,413,1494,1377,1178,1756,245,8260,252,1176,3526,1995,462,479,193,177,5189,11,32,23,184,119,406,3679,735,8738,28,112,52,7828,213,293,145,67,8455,404,1265,846,1797,3360,481,248,54,8966,273,486,496,3572,1742,1313,822,262
E06000035,98648,2530,8340,11141,20462,7058,13143,31446,4528,9034,240,886,913,2991,557,1479,1509,459,14980,273,1125,666,429,815,1590,9812,270,10845,295,1118,369,924,526,2189,4720,704,10946,196,667,746,1167,587,2902,4136,545,13499,463,2047,6106,2499,525,912,641,306,10518,11,48,52,311,198,594,7915,1389,8918,49,150,85,7250,232,714,325,113,7917,582,1568,1297,994,2323,486,557,110,11991,421,731,907,3897,1295,2277,1831,632
E06000036,59267,491,3732,3702,14033,10903,10599,13145,2662,8087,62,649,345,2294,1333,1531,1578,295,13795,85,839,331,1099,4486,2536,4116,303,9532,67,914,188,1444,2060,2473,1870,516,6036,32,392,217,1165,885,1589,1466,290,5418,93,427,2100,1230,501,583,296,188,4301,13,25,16,192,113,339,2868,735,4709,19,123,56,3759,232,345,126,49,2253,64,209,232,612,719,187,186,44,5136,56,154,217,2238,574,1016,639,242
E06000037,87006,2218,8182,7115,17872,13412,13587,20425,4195,10847,271,1255,815,3189,1626,1957,1198,536,18121,142,1574,858,748,4991,2832,6640,336,12711,189,1366,345,1656,2363,2679,3425,688,9334,227,814,543,1645,1185,2297,2177,446,9975,585,1343,3429,2114,623,1013,527,341,7400,63,41,35,250,126,553,5008,1324,5995,104,195,68,4589,372,412,177,78,5003,258,1158,606,831,1216,372,470,92,7620,379,436,416,2850,910,1472,803,354
E06000038,89115,2634,3194,4735,18216,14010,18262,24519,3545,9356,365,432,399,2809,1369,2257,1317,408,21929,649,501,426,538,5574,4608,9259,374,12232,476,446,181,989,1979,4196,3314,651,10612,321,274,259,1187,974,3390,3751,456,7303,175,748,2588,1856,819,543,388,186,6867,12,22,16,226,254,541,4881,915,8816,195,98,61,6883,366,811,272,130,4132,271,455,444,674,1602,337,264,85,7868,170,218,361,3054,1073,1579,1073,340
E06000039,74593,1257,8997,4646,15116,16732,10963,14641,2241,8894,124,1411,448,2604,1915,1476,665,251,14805,148,1693,459,745,3738,2043,5707,272,10157,118,1682,256,1405,2383,2047,1840,426,8327,139,867,307,1345,1889,1698,1822,260,6682,235,946,2300,1607,715,493,197,189,4632,5,42,22,207,271,369,3235,481,5525,28,270,65,3944,560,362,218,78,6717,294,1523,463,973,2749,407,248,60,8854,166,563,326,2286,2512,2068,709,224
