GeographyCode,WP702EW0001,WP702EW0002,WP702EW0003,WP702EW0004,WP702EW0005,WP702EW0006,WP702EW0007,WP702EW0008,WP702EW0009,WP702EW0010,WP702EW0011,WP702EW0012,WP702EW0013
E06000054,222448,46537,25637,29907,33198,13233,8462,5532,9117,32701,18124,3090111.2,18.00522774
E06000055,74527,13889,17261,8960,10199,5730,1678,1308,1879,7921,5702,767653.2,12.60431499
E06000056,98170,17948,11523,13723,15816,5233,2229,1974,3355,14781,11588,1136071.5,15.82250247
E07000004,75310,14036,10186,8169,11466,5888,2008,1521,2193,12152,7691,844205.6,15.21996142
E07000005,35476,4933,3645,5122,6101,2296,986,569,609,7188,4027,334622.7,13.79261778
E07000006,33210,3277,4172,6282,5611,2620,1265,769,1292,5211,2711,470540.6,18.60726827
E07000007,80986,12818,12090,12273,10478,5851,2639,2431,3257,11425,7724,1087313.1,17.58353575
E07000008,94190,15506,21719,11194,13940,11588,3286,3573,3804,6417,3163,1340047.2,15.83792932
E07000009,31112,4725,3077,4951,4438,2235,902,750,774,5702,3558,331919,15.18941058
E07000010,38156,9054,5077,4145,5593,3339,970,612,596,4683,4087,345431.6,11.75497176
E07000011,77355,14024,8599,9088,13708,7366,3201,2299,2605,10153,6312,1012306.9,16.62517491
E07000012,74393,7949,7310,9730,15814,7423,3353,3017,3911,10476,5410,1244047.2,21.26321979
E07000026,40513,9290,5385,5467,6778,2397,776,743,908,6025,2744,439216.8,13.83621472
E07000027,31302,11118,8903,3483,2074,402,444,271,929,2009,1669,233544.1,8.454391109
E07000028,56652,13399,14412,6932,5607,2057,1205,1448,3044,5463,3085,986131.9,20.49999792
E07000029,34640,5209,4924,4982,8116,3626,1414,784,1130,2782,1673,510652.8,16.91743581
E07000030,28783,5518,2018,2858,3685,2336,1438,1264,1630,5771,2265,510537.7,24.60778426
E07000031,52022,11600,5712,5287,7992,3864,1787,771,1856,9125,4028,624964.9,16.07874913
E07000032,55025,9849,10653,10298,9106,2667,677,704,1195,5697,4179,536529.7,11.88353452
E07000033,29342,5043,4156,5821,5456,1711,517,427,938,2855,2418,336647.4,13.98676306
E07000034,51786,9599,13489,9411,7654,1663,1124,739,939,3755,3413,468567.6,10.50176162
E07000035,36196,5587,3472,4377,8403,3338,939,469,524,6390,2697,376974.3,13.90587259
E07000036,42970,9927,8452,7176,6152,1332,489,496,619,4621,3706,313881.6,9.060462431
E07000037,35791,9761,4917,4498,3931,1764,887,612,431,5494,3496,269509.3,10.05594194
E07000038,31416,5289,4796,6407,4444,957,406,333,415,4680,3689,234016.6,10.15388554
E07000039,33980,5960,4808,5300,5257,1767,1167,907,589,5083,3142,337444.2,13.10208503
E07000040,53997,10724,5900,7270,7406,2969,1084,897,2408,10081,5258,798754.5,20.66207512
E07000041,83220,17481,18890,5828,15356,8216,3002,3227,2510,4825,3885,1128194.8,15.14152194
E07000042,30331,6755,2449,3643,3758,1750,600,580,581,6773,3442,278284.1,13.83396799
E07000043,47704,11202,6211,5719,8666,1779,536,635,1527,7582,3847,566422.5,15.61467953
E07000044,43382,7068,3963,8344,7664,1764,1076,428,1315,7824,3936,606950.2,19.19392195
E07000045,50050,9475,6564,8801,6852,1992,952,775,1039,8611,4989,520829.6,14.28887791
E07000046,24610,5197,3202,2241,3175,1000,270,199,587,5830,2909,257494.9,16.22423918
E07000047,21560,4258,1357,2891,2856,1202,604,449,378,5245,2320,207464.6,14.82419436
E07000048,20702,3363,4216,4512,2606,492,395,322,394,2530,1872,184948.8,11.34655215
E07000049,33977,4093,4466,7438,5544,805,633,521,963,5926,3588,371670.2,15.19315701
E07000050,30265,6813,2332,3431,4591,2118,1017,544,910,5280,3229,382249.8,17.56985659
E07000051,20220,3631,1776,2509,4305,1532,429,266,743,3125,1904,281155.2,18.50801132
E07000052,52101,11133,5522,7648,7946,3740,2027,994,1024,8174,3893,547720.3,13.68137833
E07000053,21283,5984,4722,2559,1020,311,350,291,644,2987,2415,200845.4,12.64689881
E07000061,43881,10850,13632,3290,3738,2302,900,286,567,4417,3899,322518.7,9.068429636
E07000062,36828,9737,10839,3659,1532,1133,428,408,455,4386,4251,219456.6,7.784633394
E07000063,40055,7464,3893,4387,8653,2836,1126,474,542,6310,4370,379371.4,12.91477106
E07000064,32090,5792,3738,5172,4603,1150,388,313,405,6336,4193,242659.5,11.25455684
E07000065,55601,8867,5086,7201,8611,3830,1269,556,886,11746,7549,505369.4,13.91972126
E07000066,82802,12777,14315,13507,16324,5264,2214,1651,1895,6482,8373,962143.5,14.16020575
E07000067,57625,11719,7046,6335,8828,3576,1582,1849,1034,8511,7145,570212,13.58650432
E07000068,33868,4304,3574,5122,6870,3331,1370,880,982,4094,3341,469079.8,17.74599175
E07000069,25388,5605,4642,3819,1643,587,267,284,214,3625,4702,140125.2,8.213187973
E07000070,82621,14069,14051,7630,16242,7138,3715,2143,1556,8857,7220,969789.6,14.57365953
E07000071,83688,16078,17810,10206,11043,7388,1863,1030,2528,8617,7125,993859.5,14.6271966
E07000072,47610,6143,5503,8217,7475,2847,1535,1045,1062,7060,6723,497647,14.71153221
E07000073,39814,7550,9870,3517,4541,3386,1911,1024,1545,2778,3692,595910.1,17.87158409
E07000074,23037,4533,1896,2955,3922,1295,363,418,401,4092,3162,211808.7,13.42005322
E07000075,26660,4699,5303,4773,2133,760,361,320,293,4056,3962,177561.4,9.524804206
E07000076,44323,10860,7215,5464,5691,1758,451,406,855,6231,5392,368777.3,11.27759327
E07000077,40286,5025,3032,5674,6714,4248,1942,2029,1795,6217,3610,662081.2,21.73680029
E07000078,63483,15673,14497,7396,7208,2934,1599,1493,2539,6074,4070,711470.1,13.33864714
E07000079,43391,7093,3365,5001,7671,4344,1451,1102,1654,7995,3715,602153.3,19.00676431
E07000080,30458,5545,3433,4772,4347,1374,645,463,688,5459,3732,288604.9,13.57055062
E07000081,63844,12521,16297,8033,9716,3486,1467,1906,1876,4379,4163,722043.7,13.0563759
E07000082,50092,7994,7476,8290,7430,2520,1100,691,1555,8194,4842,542504.8,14.64013385
E07000083,46180,6523,6652,8649,7849,2798,1419,1662,2401,5205,3022,728642,19.19853503
E07000084,84821,14510,16963,9337,8325,7151,2966,4450,4372,10042,6705,1300068.4,19.09786997
E07000085,48214,8584,3902,5769,7680,3793,1754,950,1820,8475,5487,669768.5,19.55414282
E07000086,64219,9794,11845,14888,8023,3328,1536,1502,1562,6198,5543,693336.5,13.21194596
E07000087,51004,7417,9851,10964,8178,1342,537,969,1597,5596,4553,595507.2,14.57611553
E07000088,26652,6784,7037,3156,1621,487,126,190,961,2886,3404,294640.3,14.47010608
E07000089,40079,5199,4267,6820,5873,1856,998,2171,2226,6957,3712,668224.7,22.72100306
E07000090,46667,8486,9375,9861,5254,1502,598,448,722,4964,5457,355143.1,9.798132208
E07000091,75620,12816,9377,12109,13710,4495,1657,770,1960,11249,7477,832137.5,14.62610293
E07000092,49880,9503,9069,7920,5080,3067,1266,2625,2706,4528,4116,815015.2,19.76465225
E07000093,57602,10440,8708,7711,7928,4762,2451,1835,1934,7402,4431,764263.4,16.69827613
E07000094,75566,9459,8170,10788,18378,6246,2770,2346,4471,8633,4305,1237508.6,19.7596698
E07000095,38867,6452,5188,5862,5260,2700,1435,1053,1676,3904,5337,549351.1,18.54287113
E07000096,66247,11717,10245,7934,10414,4531,1888,1481,2383,8844,6810,847912.8,16.75948847
E07000097,58180,10230,6987,7790,10320,4012,1713,1216,1151,8672,6089,614873.2,14.16138557
E07000098,46377,6413,5637,8380,8068,2973,1435,1032,1472,6104,4863,578825.4,16.34638238
E07000099,52441,10551,6894,7850,6981,3143,1525,1162,1941,7594,4800,666246.2,16.63660699
E07000100,61531,8935,8475,10003,10342,4618,1665,1190,1815,9221,5267,733270.1,15.58723083
E07000101,44839,7134,11453,4986,6328,3413,1717,1369,1668,3184,3587,620645.1,16.30359094
E07000102,35393,4457,4867,5622,4404,2267,1219,925,1994,5416,4222,554549.5,21.531722
E07000103,51469,9631,9761,6811,7625,3726,1800,1292,2388,4048,4387,789268.5,18.34057954
E07000104,68426,10150,7837,8831,15759,7810,2911,2321,3032,5452,4323,1166193.3,19.88360471
E07000105,54618,9444,10751,4822,6958,5470,2341,1152,1148,7206,5326,621799.3,14.77449271
E07000106,66713,13863,8161,10568,9766,8115,1319,803,1163,7592,5363,690155.6,12.83819339
E07000107,54972,6459,8072,11862,9847,5235,1700,1204,1967,3809,4817,800606.6,17.2745566
E07000108,43282,9493,5878,6046,7743,2620,681,393,960,5191,4277,449874.6,13.30438871
E07000109,32015,6319,5794,3409,4437,1510,435,568,556,3912,5075,268491.3,11.6593408
E07000110,76795,12002,12188,10523,13033,5286,2401,2865,2106,9110,7281,1071593.6,17.74044103
E07000111,46402,5918,4146,6044,9477,4252,1324,1210,1082,7654,5295,559543.3,16.72625176
E07000112,44250,9849,7187,4827,6114,3607,1204,710,943,5307,4502,456814.7,13.26368863
E07000113,52439,11427,8102,5832,8664,3228,1172,1189,649,6447,5729,477608.6,11.8622209
E07000114,47538,11232,13102,6477,2444,1726,474,466,765,5793,5059,321424.8,8.761511203
E07000115,60126,7772,7655,11029,11362,4212,2335,2213,1471,6831,5246,766610.9,15.95477325
E07000116,54985,10332,7613,6736,8236,4396,2583,1368,723,8021,4977,562787,13.40383928
E07000117,37472,8477,9356,6169,5024,1285,871,464,259,2941,2626,275010.8,8.619677167
E07000118,41674,7953,7446,6819,5753,2037,1187,581,416,5827,3655,337203.6,10.47476392
E07000119,42934,6729,6411,8284,9794,1909,1358,1130,1038,4055,2226,523799.2,14.29075928
E07000120,31172,7037,6455,5763,3990,1322,509,505,216,2860,2515,228991.5,8.876671706
E07000121,58893,14203,13462,9914,3880,2264,1710,878,1378,6644,4560,503772.2,10.56369813
E07000122,34602,8893,7202,6105,3425,1229,674,548,426,3370,2730,275406.2,9.662697355
E07000123,87088,14275,22703,12130,11748,8224,3308,2287,3519,5038,3856,1256480.3,16.06875591
E07000124,29815,4710,2975,5656,6233,1976,1162,735,440,4070,1858,338673.8,14.17816385
E07000125,24266,4808,4507,4091,3311,895,303,214,241,3292,2604,174226.4,9.484289603
E07000126,49069,8233,9543,10469,5456,3527,1781,968,928,4691,3473,517877,12.6604816
E07000127,49510,8944,7290,9252,10367,2366,760,648,610,5648,3625,460330.2,11.44047021
E07000128,37730,8457,7376,5754,4120,1265,440,443,500,5406,3969,269572.6,9.507056956
E07000129,51967,5447,9840,12768,8309,2563,1458,1551,1638,4795,3598,631777.1,14.49894662
E07000130,67856,13714,11291,11064,11036,4018,1158,1067,1511,7925,5072,652411.2,11.89250989
E07000131,42180,6603,2733,4871,10567,4461,1112,948,1292,6408,3185,569354.3,17.47182312
E07000132,42514,8203,6512,6529,7211,2117,822,774,786,5814,3746,392724.3,11.91734843
E07000133,22107,5636,2338,2411,2964,1993,738,382,371,3489,1785,210163.7,12.48521951
E07000134,53711,7014,7270,9228,11815,4373,1759,1545,2414,4979,3314,814069.6,17.92394205
E07000135,21125,4372,4735,4952,1788,605,223,269,326,2187,1668,152824.5,8.849131442
E07000136,31094,7570,5561,4220,3794,2175,840,915,519,2831,2669,300297.6,11.73312495
E07000137,51693,12643,4086,5603,6925,3892,2187,1211,2091,8626,4429,641941.2,16.61424504
E07000138,55050,11345,13893,10048,4489,4001,1572,2166,1343,3088,3105,595138.2,12.18122685
E07000139,45839,7493,5653,7791,6413,4280,1156,1373,1841,5933,3906,631832.3,17.55089722
E07000140,38861,6666,6451,4629,7161,3183,1010,672,828,4954,3307,414783.3,13.5550098
E07000141,57223,13577,8128,4647,8864,3823,2284,1493,1630,7971,4806,638270.3,14.36057913
E07000142,31075,6003,3014,3416,5073,2594,929,852,612,5681,2901,322501,14.33783844
E07000143,50487,11111,4800,4893,7654,4547,2104,1623,1351,7477,4927,633264.9,16.62854555
E07000144,47264,6554,7529,7999,7679,3298,1178,652,680,6724,4971,445702.1,12.53063342
E07000145,39960,9182,8496,5326,5711,1821,1115,396,799,3817,3297,395068.4,12.0278999
E07000146,63513,11455,9845,7521,10494,4278,1884,1863,2384,7965,5824,819596.4,16.48291368
E07000147,39632,7523,3244,5269,6203,2856,1834,907,769,6822,4205,434451.7,15.18796364
E07000148,89224,17238,22408,14484,10790,8164,3577,1196,2346,4781,4240,1060418.7,13.22168373
E07000149,54367,6477,6885,8973,10438,4373,2135,1036,1153,7820,5077,667009.9,16.08415481
E07000150,30883,7046,9413,2869,4132,1543,1151,522,544,1860,1803,277618.9,10.19907788
E07000151,38650,5905,3846,5564,6471,4054,1864,1041,1211,5753,2941,495151,16.52927627
E07000152,31128,6638,3459,3689,4673,2227,662,454,731,5196,3399,295297.8,13.10512582
E07000153,42290,9346,7355,6821,6712,1593,985,638,945,4541,3354,391446.7,11.38091874
E07000154,118778,18586,31892,19060,13212,8680,2244,3189,5364,8457,8094,1537803.6,15.04302777
E07000155,34323,4820,2327,4582,5882,2374,1089,960,1799,6786,3704,488563.9,20.49947132
E07000156,34351,6223,6159,6441,5827,1214,444,692,1401,3324,2626,414367.5,14.5898912
E07000163,27277,5409,2182,4068,4796,1967,893,605,593,4595,2169,288449.4,14.06178521
E07000164,48641,9192,3285,4994,8442,5196,2532,2226,2370,7270,3134,811509.1,21.22313728
E07000165,82129,17717,12879,7756,12350,5689,2524,1644,3906,12145,5519,1152401.9,17.87639649
E07000166,27802,6561,3431,2500,2515,1327,708,716,3222,4910,1912,705289.3,33.61722116
E07000167,25988,4751,1994,2484,4196,2405,1122,1187,785,5114,1950,350375,18.51484887
E07000168,46119,14313,8125,5297,3167,2533,780,785,1220,6450,3449,401413.7,11.08265323
E07000169,35476,5682,3563,4904,6980,2979,1294,1106,993,5133,2842,443787,16.13712229
E07000170,53093,9474,10361,10597,8535,2757,1037,907,1351,4177,3897,548625.7,12.1865368
E07000171,51829,10445,7309,6856,9313,4385,1843,1113,1526,5525,3514,630537,14.7356158
E07000172,38833,7223,7684,7226,5407,1192,558,566,916,4688,3373,347634.2,11.29709476
E07000173,36897,7368,6629,6309,4833,1291,516,321,387,5150,4093,253110.3,9.152755478
E07000174,40987,8028,10173,6824,4841,2335,640,378,539,3613,3616,324360.2,9.608395047
E07000175,50938,9084,7033,5575,8776,6064,1705,989,829,6943,3940,554968.5,13.85516165
E07000176,45942,6349,5723,9141,7900,2966,1046,789,1056,7416,3556,479120.9,13.70091221
E07000177,71803,15542,10115,7121,9714,6835,2850,2440,3198,8567,5421,990346.2,17.12957191
E07000178,99423,17772,24093,13378,14702,6565,4200,2632,4429,7287,4365,1310730.8,14.9335293
E07000179,61683,10919,4875,8901,10358,4239,1942,1573,2887,10398,5591,893454.2,19.55298726
E07000180,62253,9758,7377,9847,10662,4701,2341,1638,3360,7808,4761,947445.9,19.06943684
E07000181,48222,10501,3672,7390,6778,3085,1244,1125,2215,7665,4547,648518.4,18.00939739
E07000187,49267,10769,5333,6277,7811,2967,1124,510,1003,8580,4893,469416.6,13.11439347
E07000188,46639,11019,7225,4740,7219,2185,936,714,791,7155,4655,411989.6,11.82892417
E07000189,77724,17137,10598,9744,11723,5038,2392,1785,2571,10536,6200,1036722.1,16.99878829
E07000190,59898,13885,10505,6581,9406,3547,1983,1436,1911,6661,3983,733293.1,14.88799082
E07000191,14929,3438,1009,1237,2197,711,350,150,571,3885,1381,208505.3,21.57769844
E07000192,38814,7811,8344,5787,5102,1724,717,483,728,3753,4365,328752.2,10.70993615
E07000193,59222,11343,10857,9464,8493,4921,1981,1363,1535,5555,3710,685414.7,13.72009328
E07000194,44755,6948,5175,7777,9294,2584,1140,874,1124,6145,3694,497090.2,14.23674533
E07000195,49280,8150,11095,11335,5814,1152,468,829,1593,4982,3862,548871.8,13.57384014
E07000196,36453,4936,4922,7609,5577,1624,671,414,670,5996,4034,323212.5,12.23224085
E07000197,67178,11647,11338,7979,12922,5791,2453,1220,2184,7722,3922,874868.6,15.75374725
E07000198,34851,7342,3930,5010,6505,1219,448,515,502,5919,3461,286013.9,11.22900161
E07000199,30315,6464,7973,2368,3760,2054,797,557,924,2789,2629,329155.5,13.22068924
E07000200,35722,6886,4555,4716,5361,2304,894,733,812,5776,3685,364030.5,13.86201973
E07000201,32904,6804,2903,5382,5964,2967,1206,1158,823,3079,2618,416814.6,15.3201235
E07000202,71601,16084,20095,8379,8630,3984,1738,1147,1849,4674,5021,681025.8,11.00096598
E07000203,41665,6151,4108,6294,6694,3273,1527,968,1224,7274,4152,539984.8,17.85723073
E07000204,58400,12776,8569,5440,8875,6014,2398,1880,2074,6340,4034,841256.6,17.51669096
E07000205,54351,9427,6767,7919,10150,3322,1534,991,1580,8232,4429,673011.3,16.14323099
E07000206,44953,10548,9472,4612,6271,2192,1402,595,855,4967,4039,426023.9,11.85144518
E07000207,56375,6914,8989,9552,8140,3697,1394,901,1651,9879,5258,659012.1,15.98069984
E07000208,30223,4763,6331,4993,3696,1229,479,525,601,4114,3492,271968.6,12.02496352
E07000209,77684,10659,10935,10780,14886,6587,3722,2709,2610,9154,5642,1142612.1,18.16900045
E07000210,46437,5605,4415,7011,9909,3787,1614,1381,2049,6784,3882,814772,22.77744542
E07000211,67831,9375,8680,11310,12139,4445,2209,2628,2529,8477,6039,982394.5,18.42623089
E07000212,49802,6476,6098,8780,9571,4846,1818,1325,2720,4809,3359,884624.3,21.24764135
E07000213,41012,6128,6807,6721,5716,2899,1306,881,1582,4808,4164,531186,16.57883895
E07000214,43918,5766,8624,7372,5025,2337,1271,1339,2271,6184,3729,641405.7,18.86209969
E07000215,33114,4467,4382,5385,4639,1550,811,863,678,6448,3891,328483.2,14.42297256
E07000216,52153,7687,6172,6588,9214,2764,1500,1825,1131,9954,5318,576641.1,15.63518072
E07000217,44230,7108,6916,5713,6377,3051,1814,1109,2114,5842,4186,667864.2,19.52705105
E07000218,39558,3925,5477,8235,8752,3648,1326,775,1592,3393,2435,557559,16.53006226
E07000219,45300,9772,11345,7206,4140,2057,846,903,766,4381,3884,372013.5,10.04491697
E07000220,47452,8874,10238,4598,6389,3030,1406,1506,2809,5215,3387,719195.9,18.51212098
E07000221,63398,8972,5061,7836,12955,6055,3190,2214,2131,10191,4793,900821,18.60662205
E07000222,77726,12993,12935,10288,13162,6979,2997,2589,3320,8208,4255,1141747.2,17.49455587
E07000223,22179,4677,3469,3954,2429,724,374,242,334,2991,2985,168077.7,10.3732457
E07000224,49092,11494,8199,6666,4639,1491,699,418,559,8436,6491,315147.6,9.22428216
E07000225,61226,10069,5719,11013,11274,4891,1375,1553,1581,8724,5027,774638.7,16.31677093
E07000226,79370,9421,16843,9243,11198,7085,8780,5134,4013,3682,3971,1669377,23.27728433
E07000227,56174,9170,6991,6541,9447,4638,1739,1124,1221,9683,5620,658824.4,16.11960559
E07000228,60745,12581,7179,7241,10453,3796,1660,1376,1258,9458,5743,686397.6,15.0710873
E07000229,49415,12630,12819,5076,5549,1779,512,559,806,5271,4414,370581.6,9.327500629
E07000234,39055,5907,5956,6693,6983,2513,765,397,749,5759,3333,374380.3,12.49475353
E07000235,31181,5267,3993,4203,4735,1594,1030,650,567,6260,2882,293107.9,13.29950996
E07000236,39031,7452,10945,3019,5424,3384,831,446,830,3623,3077,377026.5,11.66145495
E07000237,53214,12431,13082,4735,6417,4598,2197,1103,1151,4210,3290,574868.7,12.57533141
E07000238,54092,8240,6729,8470,9090,4306,1724,1474,1064,8527,4468,588374.9,14.31673601
E07000239,37393,8416,8001,4741,3991,2065,663,402,362,5143,3609,260571.9,9.097863203
E08000001,114946,20844,28434,24049,13639,5218,1501,1053,1425,10086,8697,932390.9,9.695942306
E08000002,73437,13711,16053,13572,9546,2533,871,1671,1640,7689,6151,671346.8,11.26477507
E08000003,319745,42576,60879,76932,60689,17172,8912,10826,9343,15288,17128,4491630,15.63235872
E08000004,89047,18504,24569,16306,9388,2765,1143,1009,898,7349,7116,619861.4,8.311139417
E08000005,79184,16975,18331,14714,9136,3179,1041,879,924,7075,6930,596517.6,9.151990672
E08000006,113752,18041,19988,23939,21856,5842,2955,2633,2930,7987,7581,1402167,14.2810132
E08000007,125903,20869,29149,25792,15866,4242,2126,2410,2336,13362,9751,1140584,11.0962545
E08000008,79528,17792,20492,13871,7697,1961,875,962,1042,7651,7185,545734.1,8.435882335
E08000009,129951,17082,25488,27540,24558,7547,3020,3271,2947,11166,7332,1508303.2,13.53308749
E08000010,117725,24543,27263,21222,12671,5044,1894,921,1978,10864,11325,992469,10.38842949
E08000011,57202,9980,10558,14255,9962,2022,836,753,594,3531,4711,490475.2,10.01787582
E08000012,235801,34827,56455,64050,34493,9793,2673,3446,3116,12180,14768,2137471.2,10.23433324
E08000013,64928,12195,16507,12286,8054,2750,1124,624,997,5347,5044,568416.2,10.42257917
E08000014,102777,23367,22137,14683,15692,4810,1167,848,908,10137,9028,752874.2,9.004379754
E08000015,112249,20887,27273,26063,11169,2651,949,978,1002,11602,9675,732268.3,8.049381128
E08000016,82962,16565,17983,15626,10188,3809,1058,585,1073,7945,8130,626074.4,9.360180603
E08000017,127557,20307,25434,25167,19607,7444,2858,2481,2666,11055,10538,1329516.6,12.54687064
E08000018,107716,16719,21935,23393,19800,3842,1465,1386,1731,8748,8697,963400.9,10.67231891
