GeographyCode,WP403EW0001,WP403EW0002,WP403EW0003,WP403EW0004,WP403EW0005,WP403EW0006,WP403EW0007,WP403EW0008,WP403EW0009,WP403EW0010,WP403EW0011,WP403EW0012,WP403EW0013,WP403EW0014
E07000044,42780,30419,10704,19715,520,3575,898,2677,7801,6816,245,590,150,465
E07000045,49722,36531,11865,24666,527,3262,933,2329,8945,7958,186,706,95,457
E07000046,24526,18266,7350,10916,240,1460,367,1093,4143,3618,115,370,40,417
E07000047,21252,15742,6409,9333,168,1484,475,1009,3533,3103,101,286,43,325
E07000048,20628,14881,4614,10267,224,1679,355,1324,3683,3410,42,204,27,161
E07000049,33857,25690,8173,17517,165,2462,605,1857,5123,4539,160,305,119,417
E07000050,29352,20108,6882,13226,270,3026,409,2617,5401,4177,638,284,302,547
E07000051,19890,13642,4675,8967,211,1815,444,1371,3885,3060,429,209,187,337
E07000052,51708,35941,13225,22716,545,5039,650,4389,9174,8038,393,609,134,1009
E07000053,20887,14345,4433,9912,150,2145,777,1368,4041,3616,71,281,73,206
E07000061,43683,28993,8176,20817,311,3762,2249,1513,10303,9491,218,508,86,314
E07000062,36707,24299,7021,17278,213,2699,405,2294,9216,8517,116,487,96,280
E07000063,39907,29036,8739,20297,343,3024,2029,995,7078,6403,108,478,89,426
E07000064,31971,22836,7817,15019,212,2357,571,1786,6151,5559,172,355,65,415
E07000065,55300,41777,13163,28614,513,3770,1921,1849,8408,7505,214,566,123,832
E07000066,82736,61311,15920,45391,753,10189,6232,3957,10084,9271,129,612,72,399
E07000067,57521,41650,11727,29923,403,6274,1804,4470,8674,7814,234,504,122,520
E07000068,33777,25883,7597,18286,244,3130,2155,975,4251,3843,120,227,61,269
E07000069,25368,20777,6110,14667,86,1347,842,505,3028,2737,23,235,33,130
E07000070,82347,63055,17912,45143,555,7083,1744,5339,11050,10020,231,661,138,604
E07000071,81836,58565,16692,41873,393,6748,3716,3032,15557,13289,760,912,596,573
E07000072,47546,34699,10429,24270,337,5728,4078,1650,6333,5789,169,299,76,449
E07000073,39766,26418,6232,20186,417,7379,5919,1460,5378,4999,54,280,45,174
E07000074,22933,18139,5662,12477,108,1738,271,1467,2735,2433,75,185,42,213
E07000075,26613,21522,6313,15209,110,1500,567,933,3278,2967,50,218,43,203
E07000076,44200,33649,11032,22617,161,2554,1544,1010,7419,6651,134,548,86,417
E07000077,39877,28405,8596,19809,472,3792,2131,1661,6820,6067,272,312,169,388
E07000078,62999,43949,12150,31799,575,4436,2484,1952,13576,12629,153,666,128,463
E07000079,42898,28640,9676,18964,577,4602,852,3750,7856,6686,554,401,215,1223
E07000080,30156,23165,8278,14887,182,2345,561,1784,4132,3498,181,319,134,332
E07000081,63670,47721,12892,34829,598,4530,2305,2225,10430,9458,163,676,133,391
E07000082,49939,37078,11945,25133,378,4508,3130,1378,7515,6810,175,433,97,460
E07000083,45797,33692,9608,24084,439,3544,1130,2414,7738,6695,363,452,228,384
E07000084,84561,59847,14774,45073,1279,10192,965,9227,12356,11133,399,675,149,887
E07000085,47822,34113,10644,23469,536,5154,1236,3918,7330,6142,507,428,253,689
E07000086,64109,47116,12091,35025,703,6060,2226,3834,9824,8969,141,622,92,406
E07000087,50800,38615,9805,28810,450,3887,2144,1743,7543,6341,429,542,231,305
E07000088,26585,19171,4730,14441,259,2490,1318,1172,4477,3475,450,317,235,188
E07000089,39103,28983,7531,21452,484,2750,462,2288,6530,4951,813,307,459,356
E07000090,46491,33904,8845,25059,333,5676,2891,2785,6309,5537,125,565,82,269
E07000091,75141,54372,17556,36816,628,6876,3975,2901,12419,10863,558,751,247,846
E07000092,48565,33910,7973,25937,707,4541,1014,3527,9107,6775,1066,463,803,300
E07000093,57214,39526,11294,28232,581,6260,2383,3877,10033,8090,998,511,434,814
E07000094,74732,53281,14891,38390,812,6837,3947,2890,12855,10984,769,729,373,947
E07000095,38832,28660,7782,20878,406,4094,1560,2534,5432,5076,52,259,45,240
E07000096,65913,45469,12582,32887,528,10041,7407,2634,9391,8606,219,466,100,484
E07000097,57968,43006,12498,30508,599,6026,2058,3968,7650,6970,212,358,110,687
E07000098,46191,31581,9074,22507,594,5608,1718,3890,7927,7320,183,314,110,481
E07000099,52340,36527,10578,25949,554,7724,3355,4369,7072,6419,152,381,120,463
E07000100,61222,43551,13125,30426,457,6893,4400,2493,9854,9034,238,468,114,467
E07000101,44758,29993,7494,22499,529,7648,5401,2247,6359,5798,55,455,51,229
E07000102,35211,25233,7042,18191,281,3499,1442,2057,5881,5048,379,272,182,317
E07000103,51352,34545,9253,25292,595,6180,2293,3887,9680,9049,135,404,92,352
E07000104,68081,44175,11284,32891,802,10675,7301,3374,11963,11273,180,409,101,466
E07000105,54546,39274,10784,28490,751,4760,2834,1926,9281,8316,179,657,129,480
E07000106,65876,45830,13839,31991,636,4838,2981,1857,13818,12365,386,755,312,754
E07000107,54755,38878,9798,29080,669,5896,3287,2609,9019,8376,105,432,106,293
E07000108,43129,30620,9300,21320,277,3625,2282,1343,8152,7218,223,575,136,455
E07000109,31969,23104,6824,16280,296,3331,2354,977,5002,4560,78,281,83,236
E07000110,75968,56327,15354,40973,976,6230,1431,4799,11782,10389,442,683,268,653
E07000111,46302,33744,11056,22688,832,4763,1008,3755,6339,5636,260,357,86,624
E07000112,43917,30036,8970,21066,289,3086,1841,1245,10073,8759,328,606,380,433
E07000113,51980,38033,10318,27715,566,4294,813,3481,8641,7830,168,530,113,446
E07000114,47428,32555,9098,23457,163,3434,1736,1698,10877,9892,210,646,129,399
E07000115,59958,43506,11776,31730,971,6385,1041,5344,8555,7624,307,511,113,541
E07000116,54745,37527,11561,25966,672,5565,758,4807,10275,9427,278,465,105,706
E07000117,37407,29365,8728,20637,100,2160,723,1437,5500,4966,32,450,52,282
E07000118,41137,32948,9804,23144,176,3003,881,2122,4738,4216,47,408,67,272
E07000119,42662,34016,9137,24879,158,1614,450,1164,6546,5770,158,493,125,328
E07000120,31114,24320,7464,16856,72,1809,620,1189,4674,4203,29,387,55,239
E07000121,57969,43895,13667,30228,369,2818,1708,1110,10319,9246,171,811,91,568
E07000122,34532,26972,8918,18054,89,1866,871,995,5313,4816,51,397,49,292
E07000123,86184,65965,18261,47704,470,6481,1413,5068,12673,11481,164,894,134,595
E07000124,29680,23460,7458,16002,129,1357,359,998,4432,3836,156,343,97,302
E07000125,24229,19122,5886,13236,75,1725,741,984,3152,2787,23,315,27,155
E07000126,48934,38718,10927,27791,228,3685,690,2995,6040,5458,74,448,60,263
E07000127,49338,38580,11264,27316,232,3892,2910,982,6340,5762,69,436,73,294
E07000128,37549,30162,9392,20770,219,1644,391,1253,5167,4598,112,408,49,357
E07000129,51833,40968,10624,30344,343,3152,1800,1352,7124,6534,65,454,71,246
E07000130,67188,51609,15721,35888,474,4846,3119,1727,9758,8859,164,612,123,501
E07000131,41871,31709,9297,22412,450,2962,1270,1692,6370,5784,134,375,77,380
E07000132,42393,33619,9972,23647,253,2883,1832,1051,5365,4818,81,362,104,273
E07000133,22033,16300,5170,11130,192,1584,1105,479,3704,3337,106,191,70,253
E07000134,53555,41162,11602,29560,404,4315,3006,1309,7343,6693,84,502,64,331
E07000135,20986,16450,5163,11287,150,1482,990,492,2765,2558,23,146,38,139
E07000136,30932,21265,6521,14744,309,2677,1081,1596,6446,5899,156,284,107,235
E07000137,50484,36807,13267,23540,443,3090,980,2110,9473,8007,615,615,236,671
E07000138,54226,38777,10249,28528,387,4720,3594,1126,9968,9017,173,684,94,374
E07000139,44981,33137,9202,23935,296,3000,2172,828,8069,6346,875,453,395,479
E07000140,38798,27119,8509,18610,362,2913,2020,893,8073,7302,308,357,106,331
E07000141,57025,41375,11910,29465,496,4812,3424,1388,9685,8727,286,503,169,657
E07000142,30897,23233,7441,15792,264,2144,793,1351,4740,4043,268,330,99,516
E07000143,49843,34642,11213,23429,410,4610,1091,3519,9413,8240,460,553,160,768
E07000144,47152,35091,11272,23819,381,4423,1881,2542,6834,6114,163,487,70,423
E07000145,39820,29121,9314,19807,146,3653,2705,948,6569,5826,165,446,132,331
E07000146,62507,45334,14645,30689,423,4676,1217,3459,11129,9244,818,637,430,945
E07000147,39354,27295,10891,16404,211,3918,985,2933,7128,6326,273,458,71,802
E07000148,88715,59110,16876,42234,778,10943,7159,3784,17298,15839,176,1165,118,586
E07000149,54182,40495,13540,26955,555,4450,1863,2587,8028,7165,211,581,71,654
E07000150,30827,21514,4692,16822,190,3386,2575,811,5595,5195,53,303,44,142
E07000151,38366,27501,7503,19998,455,3552,1393,2159,6515,5962,96,342,115,343
E07000152,30949,22907,6359,16548,229,2708,713,1995,4786,4291,156,293,46,319
E07000153,42134,31527,7958,23569,342,3121,1829,1292,6853,6307,70,435,41,291
E07000154,118466,84221,19637,64584,1558,10069,6510,3559,21945,20329,141,1272,203,673
E07000155,34193,25574,7055,18519,439,2430,832,1598,5165,4648,143,264,110,585
E07000156,34276,24901,6451,18450,350,3174,1163,2011,5611,5125,61,382,43,240
E07000163,27069,20362,7280,13082,106,1383,483,900,4788,4268,124,299,97,430
E07000164,47482,33919,11502,22417,225,3833,820,3013,8759,6992,853,471,443,746
E07000165,80932,57372,18010,39362,478,4821,2563,2258,17147,15047,727,918,455,1114
E07000166,23924,15270,5211,10059,120,1964,1035,929,6102,3711,1241,295,855,468
E07000167,25810,17838,7111,10727,115,1990,362,1628,5182,4527,299,255,101,685
E07000168,45462,32389,11228,21161,224,3077,744,2333,9215,8338,160,546,171,557
E07000169,35384,27096,8101,18995,182,2767,1870,897,5003,4552,116,273,62,336
E07000170,53019,41090,11516,29574,210,4475,3342,1133,6920,6225,65,564,66,324
E07000171,51478,39113,11851,27262,201,4179,3218,961,7391,6663,163,463,102,594
E07000172,38548,29447,8597,20850,177,2856,2036,820,5778,5089,193,368,128,290
E07000173,36846,28523,8402,20121,191,2833,1633,1200,5035,4531,62,381,61,264
E07000174,40900,31348,9019,22329,138,3521,2519,1002,5615,5081,33,442,59,278
E07000175,50347,37634,11497,26137,242,3901,2765,1136,8103,7310,147,545,101,467
E07000176,45461,34887,10691,24196,336,3152,1707,1445,6733,6110,84,433,106,353
E07000177,71191,50908,13900,37008,717,6011,1596,4415,12789,11498,383,639,269,766
E07000178,97275,59790,18339,41451,1576,10086,5568,4518,24576,22677,554,925,420,1247
E07000179,60643,43160,13861,29299,670,5506,1266,4240,10403,8484,933,506,480,904
E07000180,61274,43254,12695,30559,706,5675,1339,4336,10713,8796,986,442,489,926
E07000181,46983,32539,9803,22736,668,4470,773,3697,8507,6521,1037,390,559,799
E07000187,48846,36088,12440,23648,454,3626,1004,2622,7991,7181,193,540,77,687
E07000188,46456,34281,10698,23583,300,3728,2053,1675,7692,6832,148,599,113,455
E07000189,76621,55667,17494,38173,694,7091,2384,4707,12147,10299,665,861,322,1022
E07000190,59158,42064,12724,29340,419,5769,3878,1891,10304,9253,209,667,175,602
E07000191,14088,9532,3775,5757,78,1435,210,1225,2726,2311,134,207,74,317
E07000192,38738,30092,8345,21747,200,3850,2278,1572,4388,3982,49,318,39,208
E07000193,58889,44673,13091,31582,319,4592,1932,2660,8819,8001,159,555,104,486
E07000194,44441,34244,10061,24183,268,4020,1202,2818,5574,4989,145,362,78,335
E07000195,48924,36829,11043,25786,154,5397,2576,2821,6173,5529,75,460,109,371
E07000196,36229,27806,8850,18956,175,3708,1494,2214,4171,3671,126,303,71,369
E07000197,66353,50761,15099,35662,311,5641,2361,3280,9109,7973,319,591,226,531
E07000198,34675,28006,9844,18162,119,2358,1192,1166,3846,3363,80,333,70,346
E07000199,30239,22944,5770,17174,162,3270,2107,1163,3715,3384,27,271,33,148
E07000200,35540,25492,8668,16824,194,3683,2322,1361,5623,4872,283,307,161,548
E07000201,31935,18355,5578,12777,379,3226,1154,2072,8839,7882,444,307,206,1136
E07000202,71343,50428,13844,36584,453,7291,4533,2758,12708,11789,177,640,102,463
E07000203,40886,30169,10354,19815,356,3446,2263,1183,6424,5263,587,342,232,491
E07000204,57355,40208,11737,28471,552,5861,2658,3203,10004,8642,487,590,285,730
E07000205,53745,39334,13079,26255,323,4417,1052,3365,8979,7910,470,416,183,692
E07000206,44806,33066,11210,21856,229,3681,2033,1648,7394,6662,156,506,70,436
E07000207,56175,40261,11593,28668,586,4346,1572,2774,10449,9563,289,472,125,533
E07000208,30074,22164,6336,15828,304,2317,634,1683,5030,4565,158,259,48,259
E07000209,76132,53076,15476,37600,1242,6813,4216,2597,14213,12279,801,641,492,788
E07000210,46282,33651,10260,23391,463,3937,921,3016,7675,6850,254,394,177,556
E07000211,67433,49216,13146,36070,847,6141,2164,3977,10680,9855,203,501,121,549
E07000212,49433,34851,9325,25526,640,4149,2114,2035,9321,8521,312,332,156,472
E07000213,40876,29025,7942,21083,605,3965,1291,2674,6926,6413,127,307,79,355
E07000214,43348,32081,8347,23734,510,3431,818,2613,6991,5725,585,363,318,335
E07000215,32731,24206,7295,16911,350,3123,1734,1389,4618,4029,307,212,70,434
E07000216,51573,37270,11736,25534,671,4932,3095,1837,7809,6812,440,400,157,891
E07000217,44126,31191,8484,22707,564,4102,2438,1664,7864,7172,210,359,123,405
E07000218,39502,29756,8040,21716,273,3811,2474,1337,5399,4901,92,330,76,263
E07000219,45210,34883,9845,25038,276,3781,2552,1229,6030,5401,70,477,82,240
E07000220,47004,34904,9824,25080,447,3956,2175,1781,7375,6527,271,403,174,322
E07000221,62993,45732,14561,31171,704,5529,1245,4284,10356,9322,289,564,181,672
E07000222,77431,57257,16567,40690,768,6391,3821,2570,12453,11426,207,699,121,562
E07000223,22148,16220,4557,11663,136,2020,1255,765,3562,3254,48,235,25,210
E07000224,48226,34501,10671,23830,459,3658,1661,1997,9118,8319,193,502,104,490
E07000225,60448,40983,13407,27576,621,6047,1428,4619,11807,10202,677,599,329,990
E07000226,79234,54690,12444,42246,1031,8818,5711,3107,14291,13310,149,714,118,404
E07000227,55972,41016,12364,28652,487,5118,1147,3971,8564,7639,347,471,107,787
E07000228,60284,43886,12836,31050,761,5103,1016,4087,9719,8832,226,540,121,815
E07000229,49305,35970,9666,26304,367,3203,1184,2019,9460,8675,110,583,92,305
E07000234,38915,30205,9012,21193,294,3227,1559,1668,4876,4396,110,327,43,313
E07000235,31014,22333,7921,14412,329,2969,589,2380,4944,4457,109,312,66,439
E07000236,38967,28928,7689,21239,216,4548,3136,1412,5084,4644,53,348,39,191
E07000237,52969,38794,10891,27903,551,4484,1591,2893,8778,8048,96,561,73,362
E07000238,53818,39058,12312,26746,373,5365,1110,4255,8440,7594,249,471,126,582
E07000239,37299,28526,9342,19184,247,3165,1491,1674,5071,4603,53,358,57,290
E08000001,114707,86471,24775,61696,480,12061,8584,3477,14885,13436,87,1183,179,810
E08000002,73220,55908,15293,40615,241,6504,4024,2480,10095,9133,64,792,106,472
E08000003,316925,203360,50004,153356,1913,37660,16254,21406,71797,67352,341,3527,577,2195
E08000004,88833,67076,19014,48062,357,9889,5064,4825,10832,9626,77,970,159,679
E08000005,78995,59231,16245,42986,255,8743,5804,2939,10167,9108,72,858,129,599
E08000006,113273,79215,19708,59507,574,14034,8428,5606,18675,17332,132,1029,182,775
E08000007,125607,96552,26478,70074,812,10683,5998,4685,16797,15317,119,1188,173,763
E08000008,79346,59455,15812,43643,237,9062,2895,6167,10070,9032,89,822,127,522
E08000009,129182,93438,24125,69313,709,12964,5325,7639,21273,19757,107,1249,160,798
E08000010,117505,90827,25175,65652,361,12585,10336,2249,12975,11738,93,1009,135,757
E08000011,57123,43697,10388,33309,198,7193,2814,4379,5719,5197,34,432,56,316
E08000012,234001,161222,41314,119908,1183,29108,6122,22986,41160,38350,260,2108,442,1328
E08000013,64764,49767,14014,35753,246,7461,2669,4792,6903,6210,63,537,93,387
E08000014,102450,79420,22649,56771,413,8277,2500,5777,13712,12468,115,1003,126,628
E08000015,112034,85779,23675,62104,425,9022,3583,5439,16064,14625,126,1157,156,744
E08000016,82826,63149,18461,44688,241,8806,7457,1349,9986,9000,113,745,128,644
E08000017,126775,96995,26528,70467,327,10529,8932,1597,18040,16211,233,1432,164,884
E08000018,107591,82524,22551,59973,285,11270,9348,1922,12787,11509,117,982,179,725
E08000019,260022,187076,51176,135900,871,29672,21208,8464,40492,36948,350,2579,615,1911
E08000020,91737,66205,16027,50178,289,13660,10664,2996,11020,9955,77,862,126,563
E08000021,168879,118369,28297,90072,676,21378,16779,4599,27456,25120,180,1856,300,1000
E08000022,84119,61592,14559,47033,283,10753,8334,2419,10967,9895,82,912,78,524
E08000023,50163,36260,9148,27112,177,8770,6781,1989,4700,4188,55,394,63,256
E08000024,125825,93344,22451,70893,302,18220,10575,7645,13356,11873,132,1157,194,603
E08000025,485507,344453,98716,245737,4362,54112,33352,20760,78332,72653,610,4224,845,4248
E08000026,147275,108419,30304,78115,929,11479,4325,7154,25497,23460,213,1562,262,951
E08000027,123023,94437,29070,65367,726,14681,11902,2779,12361,11153,159,865,184,818
E08000028,125323,89964,26939,63025,818,17951,14017,3934,15698,14459,149,886,204,892
E08000029,99745,77951,21521,56430,774,8010,5806,2204,12426,11464,111,739,112,584
E08000030,104858,76998,22656,54342,603,14273,7342,6931,12322,11244,108,819,151,662
E08000031,107678,78583,24220,54363,525,14886,11361,3525,12899,11836,145,721,197,785
E08000032,212992,162165,47026,115139,967,14429,6819,7610,33562,30518,296,2361,387,1869
E08000033,94581,72985,20581,52404,404,6345,2816,3529,14135,12691,141,1121,182,712
E08000034,166274,127089,38298,88791,570,12939,9871,3068,24281,21936,224,1818,303,1395
E08000035,407523,288249,71942,216307,1746,43732,33513,10219,70816,65620,457,4147,592,2980
E08000036,150636,112923,29938,82985,564,16707,12606,4101,19424,17552,197,1451,224,1018
E09000001,356304,228275,55128,173147,3555,18348,9326,9022,103814,99176,466,3519,653,2312
E09000002,58329,36251,8891,27360,651,10511,8155,2356,10577,9863,81,500,133,339
E09000003,128806,77482,25774,51708,1392,14191,8158,6033,33749,32015,297,1054,383,1992
E09000004,74581,54574,14424,40150,765,8854,2892,5962,9932,9090,99,619,124,456
E09000005,114936,59233,18890,40343,1588,16235,7275,8960,36838,35071,223,1096,448,1042
E09000006,111161,79866,22869,56997,1139,13318,3790,9528,15988,14746,228,834,180,850
E09000007,271015,146608,41947,104661,4160,34531,19736,14795,83220,78877,557,3064,722,2496
E09000008,120112,76738,20509,56229,1487,15924,8079,7845,24976,23457,232,1029,258,987
E09000009,131854,73187,22011,51176,2067,15647,8484,7163,39684,37652,279,1319,434,1269
E09000010,105297,66974,19716,47258,1112,13851,8542,5309,22404,21161,204,769,270,956
E09000011,85416,47803,12430,35373,1197,17809,10263,7546,17944,16624,260,755,305,663
E09000012,103364,45532,12252,33280,1871,21036,10875,10161,33983,32310,137,1244,292,942
E09000013,123930,61018,17386,43632,2031,19179,9528,9651,40441,38403,293,1438,307,1261
E09000014,80767,39035,11551,27484,1096,14458,8645,5813,25378,24318,153,670,237,800
E09000015,73658,48349,15698,32651,763,6030,3131,2899,17760,16676,250,583,251,756
E09000016,84606,63346,17604,45742,630,9667,7066,2601,10515,9783,107,548,77,448
E09000017,163669,110535,28990,81545,2507,16377,9049,7328,33126,30675,652,1216,583,1124
E09000018,128467,76221,20467,55754,2325,15290,8537,6753,33722,31837,337,1145,403,909
