GeographyCode,WP703EW0001,WP703EW0002,WP703EW0003,WP703EW0004,WP703EW0005,WP703EW0006,WP703EW0007,WP703EW0008,WP703EW0009,WP703EW0010,WP703EW0011,WP703EW0012
E07000036,42970,4621,26,176,2373,139,424,26354,2415,1515,4802,125
E07000037,35791,5494,35,597,1013,132,190,20157,1895,490,5646,142
E07000038,31416,4680,86,122,1591,114,194,19762,2021,274,2462,110
E07000039,33980,5083,13,112,714,139,317,22257,1966,610,2661,108
E07000040,53997,10081,28,603,1351,156,538,30076,2574,1183,6897,510
E07000041,83220,4825,46,2551,6550,204,1080,46860,4367,3927,12607,203
E07000042,30331,6773,11,115,554,39,228,16526,1455,599,3894,137
E07000043,47704,7582,27,85,1730,125,459,26154,2388,1542,7411,201
E07000044,43382,7824,22,270,1279,74,635,24968,2233,601,5102,374
E07000045,50050,8611,25,611,1203,115,593,29414,2747,778,5796,157
E07000046,24610,5830,8,51,588,66,208,12944,1223,310,3263,119
E07000047,21560,5245,7,49,375,84,150,11626,931,238,2746,109
E07000048,20702,2530,9,155,689,53,281,13381,945,1081,1513,65
E07000049,33977,5926,26,80,493,38,383,22619,1554,923,1810,125
E07000050,30265,5280,19,184,280,41,215,17754,1386,625,4321,160
E07000051,20220,3125,9,253,239,35,272,12219,991,616,2320,141
E07000052,52101,8174,19,454,1132,146,514,30608,2629,1283,6915,227
E07000053,21283,2987,18,180,1702,89,296,10378,1118,708,3670,137
E07000061,43881,4417,48,1765,2501,273,295,24532,2478,1308,6108,156
E07000062,36828,4386,18,1165,2074,319,306,19862,2266,545,5732,155
E07000063,40055,6310,35,1812,1922,139,305,22617,1644,776,4370,125
E07000064,32090,6336,21,1038,622,93,242,18175,1623,456,3350,134
E07000065,55601,11746,58,951,940,136,325,33363,2583,603,4663,233
E07000066,82802,6482,430,3746,3282,675,574,54213,4935,1481,6693,291
E07000067,57625,8511,112,1176,1440,219,376,35044,3202,1041,6280,224
E07000068,33868,4094,382,2020,1053,199,203,21470,1432,335,2543,137
E07000069,25388,3625,53,940,1091,199,153,15045,1286,579,2263,154
E07000070,82621,8857,237,3248,3720,225,497,51062,3857,2456,8184,278
E07000071,83688,8617,110,2086,5016,250,688,48960,4236,3247,10132,346
E07000072,47610,7060,2416,1314,1659,711,254,28433,1883,442,3217,221
E07000073,39814,2778,398,866,1983,386,216,25433,2665,979,3967,143
E07000074,23037,4092,41,407,357,62,130,14181,1089,542,2056,80
E07000075,26660,4056,49,1048,922,146,229,16289,1310,492,2026,93
E07000076,44323,6231,51,716,948,273,314,26146,2521,1647,5273,203
E07000077,40286,6217,122,1093,1182,139,220,25832,1563,496,3272,150
E07000078,63483,6074,77,511,3997,104,566,34692,3105,3762,10422,173
E07000079,43391,7995,74,232,592,70,316,26252,2146,898,4638,178
E07000080,30458,5459,9,89,499,28,222,18976,1747,418,2860,151
E07000081,63844,4379,35,525,4741,114,614,40617,3234,2869,6559,157
E07000082,50092,8194,25,260,1022,67,460,31584,2748,1144,4423,165
E07000083,46180,5205,53,260,1534,34,450,30820,2226,1964,3490,144
E07000084,84821,10042,116,2417,3727,202,423,53823,4334,1603,7829,305
E07000085,48214,8475,50,799,1049,92,317,28936,2307,972,4952,265
E07000086,64219,6198,39,1356,1706,126,703,43570,3421,1926,4932,242
E07000087,51004,5596,50,952,1536,126,742,32974,2651,2152,3887,338
E07000088,26652,2886,10,161,934,138,457,14652,1262,2724,3216,212
E07000089,40079,6957,93,1137,565,69,245,25419,1582,819,2999,194
E07000090,46667,4964,20,965,1936,288,486,29438,3058,1587,3734,191
E07000091,75620,11249,52,827,1365,140,677,48649,3650,2802,5839,370
E07000092,49880,4528,110,1754,1443,132,358,32944,2154,1450,4715,292
E07000093,57602,7402,28,632,1344,215,497,36903,3203,1716,5407,255
E07000094,75566,8633,75,2701,2654,201,708,47718,3554,1630,7360,332
E07000095,38867,3904,496,1608,1304,431,225,25355,1780,546,3047,171
E07000096,66247,8844,318,1405,2032,277,368,41813,3643,748,6544,255
E07000097,58180,8672,257,1889,1262,224,291,35897,2569,876,6013,230
E07000098,46377,6104,952,1864,2535,354,291,28709,1629,474,3254,211
E07000099,52441,7594,85,1635,1149,151,321,31701,2662,1147,5828,168
E07000100,61531,9221,375,2522,2420,186,308,36903,2665,1168,5563,200
E07000101,44839,3184,131,1745,2603,155,303,28943,2741,1111,3770,153
E07000102,35393,5416,1258,1267,918,128,225,21765,1289,497,2519,111
E07000103,51469,4048,1224,2945,3178,200,335,29724,2203,1058,6362,192
E07000104,68426,5452,531,2918,2530,280,413,45784,3331,1442,5567,178
E07000105,54618,7206,43,1478,1491,126,349,33891,3190,1402,5269,173
E07000106,66713,7592,91,2069,3776,163,436,37862,3311,1775,9439,199
E07000107,54972,3809,378,2692,4460,302,445,35810,2909,473,3498,196
E07000108,43282,5191,41,897,1500,234,398,25623,2718,1061,5395,224
E07000109,32015,3912,96,1083,1520,155,207,19064,1947,404,3476,151
E07000110,76795,9110,98,1953,3234,193,506,48376,3975,927,8181,242
E07000111,46402,7654,176,1999,805,189,316,29116,2003,417,3549,178
E07000112,44250,5307,36,757,2188,210,303,26283,2493,836,5608,229
E07000113,52439,6447,60,1717,586,223,490,32088,3148,1280,6190,210
E07000114,47538,5793,58,914,2962,320,476,26294,3084,1265,6190,182
E07000115,60126,6831,86,2142,1099,156,514,40638,2894,949,4646,171
E07000116,54985,8021,86,2213,1565,139,312,31671,2736,631,7440,171
E07000117,37472,2941,14,195,2858,349,180,23395,2819,411,4188,122
E07000118,41674,5827,19,426,1435,124,256,26312,2528,612,4018,117
E07000119,42934,4055,21,302,1751,158,373,28797,2379,1245,3696,157
E07000120,31172,2860,6,222,1666,321,190,19771,2119,325,3589,103
E07000121,58893,6644,27,868,3515,316,485,32535,3434,2417,8416,236
E07000122,34602,3370,11,137,1785,275,179,20826,2556,456,4870,137
E07000123,87088,5038,280,2315,8844,359,568,53839,5147,1809,8614,275
E07000124,29815,4070,38,168,809,103,237,19295,1800,468,2727,100
E07000125,24266,3292,12,57,1268,117,137,15118,1638,214,2332,81
E07000126,49069,4691,25,354,1781,204,382,33091,3249,1309,3838,145
E07000127,49510,5648,57,797,1407,553,311,31706,3523,872,4451,185
E07000128,37730,5406,24,179,1487,188,282,22584,2435,1151,3779,215
E07000129,51967,4795,26,219,2606,156,310,36070,2927,1425,3293,140
E07000130,67856,7925,31,535,2845,118,461,42152,3396,2625,7592,176
E07000131,42180,6408,23,275,885,88,260,26813,2613,883,3787,145
E07000132,42514,5814,16,149,1001,91,355,27246,2629,1140,3943,130
E07000133,22107,3489,9,109,592,45,166,12849,1417,548,2803,80
E07000134,53711,4979,38,176,1454,120,545,38743,3129,897,3462,168
E07000135,21125,2187,14,99,1307,83,147,12954,1361,666,2221,86
E07000136,31094,2831,8,81,591,118,238,19436,2972,1956,2750,113
E07000137,51693,8626,16,94,987,172,348,29650,2542,1984,7036,238
E07000138,55050,3088,28,539,3189,262,587,33076,3248,2630,8242,161
E07000139,45839,5933,20,271,947,91,424,29074,2459,2023,4374,223
E07000140,38861,4954,13,81,614,65,248,25059,3136,1667,2850,174
E07000141,57223,7971,24,362,1154,238,355,34336,3580,1805,7191,207
E07000142,31075,5681,20,114,617,73,199,18377,1675,785,3394,140
E07000143,50487,7477,34,235,687,180,368,31112,2939,1533,5704,218
E07000144,47264,6724,17,210,1507,128,550,30758,2119,1758,3305,188
E07000145,39960,3817,10,143,1841,163,406,24361,2369,1666,4757,427
E07000146,63513,7965,33,416,1445,138,453,40459,3693,3175,5462,274
E07000147,39632,6822,17,247,690,117,342,23474,2122,1236,4394,171
E07000148,89224,4781,58,1363,8390,319,1160,48545,4644,5688,14004,272
E07000149,54367,7820,24,278,1900,133,539,35547,2444,2157,3348,177
E07000150,30883,1860,18,84,1667,375,163,19970,3308,814,2501,123
E07000151,38650,5753,17,162,586,93,241,25560,2460,593,3067,118
E07000152,31128,5196,32,137,493,97,198,18747,2019,555,3547,107
E07000153,42290,4541,39,240,1350,91,238,27408,2788,757,4727,111
E07000154,118778,8457,164,869,7601,558,639,78237,8082,2813,10988,370
E07000155,34323,6786,24,195,728,53,163,21471,1661,487,2625,130
E07000156,34351,3324,58,261,838,264,226,23012,2442,563,3214,149
E07000163,27277,4595,10,499,818,63,118,15206,1777,290,3770,131
E07000164,48641,7270,18,397,829,108,218,29165,2550,1583,6288,215
E07000165,82129,12145,74,1171,3361,213,452,47246,4398,1788,10873,408
E07000166,27802,4910,21,472,580,100,116,14008,1494,491,4859,751
E07000167,25988,5114,19,118,463,42,183,14563,1653,808,2911,114
E07000168,46119,6450,14,285,2108,218,348,22937,2871,1068,9631,189
E07000169,35476,5133,13,225,869,71,273,22333,2354,1051,3040,114
E07000170,53093,4177,204,229,2734,212,405,35545,3402,1031,4970,184
E07000171,51829,5525,31,272,1382,136,411,33972,3837,1322,4786,155
E07000172,38833,4688,152,345,2938,126,334,22793,1965,1227,4142,123
E07000173,36897,5150,77,108,2916,177,232,21661,1854,689,3896,137
E07000174,40987,3613,32,205,2691,247,260,26468,2841,601,3905,124
E07000175,50938,6943,38,289,1230,78,340,31361,3436,2016,5028,179
E07000176,45942,7416,133,349,3331,94,269,27096,2011,1241,3881,121
E07000177,71803,8567,59,845,2150,259,461,44970,3832,2358,8027,275
E07000178,99423,7287,189,2645,16019,256,989,43271,3245,13204,11973,345
E07000179,61683,10398,103,1027,1538,113,416,36254,2611,2226,6781,216
E07000180,62253,7808,69,813,2232,78,517,39108,2827,3268,5335,198
E07000181,48222,7665,44,215,1132,66,364,29057,2241,2101,5176,161
E07000187,49267,8580,35,180,743,97,354,29316,2414,1128,6241,179
E07000188,46639,7155,13,201,598,96,457,28044,2586,2342,4990,157
E07000189,77724,10536,36,233,1012,125,788,48359,4016,2205,10142,272
E07000190,59898,6661,41,389,1591,97,687,35610,3186,3423,7993,220
E07000191,14929,3885,9,26,298,28,94,7282,638,407,2198,64
E07000192,38814,3753,9,221,1334,156,252,26250,2724,568,3437,110
E07000193,59222,5555,26,321,1891,427,497,38572,3994,1721,6025,193
E07000194,44755,6145,34,396,1281,99,248,29380,2786,718,3525,143
E07000195,49280,4982,75,220,2580,489,295,31693,3868,592,4326,160
E07000196,36453,5996,30,190,1079,118,225,23193,2389,502,2572,159
E07000197,67178,7722,53,628,2217,261,501,43553,3625,1719,6722,177
E07000198,34851,5919,7,102,1080,50,200,21054,2140,374,3801,124
E07000199,30315,2789,14,196,1415,211,170,19664,2220,708,2831,97
E07000200,35722,5776,27,249,748,75,264,21772,1896,871,3883,161
E07000201,32904,3079,11,92,639,105,215,22841,1816,1133,2879,94
E07000202,71601,4674,57,1246,5359,240,751,41748,3998,3094,10230,204
E07000203,41665,7274,27,361,661,58,336,25899,2106,1326,3454,163
E07000204,58400,6340,41,380,1197,246,407,37477,3543,1642,6942,185
E07000205,54351,8232,51,371,978,111,597,34440,2363,2452,4537,219
E07000206,44953,4967,19,288,1262,174,511,27215,2461,2940,4866,250
E07000207,56375,9879,397,3211,1323,156,445,33671,1891,1653,3517,232
E07000208,30223,4114,267,2585,1396,188,236,16717,1060,766,2751,143
E07000209,77684,9154,209,5085,2718,147,626,46584,2998,1898,7958,307
E07000210,46437,6784,202,3099,817,88,298,28874,1779,810,3509,177
E07000211,67831,8477,347,4648,2592,291,450,41418,2615,1024,5746,223
E07000212,49802,4809,341,2877,1339,110,374,33679,1657,1120,3295,201
E07000213,41012,4808,455,2125,2396,110,403,25382,1512,1004,2653,164
E07000214,43918,6184,106,1210,1379,66,265,28484,1979,884,3041,320
E07000215,33114,6448,142,1771,1007,130,199,19358,1397,298,2222,142
E07000216,52153,9954,118,1758,937,69,334,31143,2328,793,4476,243
E07000217,44230,5842,227,3532,1284,149,349,25596,1770,1253,4067,161
E07000218,39558,3393,29,213,1238,170,338,28368,2891,561,2230,127
E07000219,45300,4381,26,256,2182,150,326,28261,3359,1123,5097,139
E07000220,47452,5215,43,488,1172,171,387,30228,3147,1591,4850,160
E07000221,63398,10191,97,533,1385,124,383,40186,3554,1332,5407,206
E07000222,77726,8208,50,1050,2799,131,515,50894,4143,2135,7581,220
E07000223,22179,2991,21,854,878,67,251,12739,1148,960,2155,115
E07000224,49092,8436,40,1113,1066,183,357,27276,2677,2179,5543,222
E07000225,61226,8724,60,2113,1690,149,461,36310,3126,2259,6107,227
E07000226,79370,3682,376,5607,6315,293,527,52534,3282,1641,4795,318
E07000227,56174,9683,60,1382,1126,59,324,33668,2992,1019,5673,188
E07000228,60745,9458,65,2890,1213,210,356,35631,2812,883,7006,221
E07000229,49415,5271,29,2028,1883,155,412,27727,2546,2499,6722,143
E07000234,39055,5759,20,417,1326,162,225,25232,2347,444,3016,107
E07000235,31181,6260,8,284,531,55,237,18723,1765,609,2594,115
E07000236,39031,3623,17,408,2776,170,199,25618,2478,617,2996,129
E07000237,53214,4210,21,872,2377,176,411,32946,2717,2005,7304,175
E07000238,54092,8527,28,343,925,112,410,34695,3276,1106,4482,188
E07000239,37393,5143,11,333,795,179,277,23623,2305,706,3888,133
E08000001,114946,10086,115,1932,8142,1462,680,71797,7882,1237,11220,393
E08000002,73437,7689,1556,390,5352,715,349,44768,4422,893,7049,254
E08000003,319745,15288,8396,25027,53920,2017,1659,157568,13350,9699,31665,1156
E08000004,89047,7349,101,445,8612,965,444,53888,6321,937,9643,342
E08000005,79184,7075,88,691,5821,1349,428,49288,5385,913,7854,292
E08000006,113752,7987,2017,2814,9352,1001,621,69795,6415,2261,11064,425
E08000007,125903,13362,178,2751,11734,443,698,77127,5972,2472,10788,378
E08000008,79528,7651,115,1121,6968,499,428,47627,4617,1167,9054,281
E08000009,129951,11166,2990,1735,11408,688,772,81204,6657,3610,9262,459
E08000010,117725,10864,91,1456,7293,736,792,73242,7996,2086,12767,402
E08000011,57202,3531,61,1108,5027,960,319,35631,4300,937,5123,205
E08000012,235801,12180,2050,20765,41225,2736,1179,113510,12839,4353,23938,1026
E08000013,64928,5347,31,962,4328,572,383,41671,4629,991,5792,222
E08000014,102777,10137,276,4402,7773,1482,489,57385,6190,2908,11238,497
E08000015,112249,11602,553,4014,7704,834,811,66666,7060,2009,10444,552
E08000016,82962,7945,67,820,5483,414,592,51295,6115,649,9311,271
E08000017,127557,11055,97,2065,9751,745,762,78534,9218,3097,11848,385
E08000018,107716,8748,160,852,8750,597,606,70526,7776,980,8429,292
E08000019,261340,18553,8310,5360,34704,1178,1605,143636,14404,4213,28397,980
E08000020,91882,6383,2915,570,11923,484,397,54720,5765,1167,7258,300
E08000021,169652,8430,15765,3315,28173,1076,723,82753,9212,3956,15685,564
E08000022,84221,6997,4225,791,7622,744,341,48329,5405,1928,7436,403
E08000023,50317,3875,2134,323,5117,252,233,28207,3068,1159,5455,494
E08000024,126089,7705,2119,564,15162,732,567,76232,9809,1659,11046,494
E08000025,488095,32837,2962,38706,75095,2695,2346,263099,22258,6832,39538,1727
E08000026,148246,10043,107,2812,14885,683,832,90380,9519,3645,14763,577
E08000027,123197,10956,111,912,9778,392,932,80574,7381,1509,10308,344
E08000028,125467,7840,913,1520,12687,687,887,79817,8021,1897,10769,429
E08000029,99967,9989,113,2521,9087,397,551,65108,4943,1407,5590,261
E08000030,105000,8150,176,812,10045,521,638,66111,6996,1801,9436,314
E08000031,108004,7229,772,1797,11347,653,681,67161,6462,2148,9394,360
E08000032,213515,19312,183,6424,18778,2328,985,126116,14018,1713,22841,817
E08000033,94704,9506,64,1801,8569,537,607,56132,6408,919,9871,290
E08000034,166882,17716,125,2571,13393,1521,1072,100048,10957,1713,17213,553
E08000035,409815,29647,507,24183,51842,3266,2137,226928,23380,6469,40299,1157
E08000036,151142,11373,89,2060,10036,1339,963,97394,11300,1935,14202,451
E09000001,356706,687,113428,165810,21940,1799,4876,16065,1247,13501,16416,937
E09000002,58444,4740,5524,4028,5981,315,457,30153,1941,939,4107,259
E09000003,129112,20968,13334,5281,17574,610,913,55688,3113,1593,9362,676
E09000004,74670,8560,961,4721,7792,782,633,41669,2904,927,5346,375
E09000005,115221,12856,17984,7617,16762,317,1072,43905,2948,2054,9146,560
E09000006,111405,15799,2350,9791,13212,661,777,54915,3326,1366,8676,532
E09000007,272367,14366,90471,73413,30400,729,3539,24628,1744,13909,18265,903
E09000008,120398,15619,6843,14400,17857,486,833,47481,3293,1524,11412,650
E09000009,132461,15002,18559,7521,18653,319,1281,54092,3130,3211,10068,625
E09000010,105493,12362,6439,5784,14055,609,710,52163,3192,1647,8000,532
E09000011,86199,9610,6499,7932,13973,445,764,35444,2292,1675,7069,496
E09000012,103604,11963,18514,17551,16201,436,1187,17438,1127,7924,10776,487
E09000013,124530,10416,37520,17168,14763,293,2198,21448,1235,7158,11862,469
E09000014,81001,12465,12336,5385,14093,185,692,25330,1496,1990,6573,456
E09000015,73804,11574,7864,3516,7992,289,383,32950,2135,707,6077,317
E09000016,84726,8705,2793,5530,9601,1026,526,45419,3310,885,6546,385
E09000017,164963,11229,10061,5222,19164,449,1335,100602,5006,2358,8927,610
E09000018,128880,11139,11136,9924,15173,289,1513,62990,2994,4261,8915,546
E09000019,167159,10122,44731,41615,21711,642,2184,19794,1415,10167,14154,624
E09000020,116546,13510,37461,16626,16330,393,2158,12517,887,5899,10194,571
E09000021,72450,8942,1548,7119,10350,193,709,30423,1925,3042,7920,279
E09000022,137664,13862,24917,29266,23961,288,1870,24845,1388,6495,10126,646
E09000023,78895,11413,5622,9573,13577,302,739,26229,1542,2109,7315,474
E09000024,75223,9455,8958,8204,8435,265,837,28296,1628,2464,6323,358
E09000025,103887,8944,21929,11124,13789,305,766,33865,2246,2091,8352,476
E09000026,78894,11029,7865,4946,8639,889,460,35134,2141,851,6496,444
E09000027,78387,13870,4138,9523,8408,161,891,28204,1419,4261,7116,396
E09000028,183496,12303,37627,54029,24995,521,2297,27298,1715,9021,12881,809
E09000029,72286,8738,2185,5638,7587,422,661,35985,2314,1408,7053,295
E09000030,234726,9046,81720,61364,16951,809,2894,33493,2185,8697,16338,1229
E09000031,79221,9193,12070,5196,9887,623,569,30482,1972,1653,7104,472
E09000032,117924,16634,14793,17182,17552,271,1666,30662,1576,5636,11374,578
E09000033,579739,15542,208322,176287,65287,2725,8477,40713,3197,27190,30130,1869
W06000001,24405,4026,7,121,578,90,176,15131,1498,400,2247,131
W06000002,57626,8546,16,344,2545,118,264,34999,3215,671,6680,228
W06000003,45201,6743,12,403,1975,219,234,27376,2595,610,4830,204
W06000004,41357,5136,13,264,1389,247,206,26375,2616,624,4328,159
W06000005,72020,6577,23,378,2207,305,553,50357,4994,1383,4984,259
W06000006,60837,5324,25,384,3203,411,392,40118,4807,805,5174,194
W06000008,32426,6780,14,107,886,97,142,18173,1624,365,4109,129
W06000009,52951,9395,17,148,1567,189,332,32199,3280,411,5137,276
W06000010,73870,11630,22,402,1527,196,396,47746,4999,604,6068,280
W06000011,110469,8228,59,1090,6171,624,663,73732,8043,1496,9951,412
W06000012,51434,4081,12,381,1514,288,368,35642,3970,713,4300,165
W06000013,60466,4813,22,816,1737,340,314,42383,4464,527,4854,196
W06000014,45574,5886,25,762,1370,227,245,28843,2630,661,4663,262
W06000015,199702,11998,173,13964,17300,745,935,113563,10538,6107,23747,632
W06000016,82073,6778,35,1881,3113,197,314,55201,6424,424,7421,285
W06000018,58647,5347,33,736,2210,271,300,39388,4649,382,5144,187
W06000019,22021,1660,15,66,637,135,105,14691,2057,132,2448,75
W06000020,38863,2582,11,208,1766,289,217,27376,2984,349,2987,94
W06000021,38064,6619,16,179,555,95,231,23784,2300,399,3739,147
W06000022,73360,4728,33,709,5290,432,484,49571,5265,941,5686,221
W06000023,60142,13621,23,218,627,116,218,34216,2943,853,7023,284
W06000024,24856,1680,11,252,1685,217,76,15915,2557,73,2306,84
E02000001,356706,687,113428,165810,21940,1799,4876,16065,1247,13501,16416,937
E02000002,1130,157,84,57,159,17,5,529,36,12,69,5
E02000003,3620,311,177,279,382,29,25,1957,110,52,288,10
E02000004,1508,181,70,91,173,19,11,758,50,22,126,7
E02000005,1545,223,100,103,129,17,9,720,76,19,146,3
E02000007,3664,180,271,172,475,15,23,1981,119,54,360,14
E02000008,2356,249,233,130,224,14,15,1138,74,51,215,13
E02000009,1168,225,135,75,154,7,8,455,39,16,49,5
E02000010,1504,175,175,73,70,11,6,825,47,15,99,8
E02000011,2785,189,259,172,205,12,16,1551,120,65,188,8
E02000012,1900,311,269,133,127,30,7,786,42,22,162,11
E02000013,1289,186,199,83,88,8,11,552,32,11,109,10
E02000014,1836,223,226,117,193,14,8,731,66,19,231,8
E02000015,1333,158,171,111,142,7,8,516,49,22,141,8
E02000016,7136,188,1095,1049,1047,22,30,2825,178,95,590,17
E02000017,1704,267,300,178,173,7,9,563,54,24,121,8
E02000018,1206,200,202,98,87,12,13,479,33,11,61,10
E02000019,4262,180,267,195,451,13,47,2586,146,106,248,23
E02000020,4988,262,363,257,508,17,54,2975,208,122,194,28
E02000021,6053,234,254,160,341,16,86,4395,236,81,222,28
E02000022,2425,218,306,208,316,7,18,1129,51,30,130,12
