GeographyCode,WP613EW0001,WP613EW0002,WP613EW0003,WP613EW0004,WP613EW0005
E07000028,54646,9772,15091,15962,13821
E07000029,33624,7526,9119,9505,7474
E07000030,27035,4711,6799,9605,5920
E07000031,48426,10797,12890,15104,9635
E07000032,53421,10442,14459,15225,13295
E07000033,28640,4839,7247,8178,8376
E07000034,50426,10478,15134,13225,11589
E07000035,34274,8394,9038,10408,6434
E07000036,41587,8061,11005,12886,9635
E07000037,34344,7554,9169,10261,7360
E07000038,30258,5940,7850,9089,7379
E07000039,32866,6882,8618,9328,8038
E07000040,50062,10508,14714,15205,9635
E07000041,80343,21795,28113,17467,12968
E07000042,28648,5352,6998,10197,6101
E07000043,44750,8357,12759,14032,9602
E07000044,40693,8655,12476,12143,7419
E07000045,47384,9892,13452,14210,9830
E07000046,23150,3554,5330,9369,4897
E07000047,19999,3992,5342,6687,3978
E07000048,19657,4934,6035,5128,3560
E07000049,32140,8202,9656,8946,5336
E07000050,27854,6180,7773,8600,5301
E07000051,18924,4160,6000,5607,3157
E07000052,49115,11545,14423,14192,8955
E07000053,20020,3835,6038,5906,4241
E07000061,42083,8914,13976,10517,8676
E07000062,35374,6814,12114,9234,7212
E07000063,38086,9688,12708,9719,5971
E07000064,30137,6460,9007,9060,5610
E07000065,52119,13167,15708,15006,8238
E07000066,80350,17550,25596,20982,16222
E07000067,55327,11296,16789,16397,10845
E07000068,32449,9158,10837,7527,4927
E07000069,24245,4323,6906,8083,4933
E07000070,79637,21557,27111,18821,12148
E07000071,79128,19178,26253,19743,13954
E07000072,45401,10354,14396,11905,8746
E07000073,38661,8577,12138,9714,8232
E07000074,21805,4839,6380,6754,3832
E07000075,25511,5430,8384,7614,4083
E07000076,42079,6796,12034,13163,10086
E07000077,38131,9910,11793,10390,6038
E07000078,61134,17337,22567,11642,9588
E07000079,40647,11375,11760,10932,6580
E07000080,28726,5889,7319,9318,6200
E07000081,61879,15151,20498,14983,11247
E07000082,47662,12820,12623,13530,8689
E07000083,44211,12163,13376,11010,7662
E07000084,82133,25987,24933,18252,12961
E07000085,45457,12815,13179,11683,7780
E07000086,62259,16204,19054,15976,11025
E07000087,49206,13229,16186,11707,8084
E07000088,25760,5490,8520,6964,4786
E07000089,37685,13819,11600,7797,4469
E07000090,44880,11080,13088,11940,8772
E07000091,71518,17134,20901,20093,13390
E07000092,47273,15177,15039,10586,6471
E07000093,54907,14772,16792,13560,9783
E07000094,72014,25828,23186,13781,9219
E07000095,37537,8259,10989,10314,7975
E07000096,63815,18624,20052,14587,10552
E07000097,55640,16420,17330,13560,8330
E07000098,44304,13122,14460,9489,7233
E07000099,50304,14159,15095,12228,8822
E07000100,58985,20870,18138,11099,8878
E07000101,43626,12069,13411,10180,7966
E07000102,33999,11853,10419,7455,4272
E07000103,50016,13480,16407,11273,8856
E07000104,66267,20626,21079,13162,11400
E07000105,52480,11526,16071,14482,10401
E07000106,63424,16147,20882,15467,10928
E07000107,53428,10773,16529,14515,11611
E07000108,41620,8425,12824,11177,9194
E07000109,30898,6009,8722,9271,6896
E07000110,73292,17276,25084,18160,12772
E07000111,43976,12196,13453,11307,7020
E07000112,42281,8189,14027,11636,8429
E07000113,50184,8729,14737,15268,11450
E07000114,45659,8533,13967,12847,10312
E07000115,57921,14410,18044,14853,10614
E07000116,52487,15106,16793,11952,8636
E07000117,36539,6509,10585,10107,9338
E07000118,39813,9236,12208,10406,7963
E07000119,41363,12492,13065,8704,7102
E07000120,30349,5225,8813,8628,7683
E07000121,56012,12954,16853,14984,11221
E07000122,33618,5904,8847,10153,8714
E07000123,84286,20124,29611,18290,16261
E07000124,28699,7003,7796,8701,5199
E07000125,23557,4762,6602,6891,5302
E07000126,47521,10239,13911,12863,10508
E07000127,47670,10076,13600,12548,11446
E07000128,35944,6826,11022,10367,7729
E07000129,50710,11595,16984,12228,9903
E07000130,65191,16931,18534,17403,12323
E07000131,40359,9208,11463,9885,9803
E07000132,41027,8911,11829,11516,8771
E07000133,21230,4457,5620,6016,5137
E07000134,52191,11274,15011,14247,11659
E07000135,20320,4229,5752,5410,4929
E07000136,29903,4005,7497,8455,9946
E07000137,48026,7553,13691,15083,11699
E07000138,52891,11811,17351,12749,10980
E07000139,43484,9257,13579,11643,9005
E07000140,37350,5243,8697,11088,12322
E07000141,54759,11885,15233,15202,12439
E07000142,29517,5690,8287,9131,6409
E07000143,47623,7792,12757,15321,11753
E07000144,45156,9064,13192,13661,9239
E07000145,38337,6355,11594,11191,9197
E07000146,60045,10343,17211,17964,14527
E07000147,37054,6279,9721,12380,8674
E07000148,86446,21457,29617,19212,16160
E07000149,51873,12237,15750,14575,9311
E07000150,30072,4593,7397,7519,10563
E07000151,37054,8462,10535,9542,8515
E07000152,29817,6401,7819,8942,6655
E07000153,40971,8734,11502,11567,9168
E07000154,115695,25944,37266,27474,25011
E07000155,32797,9279,9560,8381,5577
E07000156,33225,6430,9667,9035,8093
E07000163,25903,6019,7119,8012,4753
E07000164,45459,10683,14417,12227,8132
E07000165,77764,20976,24777,18639,13372
E07000166,22943,4233,7924,6644,4142
E07000167,24399,4790,6130,8117,5362
E07000168,43704,7427,12343,13173,10761
E07000169,34285,6666,8800,10658,8161
E07000170,51906,9502,14223,15164,13017
E07000171,49942,8426,13055,14802,13659
E07000172,37538,8563,10863,10142,7970
E07000173,35691,7134,11122,10131,7304
E07000174,39959,7123,11274,11623,9939
E07000175,48591,9568,13342,13827,11854
E07000176,43907,13805,13735,9289,7078
E07000177,68835,16969,21342,17328,13196
E07000178,94484,36154,27847,16104,14379
E07000179,57752,18775,17227,13339,8411
E07000180,59021,21277,16513,12779,8452
E07000181,44911,12284,13320,12019,7288
E07000187,46632,10449,12306,14144,9733
E07000188,44403,8304,11348,13766,10985
E07000189,73425,16295,20290,22508,14332
E07000190,56911,13393,17809,14813,10896
E07000191,13186,2338,3676,4388,2784
E07000192,37586,6640,10164,11997,8785
E07000193,57340,12042,15581,14741,14976
E07000194,42761,10193,12533,11027,9008
E07000195,47546,9653,12893,12625,12375
E07000196,34794,7325,9925,10230,7314
E07000197,64070,15315,20585,15564,12606
E07000198,33252,6293,8644,10825,7490
E07000199,29493,5392,8527,8161,7413
E07000200,33785,7130,9346,10127,7182
E07000201,30749,5310,11311,8137,5991
E07000202,69640,15928,22290,17269,14153
E07000203,38887,8289,10679,11878,8041
E07000204,55234,12196,16963,14226,11849
E07000205,51377,12424,15030,14171,9752
E07000206,43004,7055,11889,13504,10556
E07000207,53826,19585,16907,10129,7205
E07000208,28964,9358,9404,6337,3865
E07000209,73457,26816,24409,13716,8516
E07000210,44247,16575,13986,8783,4903
E07000211,65178,20986,22440,13371,8381
E07000212,47973,17474,15927,8999,5573
E07000213,39456,11612,13094,9110,5640
E07000214,41830,13819,13845,8799,5367
E07000215,31098,8895,9733,7948,4522
E07000216,48902,17010,14400,11079,6413
E07000217,42638,14575,12751,8905,6407
E07000218,38447,6930,10329,11137,10051
E07000219,44112,8120,12553,12396,11043
E07000220,45505,11743,12480,11835,9447
E07000221,60034,18349,17340,14361,9984
E07000222,74983,24303,23303,14920,12457
E07000223,21186,4689,6651,5825,4021
E07000224,45682,9034,13799,13143,9706
E07000225,57459,15127,18146,14272,9914
E07000226,77752,19379,27390,18548,12435
E07000227,53471,15812,16729,12899,8031
E07000228,57714,17326,19450,12930,8008
E07000229,47575,11786,16871,11051,7867
E07000234,37314,9474,11465,9580,6795
E07000235,29299,8342,7777,7896,5284
E07000236,37841,8199,10864,10145,8633
E07000237,51507,13882,16409,11893,9323
E07000238,51316,11622,14974,13879,10841
E07000239,35645,7071,9849,10602,8123
E08000001,112055,22806,34884,27538,26827
E08000002,71115,15282,22398,17470,15965
E08000003,312144,90443,109807,54311,57583
E08000004,86782,16436,24505,22943,22898
E08000005,77148,14202,22327,20353,20266
E08000006,110866,26247,38693,23592,22334
E08000007,121857,30613,40440,28243,22561
E08000008,77386,14166,23284,21385,18551
E08000009,126117,32325,44406,25563,23823
E08000010,114659,20925,32386,32154,29194
E08000011,56104,10105,16400,14493,15106
E08000012,229415,50735,81884,45368,51428
E08000013,63064,11620,17908,16880,16656
E08000014,99017,20227,33568,23877,21345
E08000015,108556,24489,33833,25880,24354
E08000016,80949,14069,21774,24053,21053
E08000017,123914,20566,34815,35326,33207
E08000018,105195,18968,29241,30266,26720
E08000019,254051,59720,82875,59675,51781
E08000020,90068,17432,27509,23259,21868
E08000021,166048,43908,58025,32532,31583
E08000022,82554,17266,28740,18860,17688
E08000023,49118,8749,14295,13369,12705
E08000024,123701,20599,38906,31841,32355
E08000025,474379,117054,153172,100265,103888
E08000026,143590,36982,44276,31816,30516
E08000027,119183,23015,35080,35003,26085
E08000028,122304,18836,33780,35280,34408
E08000029,96703,26716,29324,20987,19676
E08000030,102030,17494,28189,30513,25834
E08000031,104988,21010,30902,28492,24584
E08000032,208247,43513,63635,50041,51058
E08000033,92237,21339,28863,23146,18889
E08000034,162005,33912,47259,42333,38501
E08000035,399489,106847,133512,85086,74044
E08000036,147600,26110,41704,40436,39350
E09000001,353072,197066,109125,26350,20531
E09000002,57139,9681,16218,16922,14318
E09000003,123486,37311,38963,25074,22138
E09000004,72287,14554,22292,20285,15156
E09000005,111840,26860,33152,26624,25204
E09000006,106945,28688,36533,24496,17228
E09000007,265010,116154,91026,29056,28774
E09000008,116436,29909,39445,26344,20738
E09000009,128496,33467,38369,30106,26554
E09000010,102046,23361,31777,24146,22762
E09000011,83251,20023,26986,19772,16470
E09000012,101697,33479,36901,15123,16194
E09000013,121433,45818,44096,15809,15710
E09000014,78645,19339,25147,17017,17142
E09000015,70767,21320,20888,16047,12512
E09000016,81853,16467,26007,23056,16323
E09000017,159896,40524,53306,38898,27168
E09000018,125729,36826,41688,26233,20982
E09000019,163477,67194,55794,20713,19776
E09000020,112072,39696,39202,16071,17103
E09000021,69773,22662,24371,12714,10026
E09000022,134622,44503,48436,22278,19405
E09000023,76708,19214,26512,16910,14072
E09000024,72776,20371,22965,16636,12804
E09000025,102113,21172,30586,24749,25606
E09000026,76309,19306,24138,17498,15367
E09000027,74861,29177,24620,12077,8987
E09000028,179836,70297,60241,25918,23380
E09000029,69555,17552,22255,18397,11351
E09000030,231940,108065,71463,25367,27045
E09000031,77233,15705,23045,19848,18635
E09000032,114373,37052,39342,20594,17385
E09000033,566267,239272,205407,60564,61024
W06000001,23075,4056,6289,7368,5362
W06000002,54507,10812,15659,16522,11514
W06000003,42578,8372,12873,12302,9031
W06000004,39494,7934,11366,11430,8764
W06000005,69751,13764,18193,20450,17344
W06000006,58884,10741,16162,16052,15929
W06000008,30207,6331,8712,9832,5332
W06000009,49858,8583,13366,16668,11241
W06000010,70660,12534,19543,22305,16278
W06000011,107447,22607,37437,24685,22718
W06000012,50144,8818,13176,14999,13151
W06000013,58871,11325,18128,15682,13736
W06000014,43311,9753,13990,11248,8320
W06000015,194151,53129,70988,36548,33486
W06000016,80130,14862,22793,22625,19850
W06000018,57255,10378,15731,16119,15027
W06000019,21480,3068,5449,6259,6704
W06000020,37939,7143,11263,10351,9182
W06000021,36126,8789,9888,10038,7411
W06000022,71580,15128,22356,17046,17050
W06000023,56190,10176,14057,20630,11327
W06000024,24317,3685,7193,6433,7006
E02000001,353072,197066,109125,26350,20531
E02000002,1095,134,278,381,302
E02000003,3522,674,1070,882,896
E02000004,1460,401,367,441,251
E02000005,1509,327,337,490,355
E02000007,3545,686,1077,965,817
E02000008,2298,468,522,815,493
E02000009,1136,175,243,430,288
E02000010,1481,250,352,577,302
E02000011,2716,463,886,738,629
E02000012,1863,434,530,513,386
E02000013,1268,191,344,415,318
E02000014,1784,272,441,571,500
E02000015,1297,183,388,383,343
E02000016,7016,1449,2856,1288,1423
E02000017,1683,369,440,431,443
E02000018,1190,163,341,391,295
E02000019,4171,481,1008,1456,1226
E02000020,4884,615,1414,1389,1466
E02000021,5966,761,1177,2332,1696
E02000022,2368,420,820,488,640
E02000023,2578,411,710,804,653
E02000024,5405,1811,1777,983,834
E02000025,1771,514,584,386,287
E02000026,1044,388,308,194,154
E02000027,3968,1113,1524,758,573
E02000028,2164,590,832,463,279
E02000029,2550,614,814,660,462
E02000030,2338,827,709,468,334
E02000031,3774,1216,1291,679,588
E02000032,1376,439,392,319,226
E02000033,3854,1171,1340,740,603
E02000034,1939,536,579,489,335
E02000035,2381,821,770,441,349
E02000036,1944,468,545,489,442
E02000037,1876,728,516,337,295
E02000038,2692,823,821,558,490
E02000039,2688,910,837,479,462
E02000040,3862,1313,1037,845,667
E02000041,4291,1056,1190,1058,987
E02000042,4780,1499,1521,922,838
E02000043,1135,452,339,208,136
E02000044,1611,412,435,440,324
E02000045,2408,617,722,535,534
E02000046,2974,924,1007,456,587
E02000047,3279,729,1010,824,716
E02000048,2147,759,644,403,341
E02000049,2492,717,680,575,520
E02000050,2988,845,1053,611,479
E02000051,4583,1841,1561,631,550
E02000052,3249,1065,1134,559,491
E02000053,6203,1632,2713,1081,777
E02000054,2263,837,582,439,405
E02000055,5539,2002,1632,1027,878
E02000056,2472,1103,636,395,338
E02000057,2014,681,552,409,372
E02000058,3374,1203,1091,525,555
E02000059,3784,726,1047,1119,892
E02000060,2662,844,858,501,459
E02000061,3491,1151,1064,648,628
E02000062,7445,1290,2085,1730,2340
E02000063,1288,266,331,408,283
E02000064,1388,378,400,282,328
E02000065,2828,583,756,759,730
E02000066,1600,287,549,398,366
E02000067,3201,446,862,973,920
E02000068,4798,821,1466,1271,1240
E02000069,1244,296,399,313,236
E02000070,985,221,258,313,193
E02000071,1962,434,485,567,476
E02000072,3405,485,901,1173,846
E02000073,1462,273,414,512,263
E02000074,1519,259,399,492,369
E02000075,1312,330,350,408,224
E02000077,1337,290,355,434,258
E02000078,1100,198,313,368,221
E02000079,7984,1556,2650,2072,1706
E02000080,3139,626,866,920,727
E02000081,2538,476,1029,699,334
E02000082,1944,463,576,562,343
E02000083,5721,858,1676,1807,1380
E02000084,2037,484,642,556,355
E02000085,1709,338,498,536,337
E02000086,1413,355,395,421,242
E02000087,2023,601,589,501,332
E02000088,1112,256,277,360,219
E02000089,1122,209,326,360,227
E02000090,5871,1322,2285,1305,959
E02000091,3734,1029,1313,849,543
E02000092,4420,925,1456,1075,964
E02000093,3452,686,804,1066,896
E02000094,3513,692,1065,906,850
E02000095,2796,792,697,767,540
E02000096,1826,646,480,426,274
E02000097,1946,371,478,653,444
E02000098,1785,571,397,458,359
E02000099,2687,551,677,769,690
E02000100,6155,2096,2410,940,709
E02000101,3001,708,844,641,808
E02000102,1651,325,361,528,437
E02000103,4839,991,1380,1438,1030
E02000104,1752,468,493,472,319
E02000105,1956,504,489,506,457
E02000106,3817,876,885,1170,886
E02000107,2624,575,762,675,612
E02000108,794,152,198,271,173
E02000109,8344,2129,2818,1730,1667
E02000110,1312,350,381,334,247
E02000111,3241,694,1206,662,679
E02000112,5054,1329,1639,1086,1000
E02000113,3497,654,901,804,1138
E02000114,2205,462,686,560,497
E02000115,1353,426,455,240,232
E02000116,3038,593,871,865,709
E02000117,2702,531,878,645,648
E02000118,3238,648,810,849,931
E02000119,11646,2701,3214,2391,3340
E02000120,2649,700,932,488,529
E02000121,5028,931,1426,1303,1368
E02000122,1924,681,598,381,264
E02000123,4046,777,1110,1045,1114
E02000124,4482,1469,1748,684,581
E02000125,1880,466,598,477,339
E02000126,1607,315,461,394,437
E02000127,1362,327,335,416,284
E02000128,1820,396,608,468,348
E02000130,3372,820,1151,769,632
E02000131,2003,550,711,421,321
E02000132,3950,1078,1533,769,570
E02000133,2344,916,725,406,297
E02000134,6101,1582,2221,1300,998
E02000135,2281,427,754,605,495
E02000136,1697,513,496,369,319
E02000137,1279,420,405,270,184
E02000138,2076,643,742,394,297
E02000139,1909,543,661,461,244
E02000140,2986,639,964,870,513
E02000141,1403,344,504,354,201
E02000142,3842,919,1344,857,722
E02000144,14389,4082,5977,2300,2030
E02000145,3221,520,973,923,805
E02000146,2935,716,963,763,493
E02000147,1180,438,365,227,150
E02000148,1917,614,619,403,281
E02000149,3130,643,914,916,657
E02000150,2956,975,992,592,397
E02000151,1102,358,315,252,177
E02000152,1778,541,481,476,280
E02000153,1120,322,339,296,163
E02000154,5317,1362,1855,1185,915
E02000155,1050,253,317,309,171
E02000156,3520,946,1177,833,564
E02000157,1396,496,431,295,174
E02000158,1026,318,282,253,173
E02000159,2945,780,897,753,515
E02000160,2645,764,799,645,437
E02000161,1407,429,418,364,196
E02000162,4398,1365,1624,882,527
E02000163,2727,670,796,868,393
E02000165,1464,281,471,516,196
E02000166,2918,1073,1038,423,384
E02000167,3595,1360,1196,524,515
E02000168,5322,2071,1803,756,692
E02000169,1930,882,563,244,241
E02000170,2149,793,741,298,317
E02000171,2194,863,792,279,260
E02000172,4833,1173,1974,796,890
E02000173,10368,4276,3895,1171,1026
E02000174,2960,1077,1167,343,373
E02000175,3821,1074,1313,692,742
E02000176,1914,837,653,207,217
E02000177,2274,806,759,318,391
E02000178,2125,673,696,362,394
E02000179,1392,470,494,218,210
E02000180,2119,636,815,343,325
E02000181,1219,519,388,150,162
E02000182,3456,1151,1185,521,599
E02000183,6858,2773,2531,756,798
E02000184,9754,3642,3668,1134,1310
E02000185,2437,671,792,461,513
E02000186,23708,10558,8184,2209,2757
E02000187,7671,2215,2835,1439,1182
E02000188,7767,3009,2647,1117,994
E02000189,5020,1990,1722,597,711
E02000190,9833,3835,3667,1192,1139
E02000191,39810,20297,12753,3369,3391
E02000192,30325,13831,10643,3209,2642
E02000193,67238,33599,22112,5928,5599
E02000194,2737,825,855,575,482
E02000195,1594,500,437,404,253
E02000196,1771,502,553,403,313
E02000197,1771,364,579,456,372
E02000198,1628,300,565,439,324
E02000199,1192,211,384,324,273
E02000200,2174,456,824,528,366
E02000201,1900,418,616,488,378
E02000202,1318,288,423,363,244
E02000203,2694,592,954,581,567
E02000204,1774,301,583,485,405
E02000206,3664,691,1074,1140,759
E02000207,1850,436,672,442,300
E02000208,4663,1229,1724,860,850
E02000209,2150,387,664,524,575
E02000210,1326,306,429,378,213
E02000211,1286,358,363,372,193
E02000212,3609,587,1249,760,1013
E02000213,6839,1543,2719,1260,1317
E02000214,1403,309,474,395,225
E02000215,3537,1148,1246,661,482
E02000216,1161,489,323,213,136
E02000217,7596,1483,2455,1672,1986
E02000218,981,229,303,285,164
E02000219,1893,554,616,469,254
E02000220,16386,5348,6734,2322,1982
E02000221,5187,1187,1658,1291,1051
E02000222,2663,654,774,790,445
E02000223,735,116,174,240,205
E02000224,2763,683,947,706,427
E02000225,1479,246,345,561,327
E02000226,1985,581,660,443,301
E02000227,2035,523,614,572,326
E02000228,1481,522,459,316,184
E02000229,1579,315,369,479,416
E02000230,3900,1188,1321,729,662
E02000231,1953,740,582,375,256
E02000232,1247,309,336,394,208
E02000233,1395,381,412,389,213
E02000234,3303,911,1222,688,482
E02000235,1616,543,499,382,192
E02000236,1489,346,452,473,218
E02000237,1649,540,484,410,215
E02000238,3381,910,768,924,779
E02000239,1706,294,336,680,396
E02000240,1625,385,407,512,321
E02000241,2050,376,594,646,434
E02000242,2742,576,726,849,591
E02000243,5914,1242,1505,1777,1390
E02000244,3936,778,1027,1275,856
E02000245,1187,248,304,389,246
E02000246,1145,205,297,368,275
E02000247,1882,454,460,519,449
E02000248,5947,1855,1728,1184,1180
E02000249,2970,506,668,928,868
E02000250,1232,492,328,260,152
E02000251,1100,178,270,393,259
E02000252,17534,4385,5237,3740,4172
E02000253,1436,352,312,516,256
E02000254,1236,195,317,370,354
E02000255,1878,603,481,472,322
E02000256,6090,2292,2209,903,686
E02000257,7360,2223,2453,1355,1329
E02000258,1067,281,316,275,195
E02000259,1546,435,361,472,278
E02000260,3316,697,1210,618,791
E02000261,2322,591,783,501,447
E02000262,3568,938,1264,684,682
E02000263,2294,406,617,571,700
E02000264,2420,819,788,483,330
E02000265,3635,1090,1054,783,708
E02000266,9007,1889,2914,1785,2419
E02000267,2827,665,950,740,472
E02000268,3212,1229,1066,558,359
E02000269,3379,1308,1178,503,390
E02000270,3890,836,1213,1137,704
E02000271,3327,1166,1166,485,510
E02000272,2006,623,575,485,323
E02000274,3700,667,960,999,1074
E02000275,1636,321,527,376,412
E02000276,1620,499,531,345,245
E02000277,1118,234,288,294,302
E02000278,1268,190,327,358,393
E02000279,3580,767,973,896,944
E02000280,3157,837,945,825,550
E02000281,2134,461,615,612,446
E02000282,1792,328,545,485,434
E02000283,1587,200,445,496,446
E02000284,3328,924,1084,718,602
E02000285,3486,1021,1355,675,435
E02000286,5927,1822,2339,978,788
E02000287,2853,1052,971,448,382
E02000288,6526,1192,1944,1736,1654
E02000289,1080,421,260,242,157
E02000290,6659,1013,1735,1900,2011
E02000291,4568,883,1455,1114,1116
E02000292,3467,598,1095,854,920
E02000293,1052,326,334,232,160
E02000294,1618,308,456,452,402
E02000295,1762,558,561,352,291
E02000296,6128,1684,2170,1079,1195
E02000297,1953,445,623,495,390
E02000298,2040,650,632,432,326
E02000299,1899,384,492,470,553
E02000300,1297,259,398,339,301
E02000301,2057,325,601,581,550
E02000302,1696,402,454,418,422
E02000303,1967,459,562,506,440
E02000304,1425,488,452,310,175
E02000305,2769,781,878,559,551
E02000306,4930,790,1784,977,1379
E02000307,1430,303,356,424,347
E02000308,2501,554,749,712,486
E02000309,3845,531,1072,956,1286
E02000311,2165,438,477,724,526
E02000312,2719,704,750,643,622
E02000313,774,142,188,253,191
E02000314,5844,973,2082,1512,1277
E02000315,1509,336,414,410,349
E02000316,11137,2371,4159,2424,2183
E02000317,1347,270,381,353,343
E02000318,2678,428,947,645,658
E02000319,2650,470,613,1024,543
E02000320,1171,204,352,377,238
E02000321,1439,398,341,433,267
E02000323,2673,553,911,645,564
E02000324,1670,390,497,428,355
E02000326,1126,298,354,277,197
E02000327,5543,1237,2267,1123,916
E02000328,1232,466,384,227,155
E02000329,986,220,257,328,181
E02000331,1282,287,375,355,265
E02000332,1763,509,570,397,287
E02000333,1887,708,614,288,277
E02000334,1066,285,274,301,206
E02000335,902,211,251,277,163
E02000337,1251,256,318,417,260
E02000339,2583,571,811,625,576
E02000340,3372,859,1081,779,653
E02000341,1349,350,348,383,268
E02000342,1595,510,440,398,247
E02000343,1040,241,264,322,213
E02000344,1989,416,586,529,458
E02000345,3136,715,963,716,742
E02000346,1268,311,424,261,272
E02000347,1838,550,523,410,355
E02000348,1395,244,473,292,386
E02000350,2104,611,762,382,349
E02000351,1450,440,524,253,233
E02000352,1307,398,536,192,181
E02000353,2656,671,1014,379,592
E02000354,2147,529,714,445,459
E02000355,1929,540,671,367,351
E02000356,1742,622,633,251,236
E02000357,917,173,281,186,277
E02000358,3256,794,1308,513,641
E02000359,1185,304,466,202,213
E02000360,2127,538,730,424,435
E02000361,6153,1609,2538,954,1052
E02000362,2561,649,984,490,438
E02000363,4772,1302,1911,749,810
E02000364,2794,649,1091,469,585
E02000365,4889,1394,1891,663,941
E02000366,1498,374,535,287,302
E02000367,4620,1261,1746,840,773
E02000368,1499,426,528,277,268
E02000369,4086,1333,1391,655,707
E02000370,3923,1590,1510,395,428
E02000371,33963,14951,11901,3575,3536
E02000372,16886,6639,6362,2135,1750
E02000373,1176,321,322,276,257
E02000374,889,240,324,162,163
E02000375,14180,4471,5436,1857,2416
E02000376,3281,847,1214,590,630
E02000377,1873,566,637,324,346
E02000378,3071,1139,1144,375,413
E02000379,1432,546,462,248,176
E02000380,1891,794,678,223,196
E02000381,4281,1884,1456,482,459
E02000382,3763,1472,1299,532,460
E02000383,7205,3457,2403,689,656
E02000384,20245,8452,7374,2142,2277
E02000385,1644,648,543,236,217
E02000386,4359,1106,1953,717,583
E02000387,4971,1860,1923,630,558
E02000388,3521,1188,1301,488,544
E02000389,3664,1781,1196,387,300
E02000390,1931,706,670,305,250
E02000391,4323,1460,1631,627,605
E02000392,4454,1586,1585,670,613
E02000393,1147,496,387,128,136
E02000394,4520,1612,1529,615,764
E02000395,3788,1470,1321,515,482
E02000396,2938,1077,946,456,459
E02000397,1699,319,525,478,377
E02000398,3009,497,795,805,912
E02000400,2268,591,713,585,379
E02000401,1067,177,320,265,305
E02000402,1077,216,281,280,300
E02000403,5663,1369,1872,1465,957
E02000404,1504,293,405,382,424
E02000405,1585,601,540,254,190
E02000406,1032,174,241,316,301
E02000407,2035,337,609,491,598
E02000408,2104,333,842,443,486
E02000409,1567,343,421,404,399
E02000410,1951,712,693,322,224
E02000411,3513,552,1071,977,913
