GeographyCode,WP604EW0001,WP604EW0002,WP604EW0003,WP604EW0004,WP604EW0005,WP604EW0006,WP604EW0007
E07000027,31302,10331,3111,7220,20971,18797,2174
E07000028,56652,17950,5406,12544,38702,31128,7574
E07000029,34640,8981,2649,6332,25659,22588,3071
E07000030,28783,9259,3194,6065,19524,13883,5641
E07000031,52022,17131,6179,10952,34891,27527,7364
E07000032,55025,16101,5347,10754,38924,31829,7095
E07000033,29342,8185,2631,5554,21157,16912,4245
E07000034,51786,17375,5006,12369,34411,29029,5382
E07000035,36196,12121,4505,7616,24075,18300,5775
E07000036,42970,13245,4372,8873,29725,24491,5234
E07000037,35791,11704,4086,7618,24087,19165,4922
E07000038,31416,10093,3347,6746,21323,16893,4430
E07000039,33980,9728,3518,6210,24252,18767,5485
E07000040,53997,18555,6662,11893,35442,26820,8622
E07000041,83220,25139,8165,16974,58081,49884,8197
E07000042,30331,10191,3582,6609,20140,14904,5236
E07000043,47704,15811,5040,10771,31893,25103,6790
E07000044,43382,14257,4959,9298,29125,22643,6482
E07000045,50050,17254,6062,11192,32796,25852,6944
E07000046,24610,8771,2997,5774,15839,11731,4108
E07000047,21560,7812,2890,4922,13748,9902,3846
E07000048,20702,6543,2315,4228,14159,11478,2681
E07000049,33977,11547,4566,6981,22430,17461,4969
E07000050,30265,9115,3437,5678,21150,15977,5173
E07000051,20220,6155,2289,3866,14065,10978,3087
E07000052,52101,18038,6211,11827,34063,27009,7054
E07000053,21283,8620,2794,5826,12663,10157,2506
E07000061,43881,15435,5023,10412,28446,23742,4704
E07000062,36828,12760,3867,8893,24068,19913,4155
E07000063,40055,13445,4742,8703,26610,21220,5390
E07000064,32090,11478,4032,7446,20612,15835,4777
E07000065,55601,19363,7549,11814,36238,27504,8734
E07000066,82802,24009,8466,15543,58793,48213,10580
E07000067,57625,18209,6729,11480,39416,30694,8722
E07000068,33868,10217,3916,6301,23651,18538,5113
E07000069,25388,9240,3522,5718,16148,12584,3564
E07000070,82621,26304,9691,16613,56317,45368,10949
E07000071,83688,27185,10041,17144,56503,45100,11403
E07000072,47610,15564,5857,9707,32046,24896,7150
E07000073,39814,11341,3767,7574,28473,23949,4524
E07000074,23037,7618,3065,4553,15419,11749,3670
E07000075,26660,8841,3455,5386,17819,13683,4136
E07000076,44323,16217,5494,10723,28106,21992,6114
E07000077,40286,12056,4665,7391,28230,21942,6288
E07000078,63483,19663,6747,12916,43820,37163,6657
E07000079,43391,13771,5351,8420,29620,22783,6837
E07000080,30458,10009,3636,6373,20449,15754,4695
E07000081,63844,19691,5896,13795,44153,37708,6445
E07000082,50092,15995,5944,10051,34097,27050,7047
E07000083,46180,11282,3976,7306,34898,28832,6066
E07000084,84821,21662,8010,13652,63159,50932,12227
E07000085,48214,15584,6152,9432,32630,25461,7169
E07000086,64219,18619,6577,12042,45600,37205,8395
E07000087,51004,15265,5411,9854,35739,29169,6570
E07000088,26652,8134,2741,5393,18518,15054,3464
E07000089,40079,10817,4380,6437,29262,22492,6770
E07000090,46667,14957,5130,9827,31710,25943,5767
E07000091,75620,25530,9787,15743,50090,38948,11142
E07000092,49880,11342,3983,7359,38538,30661,7877
E07000093,57602,15904,5899,10005,41698,32992,8706
E07000094,75566,21852,8387,13465,53714,43818,9896
E07000095,38867,11181,3934,7247,27686,21609,6077
E07000096,66247,19703,7309,12394,46544,37019,9525
E07000097,58180,18710,7432,11278,39470,31154,8316
E07000098,46377,13310,4847,8463,33067,26117,6950
E07000099,52441,16643,6288,10355,35798,28640,7158
E07000100,61531,20463,8042,12421,41068,32237,8831
E07000101,44839,12661,4202,8459,32178,27234,4944
E07000102,35393,9349,3621,5728,26044,19959,6085
E07000103,51469,14959,5350,9609,36510,29805,6705
E07000104,68426,17627,6483,11144,50799,42109,8690
E07000105,54618,16984,5908,11076,37634,29965,7669
E07000106,66713,23900,8822,15078,42813,34506,8307
E07000107,54972,17169,6299,10870,37803,30426,7377
E07000108,43282,13684,4459,9225,29598,23271,6327
E07000109,32015,10910,3756,7154,21105,16408,4697
E07000110,76795,23217,8215,15002,53578,42923,10655
E07000111,46402,15283,5892,9391,31119,24152,6967
E07000112,44250,14213,4693,9520,30037,24250,5787
E07000113,52439,15769,5497,10272,36670,28395,8275
E07000114,47538,17106,5303,11803,30432,24784,5648
E07000115,60126,17003,5965,11038,43123,34187,8936
E07000116,54985,17591,6460,11131,37394,29749,7645
E07000117,37472,11889,3152,8737,25583,22284,3299
E07000118,41674,13466,4341,9125,28208,23326,4882
E07000119,42934,10445,3348,7097,32489,28175,4314
E07000120,31172,9348,2402,6946,21824,18808,3016
E07000121,58893,20331,6841,13490,38562,31293,7269
E07000122,34602,10848,3087,7761,23754,20334,3420
E07000123,87088,25818,7625,18193,61270,53265,8005
E07000124,29815,8094,2929,5165,21721,17851,3870
E07000125,24266,7143,2146,4997,17123,14192,2931
E07000126,49069,13449,4341,9108,35620,29392,6228
E07000127,49510,14676,4786,9890,34834,28533,6301
E07000128,37730,12892,4260,8632,24838,20057,4781
E07000129,51967,14354,4593,9761,37613,31534,6079
E07000130,67856,21065,7651,13414,46791,38114,8677
E07000131,42180,12096,4459,7637,30084,23848,6236
E07000132,42514,12688,4358,8330,29826,24011,5815
E07000133,22107,6897,2579,4318,15210,11894,3316
E07000134,53711,13323,4235,9088,40388,32723,7665
E07000135,21125,7199,2444,4755,13926,11846,2080
E07000136,31094,9718,2721,6997,21376,17066,4310
E07000137,51693,17325,5554,11771,34368,26348,8020
E07000138,55050,18614,6126,12488,36436,31183,5253
E07000139,45839,12187,4243,7944,33652,26289,7363
E07000140,38861,10052,3410,6642,28809,21774,7035
E07000141,57223,18370,6389,11981,38853,30951,7902
E07000142,31075,10248,3825,6423,20827,15815,5012
E07000143,50487,15488,5402,10086,34999,26313,8686
E07000144,47264,15009,5342,9667,32255,26047,6208
E07000145,39960,14216,4346,9870,25744,20872,4872
E07000146,63513,19300,6596,12704,44213,35125,9088
E07000147,39632,14133,5091,9042,25499,19979,5520
E07000148,89224,27822,9820,18002,61402,52637,8765
E07000149,54367,17575,6185,11390,36792,28750,8042
E07000150,30883,7416,2132,5284,23467,19857,3610
E07000151,38650,9755,3560,6195,28895,22606,6289
E07000152,31128,9326,3505,5821,21802,16807,4995
E07000153,42290,12872,4003,8869,29418,24178,5240
E07000154,118778,31478,9967,21511,87300,73265,14035
E07000155,34323,9758,3860,5898,24565,18241,6324
E07000156,34351,9111,2998,6113,25240,20475,4765
E07000163,27277,8586,3157,5429,18691,14142,4549
E07000164,48641,13976,4961,9015,34665,26671,7994
E07000165,82129,24421,8646,15775,57708,44879,12829
E07000166,27802,6494,2275,4219,21308,13325,7983
E07000167,25988,7918,2847,5071,18070,13643,4427
E07000168,46119,17019,5203,11816,29100,23268,5832
E07000169,35476,9716,3278,6438,25760,20071,5689
E07000170,53093,14214,4048,10166,38879,32600,6279
E07000171,51829,15648,4802,10846,36181,29350,6831
E07000172,38833,12337,4378,7959,26496,21702,4794
E07000173,36897,12263,3992,8271,24634,19922,4712
E07000174,40987,13510,4264,9246,27477,22776,4701
E07000175,50938,15982,5644,10338,34956,27874,7082
E07000176,45942,14755,5309,9446,31187,25402,5785
E07000177,71803,19738,6887,12851,52065,41761,10304
E07000178,99423,27309,9497,17812,72114,60242,11872
E07000179,61683,18566,7191,11375,43117,33879,9238
E07000180,62253,15860,5781,10079,46393,37298,9095
E07000181,48222,13487,5048,8439,34735,26903,7832
E07000187,49267,17246,6052,11194,32021,24332,7689
E07000188,46639,15245,5334,9911,31394,24768,6626
E07000189,77724,23312,7960,15352,54412,43743,10669
E07000190,59898,19560,6055,13505,40338,33161,7177
E07000191,14929,4935,1614,3321,9994,7788,2206
E07000192,38814,12399,3939,8460,26415,21112,5303
E07000193,59222,16893,5520,11373,42329,34423,7906
E07000194,44755,14099,5071,9028,30656,24394,6262
E07000195,49280,15305,4947,10358,33975,28089,5886
E07000196,36453,12063,4414,7649,24390,19263,5127
E07000197,67178,20389,6914,13475,46789,38001,8788
E07000198,34851,11374,3941,7433,23477,18244,5233
E07000199,30315,9514,3127,6387,20801,16851,3950
E07000200,35722,11773,4548,7225,23949,18679,5270
E07000201,32904,8475,3088,5387,24429,18299,6130
E07000202,71601,23821,7681,16140,47780,40360,7420
E07000203,41665,12521,4989,7532,29144,21833,7311
E07000204,58400,17633,6262,11371,40767,32625,8142
E07000205,54351,16935,6667,10268,37416,28593,8823
E07000206,44953,16279,5674,10605,28674,23260,5414
E07000207,56375,17024,6755,10269,39351,30014,9337
E07000208,30223,9875,3760,6115,20348,16198,4150
E07000209,77684,21824,8884,12940,55860,44255,11605
E07000210,46437,12977,4953,8024,33460,26512,6948
E07000211,67831,18944,6662,12282,48887,39769,9118
E07000212,49802,11864,4380,7484,37938,29654,8284
E07000213,41012,10797,3911,6886,30215,23501,6714
E07000214,43918,12719,4782,7937,31199,24412,6787
E07000215,33114,10879,4316,6563,22235,17203,5032
E07000216,52153,17573,7031,10542,34580,26811,7769
E07000217,44230,12505,4842,7663,31725,25194,6531
E07000218,39558,9694,3012,6682,29864,23798,6066
E07000219,45300,14766,4437,10329,30534,25411,5123
E07000220,47452,12685,4347,8338,34767,27990,6777
E07000221,63398,18060,6679,11381,45338,35747,9591
E07000222,77726,21005,7310,13695,56721,47215,9506
E07000223,22179,7114,2429,4685,15065,12153,2912
E07000224,49092,17443,6298,11145,31649,25134,6515
E07000225,61226,20165,7663,12502,41061,32636,8425
E07000226,79370,18407,5401,13006,60963,51081,9882
E07000227,56174,18022,7258,10764,38152,29557,8595
E07000228,60745,19887,7550,12337,40858,32553,8305
E07000229,49415,16626,5566,11060,32789,27761,5028
E07000234,39055,12594,4414,8180,26461,21275,5186
E07000235,31181,10138,3666,6472,21043,16373,4670
E07000236,39031,10985,3565,7420,28046,23639,4407
E07000237,53214,17090,5486,11604,36124,30264,5860
E07000238,54092,15924,5705,10219,38168,30152,8016
E07000239,37393,12828,4134,8694,24565,19874,4691
E08000001,114946,36284,10355,25929,78662,67668,10994
E08000002,73437,23850,6938,16912,49587,41992,7595
E08000003,319745,82361,24927,57434,237384,205163,32221
E08000004,89047,26432,7349,19083,62615,53857,8758
E08000005,79184,22790,6005,16785,56394,48042,8352
E08000006,113752,28702,7831,20871,85050,72881,12169
E08000007,125903,38285,11859,26426,87618,74458,13160
E08000008,79528,23171,6466,16705,56357,48284,8073
E08000009,129951,36078,13133,22945,93873,79722,14151
E08000010,117725,36505,10582,25923,81220,69086,12134
E08000011,57202,15452,3708,11744,41750,36219,5531
E08000012,235801,71869,20730,51139,163932,143265,20667
E08000013,64928,19312,5655,13657,45616,38616,7000
E08000014,102777,36001,11039,24962,66776,56830,9946
E08000015,112249,38905,11353,27552,73344,62065,11279
E08000016,82962,26497,7290,19207,56465,46848,9617
E08000017,127557,40854,11464,29390,86703,72495,14208
E08000018,107716,32955,8881,24074,74761,62608,12153
E08000019,261340,84015,26653,57362,177325,152800,24525
E08000020,91882,26481,7567,18914,65401,56220,9181
E08000021,169652,48689,14870,33819,120963,106007,14956
E08000022,84221,25094,6756,18338,59127,51258,7869
E08000023,50317,16004,4168,11836,34313,29063,5250
E08000024,126089,36793,9585,27208,89296,78461,10835
E08000025,488095,141895,43122,98773,346200,294123,52077
E08000026,148246,43283,13748,29535,104963,90034,14929
E08000027,123197,40409,12622,27787,82788,69693,13095
E08000028,125467,33888,9639,24249,91579,77759,13820
E08000029,99967,29496,9899,19597,70471,59214,11257
E08000030,105000,31717,9375,22342,73283,61380,11903
E08000031,108004,32643,9712,22931,75361,64203,11158
E08000032,213515,68576,19414,49162,144939,123861,21078
E08000033,94704,28636,8377,20259,66068,55933,10135
E08000034,166882,54939,17317,37622,111943,93169,18774
E08000035,409815,113163,34980,78183,296652,250621,46031
E08000036,151142,44201,12452,31749,106941,90181,16760
E09000001,356706,26769,7714,19055,329937,218125,111812
E09000002,58444,16687,5369,11318,41757,33960,7797
E09000003,129112,44553,16103,28450,84559,67645,16914
E09000004,74670,24194,8282,15912,50476,40141,10335
E09000005,115221,33778,11022,22756,81443,66061,15382
E09000006,111405,38399,14114,24285,73006,58788,14218
E09000007,272367,48863,16387,32476,223504,178886,44618
E09000008,120398,38178,12985,25193,82220,67464,14756
E09000009,132461,36344,12107,24237,96117,78359,17758
E09000010,105493,34905,11488,23417,70588,57483,13105
E09000011,86199,27396,8891,18505,58803,47941,10862
E09000012,103604,28197,8346,19851,75407,59507,15900
E09000013,124530,27152,9743,17409,97378,77983,19395
E09000014,81001,28686,9451,19235,52315,42319,9996
E09000015,73804,24944,8822,16122,48860,39443,9417
E09000016,84726,28291,9828,18463,56435,45477,10958
E09000017,164963,39665,12698,26967,125298,102857,22441
E09000018,128880,28976,9771,19205,99904,80145,19759
E09000019,167159,33315,10698,22617,133844,106071,27773
E09000020,116546,27035,9378,17657,89511,70227,19284
E09000021,72450,23576,9211,14365,48874,39993,8881
E09000022,137664,32170,10052,22118,105494,85148,20346
E09000023,78895,26426,8731,17695,52469,42085,10384
E09000024,75223,21991,7477,14514,53232,42457,10775
E09000025,103887,32649,10664,21985,71238,59108,12130
E09000026,78894,28001,9387,18614,50893,41500,9393
E09000027,78387,23405,8911,14494,54982,42843,12139
E09000028,183496,36821,11553,25268,146675,117958,28717
E09000029,72286,22619,7886,14733,49667,39984,9683
E09000030,234726,36842,11345,25497,197884,140359,57525
E09000031,79221,26426,8455,17971,52795,43499,9296
E09000032,117924,32275,10715,21560,85649,67457,18192
E09000033,579739,86602,28126,58476,493137,377639,115498
W06000001,24405,7310,2338,4972,17095,13721,3374
W06000002,57626,18645,5871,12774,38981,31848,7133
W06000003,45201,15383,4564,10819,29818,24165,5653
W06000004,41357,13128,3715,9413,28229,23213,5016
W06000005,72020,18672,5990,12682,53348,45528,7820
W06000006,60837,18599,5497,13102,42238,35696,6542
W06000008,32426,10782,3895,6887,21644,16430,5214
W06000009,52951,17720,5468,12252,35231,26913,8318
W06000010,73870,22920,6784,16136,50950,40294,10656
W06000011,110469,36501,10691,25810,73968,64174,9794
W06000012,51434,15017,4284,10733,36417,31311,5106
W06000013,60466,17835,5141,12694,42631,36182,6449
W06000014,45574,14759,4696,10063,30815,24931,5884
W06000015,199702,56812,18315,38497,142890,123534,19356
W06000016,82073,25396,7263,18133,56677,48419,8258
W06000018,58647,16951,5000,11951,41696,35563,6133
W06000019,22021,6773,1933,4840,15248,13208,2040
W06000020,38863,11299,3299,8000,27564,23909,3655
W06000021,38064,12288,4229,8059,25776,20328,5448
W06000022,73360,21193,5789,15404,52167,44791,7376
W06000023,60142,18583,6073,12510,41559,30372,11187
W06000024,24856,7567,2044,5523,17289,15227,2062
E02000001,356706,26769,7714,19055,329937,218125,111812
E02000002,1130,433,112,321,697,559,138
E02000003,3620,1097,366,731,2523,1993,530
E02000004,1508,479,175,304,1029,869,160
E02000005,1545,562,185,377,983,755,228
E02000007,3664,1190,423,767,2474,2199,275
E02000008,2356,739,268,471,1617,1330,287
E02000009,1168,468,179,289,700,560,140
E02000010,1504,466,164,302,1038,875,163
E02000011,2785,691,248,443,2094,1693,401
E02000012,1900,634,228,406,1266,1073,193
E02000013,1289,490,142,348,799,640,159
E02000014,1836,749,235,514,1087,876,211
E02000015,1333,474,140,334,859,733,126
E02000016,7136,2031,591,1440,5105,4477,628
E02000017,1704,601,182,419,1103,910,193
E02000018,1206,365,103,262,841,671,170
E02000019,4262,1034,319,715,3228,2526,702
E02000020,4988,1245,318,927,3743,2860,883
E02000021,6053,773,258,515,5280,4220,1060
E02000022,2425,725,246,479,1700,1421,279
E02000023,2634,605,198,407,2029,1541,488
E02000024,5670,2136,842,1294,3534,2740,794
E02000025,1870,714,239,475,1156,862,294
E02000026,1104,414,165,249,690,521,169
E02000027,4111,1291,375,916,2820,2358,462
E02000028,2254,585,194,391,1669,1356,313
E02000029,2668,913,325,588,1755,1335,420
E02000030,2495,867,369,498,1628,1217,411
E02000031,3976,1279,489,790,2697,2179,518
E02000032,1432,530,208,322,902,667,235
E02000033,3970,1045,315,730,2925,2510,415
E02000034,2040,778,294,484,1262,952,310
E02000035,2504,914,322,592,1590,1245,345
E02000036,2026,801,300,501,1225,931,294
E02000037,2010,864,351,513,1146,864,282
E02000038,2799,976,341,635,1823,1414,409
E02000039,2855,1000,368,632,1855,1474,381
E02000040,4021,1052,407,645,2969,2402,567
E02000041,4515,1646,513,1133,2869,2321,548
E02000042,4995,1883,742,1141,3112,2505,607
E02000043,1202,430,196,234,772,600,172
E02000044,1683,584,198,386,1099,826,273
E02000045,2481,846,296,550,1635,1265,370
E02000046,3090,1052,332,720,2038,1653,385
E02000047,3399,1188,339,849,2211,1856,355
E02000048,2281,953,379,574,1328,983,345
E02000049,2586,915,292,623,1671,1349,322
E02000050,3095,1023,348,675,2072,1671,401
E02000051,4881,1570,525,1045,3311,2645,666
E02000052,3361,981,361,620,2380,1722,658
E02000053,6353,1133,325,808,5220,4447,773
E02000054,2394,881,396,485,1513,1201,312
E02000055,5792,1910,672,1238,3882,3087,795
E02000056,2679,1032,430,602,1647,1258,389
E02000057,2107,914,336,578,1193,942,251
E02000058,3616,1381,553,828,2235,1736,499
E02000059,3873,1167,389,778,2706,2195,511
E02000060,2819,1179,373,806,1640,1326,314
E02000061,3668,1333,469,864,2335,1914,421
E02000062,7652,3371,1405,1966,4281,3761,520
E02000063,1338,479,163,316,859,690,169
E02000064,1447,543,167,376,904,665,239
E02000065,2874,648,186,462,2226,1833,393
E02000066,1626,438,123,315,1188,959,229
E02000067,3267,885,259,626,2382,1882,500
E02000068,4939,1341,378,963,3598,2742,856
E02000069,1292,419,136,283,873,690,183
E02000070,1027,351,155,196,676,508,168
E02000071,2018,704,240,464,1314,918,396
E02000072,3509,760,260,500,2749,2186,563
E02000073,1520,592,213,379,928,701,227
E02000074,1554,406,122,284,1148,881,267
E02000075,1366,472,171,301,894,695,199
E02000077,1408,480,150,330,928,685,243
E02000078,1137,427,162,265,710,528,182
E02000079,8226,3282,1139,2143,4944,4297,647
E02000080,3239,1349,463,886,1890,1465,425
E02000081,2584,675,223,452,1909,1503,406
E02000082,2001,657,235,422,1344,1065,279
E02000083,5895,1870,688,1182,4025,3155,870
E02000084,2139,769,292,477,1370,1043,327
E02000085,1760,614,201,413,1146,884,262
E02000086,1472,574,252,322,898,667,231
E02000087,2112,754,292,462,1358,1031,327
E02000088,1175,390,162,228,785,599,186
E02000089,1204,463,175,288,741,577,164
E02000090,6096,2247,777,1470,3849,3195,654
E02000091,3887,1286,384,902,2601,2181,420
E02000092,4545,1072,336,736,3473,2874,599
E02000093,3553,1296,425,871,2257,1868,389
E02000094,3622,1190,396,794,2432,1950,482
E02000095,2888,1014,333,681,1874,1455,419
E02000096,1926,751,284,467,1175,884,291
E02000097,2024,620,203,417,1404,1084,320
E02000098,1861,697,231,466,1164,907,257
E02000099,2772,990,284,706,1782,1415,367
E02000100,6410,1585,468,1117,4825,4117,708
E02000101,3090,1178,335,843,1912,1640,272
E02000102,1708,524,175,349,1184,930,254
E02000103,4955,1102,356,746,3853,3151,702
E02000104,1811,557,216,341,1254,1027,227
E02000105,2006,788,262,526,1218,947,271
E02000106,3903,1099,340,759,2804,2302,502
E02000107,2721,932,347,585,1789,1378,411
E02000108,823,299,113,186,524,406,118
E02000109,8614,1970,743,1227,6644,5363,1281
E02000110,1356,500,169,331,856,667,189
E02000111,3337,1025,330,695,2312,1961,351
E02000112,5163,1523,500,1023,3640,3158,482
E02000113,3579,1070,322,748,2509,2141,368
E02000114,2261,826,270,556,1435,1120,315
E02000115,1414,547,200,347,867,650,217
E02000116,3123,955,313,642,2168,1796,372
E02000117,2801,899,250,649,1902,1600,302
E02000118,3321,822,279,543,2499,2060,439
E02000119,11908,1766,478,1288,10142,8243,1899
E02000120,2756,1009,349,660,1747,1364,383
E02000121,5186,1378,459,919,3808,3087,721
E02000122,1987,701,251,450,1286,987,299
E02000123,4155,1551,458,1093,2604,2093,511
E02000124,4590,1234,414,820,3356,2591,765
E02000125,1928,702,256,446,1226,914,312
E02000126,1669,678,213,465,991,805,186
E02000127,1415,517,175,342,898,670,228
E02000128,1913,767,267,500,1146,877,269
E02000130,3516,1041,344,697,2475,1898,577
E02000131,2056,721,215,506,1335,1082,253
E02000132,4125,1440,519,921,2685,2264,421
E02000133,2512,978,363,615,1534,1101,433
E02000134,6331,2075,707,1368,4256,3590,666
E02000135,2342,770,259,511,1572,1226,346
E02000136,1795,645,228,417,1150,890,260
E02000137,1372,478,182,296,894,705,189
E02000138,2203,811,344,467,1392,1108,284
E02000139,1983,674,221,453,1309,1040,269
E02000140,3070,778,248,530,2292,1788,504
E02000141,1472,418,125,293,1054,845,209
E02000142,4012,1501,610,891,2511,2092,419
E02000144,14700,4598,1616,2982,10102,8769,1333
E02000145,3359,1240,527,713,2119,1742,377
E02000146,3044,936,289,647,2108,1688,420
E02000147,1250,559,260,299,691,506,185
E02000148,2010,788,323,465,1222,922,300
E02000149,3243,724,251,473,2519,2060,459
E02000150,3044,816,276,540,2228,1864,364
E02000151,1177,561,272,289,616,449,167
E02000152,1831,696,230,466,1135,926,209
E02000153,1181,472,195,277,709,505,204
E02000154,5507,1993,768,1225,3514,2943,571
E02000155,1112,406,163,243,706,534,172
E02000156,3703,1626,626,1000,2077,1657,420
E02000157,1459,548,246,302,911,685,226
E02000158,1093,398,148,250,695,527,168
E02000159,3078,1113,428,685,1965,1507,458
E02000160,2798,1045,419,626,1753,1323,430
E02000161,1477,574,203,371,903,690,213
E02000162,4595,1521,431,1090,3074,2515,559
E02000163,2866,1082,459,623,1784,1403,381
E02000165,1541,473,172,301,1068,790,278
E02000166,3101,967,334,633,2134,1626,508
E02000167,3845,1258,498,760,2587,1916,671
E02000168,5494,1299,468,831,4195,3086,1109
E02000169,2121,771,345,426,1350,956,394
E02000170,2264,772,308,464,1492,1095,397
E02000171,2314,701,231,470,1613,1234,379
E02000172,4975,1279,397,882,3696,3022,674
E02000173,10765,2197,646,1551,8568,7060,1508
E02000174,3056,799,246,553,2257,1760,497
E02000175,3949,1123,357,766,2826,2213,613
E02000176,2045,715,293,422,1330,958,372
E02000177,2355,702,241,461,1653,1292,361
E02000178,2190,714,250,464,1476,1085,391
E02000179,1483,544,218,326,939,708,231
E02000180,2218,774,249,525,1444,1116,328
E02000181,1281,445,154,291,836,599,237
E02000182,3585,1042,449,593,2543,2131,412
E02000183,7108,1530,489,1041,5578,4386,1192
E02000184,9940,1773,540,1233,8167,6703,1464
E02000185,2541,924,322,602,1617,1298,319
E02000186,24140,3279,927,2352,20861,16643,4218
E02000187,7794,1487,531,956,6307,5411,896
E02000188,7915,1245,425,820,6670,5750,920
E02000189,5189,1266,384,882,3923,3307,616
E02000190,10143,2099,771,1328,8044,6931,1113
E02000191,40890,5649,1991,3658,35241,28190,7051
E02000192,30890,4117,1162,2955,26773,21563,5210
E02000193,68776,9392,3161,6231,59384,46847,12537
E02000194,2849,1005,329,676,1844,1416,428
E02000195,1668,597,222,375,1071,803,268
E02000196,1815,595,205,390,1220,985,235
E02000197,1821,714,210,504,1107,893,214
E02000198,1685,628,188,440,1057,858,199
E02000199,1228,457,148,309,771,628,143
E02000200,2227,645,216,429,1582,1247,335
E02000201,1952,664,207,457,1288,997,291
E02000202,1368,546,156,390,822,655,167
E02000203,2770,1001,357,644,1769,1512,257
E02000204,1843,652,192,460,1191,967,224
E02000206,3798,1078,366,712,2720,2242,478
E02000207,1915,681,201,480,1234,963,271
E02000208,4799,1345,306,1039,3454,2975,479
