GeographyCode,WP206WA0001,WP206WA0002,WP206WA0003,WP206WA0004,WP206WA0005,WP206WA0006,WP206WA0007,WP206WA0008
W02000056,1810,636,1024,924,851,751,954,40
W02000057,2922,1585,1089,863,810,690,916,133
W02000058,1329,873,358,236,219,180,260,65
W02000059,1758,1226,367,253,260,206,300,115
W02000060,4203,3016,741,504,514,382,603,328
W02000061,4968,3670,681,453,463,376,535,531
W02000062,1086,852,160,102,110,75,131,37
W02000063,2205,1483,568,377,371,292,436,86
W02000064,2890,1834,312,221,235,176,274,679
W02000065,2159,1544,240,166,180,145,203,334
W02000066,11716,6325,896,593,611,432,735,4320
W02000067,781,631,99,76,76,58,90,28
W02000068,5227,3314,395,269,267,211,326,1441
W02000069,2295,1647,368,254,243,191,296,222
W02000070,4335,2613,457,306,322,232,368,1195
W02000071,1141,868,203,139,142,112,168,36
W02000072,11250,6202,897,597,627,473,734,4002
W02000073,8129,5451,1811,1308,1289,1051,1492,656
W02000074,2714,1982,328,190,215,149,252,346
W02000075,991,732,129,81,91,59,106,111
W02000076,1360,984,309,229,207,179,247,29
W02000077,1483,1067,263,163,171,124,201,111
W02000080,1747,1362,213,121,132,97,155,139
W02000081,1152,895,165,115,119,85,144,55
W02000082,1134,907,163,94,94,69,115,42
W02000083,1339,962,274,177,191,148,222,48
W02000084,903,676,151,88,102,80,117,54
W02000085,8841,5996,1421,933,1010,759,1145,1202
W02000086,1697,1297,265,211,211,164,249,79
W02000087,882,627,208,168,161,145,177,30
W02000088,10068,7016,1663,1084,1118,843,1316,1103
W02000089,4100,2947,574,363,387,302,439,497
W02000090,1127,812,222,147,146,112,170,63
W02000091,1821,1251,334,181,191,141,226,198
W02000092,2191,1456,501,303,323,239,382,165
W02000093,2343,1761,329,175,201,139,229,204
W02000094,1478,1076,298,158,180,132,203,69
W02000095,2356,1672,227,131,147,106,164,427
W02000096,2760,1690,469,318,302,245,354,542
W02000097,3401,1666,1249,1009,991,856,1099,309
W02000098,1523,1123,221,123,122,95,146,155
W02000099,5790,3981,897,583,598,469,697,775
W02000100,2529,930,1406,1271,1213,1087,1335,25
W02000101,1881,1408,254,163,172,136,207,173
W02000102,2108,1238,754,562,556,479,619,40
W02000103,1736,1382,203,121,118,89,141,124
W02000104,5183,3710,1036,689,725,560,825,286
W02000105,2832,2089,522,330,320,250,388,140
W02000106,2544,1794,631,394,403,303,481,29
W02000107,4016,3154,237,166,177,128,211,567
W02000108,2241,1865,290,188,213,154,241,23
W02000109,3981,3072,686,458,486,383,566,117
W02000110,2840,2208,498,328,347,270,396,48
W02000111,4368,3390,440,294,348,252,387,437
W02000113,5409,4200,896,564,628,454,726,162
W02000114,2459,2071,246,147,196,135,213,70
W02000116,2000,767,1116,956,911,793,1006,22
W02000117,6856,3046,3471,2829,2761,2397,3027,65
W02000118,3956,1613,2116,1753,1688,1474,1863,26
W02000120,2871,887,1792,1626,1533,1377,1675,7
W02000122,2039,785,1117,1006,964,858,1045,21
W02000123,3777,1235,2290,2136,2040,1866,2201,10
W02000124,4194,1417,2521,2167,1968,1741,2249,14
W02000125,2564,859,1575,1430,1352,1250,1464,8
W02000126,2971,977,1781,1646,1537,1364,1711,22
W02000127,3405,1652,1542,1165,1083,883,1281,29
W02000128,3431,1959,1154,806,734,568,887,193
W02000129,2579,1624,843,654,608,514,703,10
W02000130,8087,5999,1836,1279,1235,978,1465,41
W02000131,3457,2651,714,505,464,358,575,10
W02000132,3280,2335,832,599,577,448,669,28
W02000133,2688,2195,398,264,265,196,313,23
W02000134,2320,1939,309,189,183,144,229,26
W02000135,2464,2104,311,195,184,141,223,9
W02000136,2344,1895,339,240,237,187,281,41
W02000137,1655,1431,175,123,113,89,141,23
W02000138,5063,4217,636,397,401,293,475,110
W02000139,1839,1549,229,168,159,128,193,20
W02000140,4163,3453,478,306,330,238,377,156
W02000141,3205,2686,437,291,280,221,333,21
W02000142,2116,811,1178,1100,1013,923,1123,6
W02000143,2343,957,1215,1032,998,852,1103,27
W02000144,2854,1010,1656,1508,1389,1271,1552,9
W02000145,2911,1022,1727,1486,1370,1176,1547,15
W02000146,2017,723,1178,1046,968,868,1085,1
W02000147,3627,1387,2013,1664,1576,1381,1761,33
W02000148,3613,1499,1883,1502,1372,1165,1595,17
W02000149,9393,3850,4980,4010,3718,3172,4252,21
W02000151,1307,403,805,729,648,547,759,1
W02000152,2408,982,1302,1043,880,736,1089,7
W02000153,1775,597,1045,908,826,711,950,16
W02000154,3350,1098,2033,1651,1485,1268,1759,11
W02000156,4205,1866,2078,1792,1627,1406,1866,43
W02000157,1857,593,1129,1065,969,864,1093,9
W02000158,1031,486,473,383,333,286,409,4
W02000159,1196,488,635,493,443,374,524,4
W02000160,1159,603,500,360,342,291,392,3
W02000161,4488,2634,1640,1094,1001,808,1199,36
W02000162,1565,804,681,440,415,340,493,17
W02000163,1522,791,669,505,473,421,538,1
W02000164,5300,2683,2345,1614,1560,1287,1774,16
W02000165,4211,2528,1512,1009,988,793,1160,4
W02000166,2622,1474,1056,695,637,534,765,2
W02000167,2531,1564,845,529,498,395,602,17
W02000168,1472,909,506,335,311,259,367,9
W02000169,2352,1608,652,450,437,344,509,7
W02000170,5088,3839,1081,693,718,550,826,20
W02000171,2937,2288,567,358,358,280,415,11
W02000172,3415,2657,641,366,379,276,450,30
W02000173,1427,1132,259,160,174,133,199,1
W02000174,1637,1237,353,208,230,176,265,1
W02000175,3344,2685,564,363,385,291,439,12
W02000176,5396,4062,1145,762,763,593,887,38
W02000177,10992,8633,1810,1184,1214,935,1409,278
W02000178,1471,1151,264,219,224,185,248,3
W02000179,1577,1186,350,233,246,197,270,0
W02000180,3804,3212,507,308,327,246,377,15
W02000181,7053,5682,1111,738,747,558,883,71
W02000182,2092,1757,282,174,182,130,219,9
W02000183,3540,2945,494,301,320,233,361,28
W02000184,3380,2666,474,295,304,212,359,158
W02000185,986,811,146,81,83,56,107,1
W02000186,924,799,102,55,66,47,75,1
W02000187,753,646,92,55,57,39,63,2
W02000188,4214,3365,676,453,509,398,547,66
W02000189,2798,2287,446,275,285,214,332,5
W02000190,910,761,126,71,80,57,94,4
W02000191,2858,2276,459,275,282,220,335,64
W02000192,19645,15969,2974,1955,2158,1610,2430,218
W02000193,3341,2549,482,338,355,256,408,222
W02000194,6769,5427,1132,723,798,600,876,70
W02000195,1165,951,171,107,114,77,137,10
W02000196,1002,847,135,86,90,67,105,7
W02000197,1959,1619,271,158,167,127,193,29
W02000198,2168,1835,268,153,158,120,191,27
W02000200,1065,745,283,183,177,128,212,5
W02000201,1286,907,321,231,240,186,275,4
W02000202,3263,2025,1093,754,713,568,843,20
W02000203,1701,1378,263,172,182,142,213,15
W02000204,980,767,184,113,128,92,140,1
W02000205,3131,2457,566,363,394,278,455,10
W02000206,5286,4223,895,584,622,466,723,19
W02000207,672,560,87,53,61,41,74,2
W02000208,4864,3940,761,517,522,405,615,47
W02000209,838,679,122,84,103,69,116,0
W02000210,832,688,127,62,66,46,80,1
W02000211,3534,2878,548,359,404,301,460,9
W02000212,1363,1117,213,127,125,94,154,0
W02000213,2163,1767,307,191,227,156,266,22
W02000214,2487,2127,299,178,202,146,226,5
W02000215,5528,4535,802,531,596,429,687,15
W02000216,2543,2148,327,193,219,160,250,7
W02000217,8304,7057,997,611,666,462,773,85
W02000218,985,829,133,82,107,74,117,1
W02000219,2153,1786,287,184,239,168,261,4
W02000220,1337,1173,122,85,104,65,122,5
W02000221,1538,1289,191,119,152,101,166,17
W02000222,1016,788,185,140,169,127,184,0
W02000223,1743,1477,203,149,180,121,206,4
W02000224,3000,2569,333,229,280,211,303,14
W02000225,3202,2756,361,234,273,195,300,20
W02000226,4329,3602,554,373,442,324,483,59
W02000227,1083,918,138,97,108,86,121,3
W02000228,5374,4595,616,391,467,317,524,42
W02000229,744,630,88,55,71,46,76,1
W02000230,4118,3491,510,345,394,292,445,12
W02000231,10137,8603,1173,761,980,662,1070,40
W02000232,13041,11105,1466,931,1051,751,1173,207
W02000233,746,649,77,43,58,37,66,0
W02000234,1529,1253,213,135,173,121,188,7
W02000235,2935,2506,338,213,276,192,304,11
W02000236,1456,1246,166,100,122,88,139,12
W02000237,1898,1609,228,154,182,125,200,16
W02000238,2525,2070,366,266,290,228,330,26
W02000239,5120,4266,678,490,530,423,586,74
W02000240,4664,4019,526,374,404,312,458,27
W02000241,4664,4012,465,321,365,271,412,86
W02000242,1751,1523,192,130,146,113,158,6
W02000243,1520,1303,187,128,147,114,161,4
W02000244,1699,1498,156,119,125,101,141,14
W02000245,2754,2451,232,158,181,130,201,24
W02000246,1384,1139,215,165,176,142,191,0
W02000247,2061,1759,250,161,173,137,197,8
W02000248,4496,3856,518,381,418,322,462,34
W02000249,2043,1769,231,162,175,131,193,9
W02000250,5648,4703,458,299,332,261,370,403
W02000251,3347,2797,429,319,337,267,371,55
W02000252,2396,1891,403,286,328,254,357,22
W02000253,3053,2564,351,218,271,194,301,46
W02000254,2003,1608,309,207,257,181,292,4
W02000255,1948,1674,214,130,160,114,179,1
W02000256,2104,1826,218,138,167,108,188,9
W02000257,2001,1708,230,146,181,124,201,10
W02000258,905,734,120,78,105,70,114,12
W02000259,715,626,71,43,55,42,63,0
W02000260,1244,1035,170,118,144,107,155,10
W02000261,2409,1988,333,243,284,205,312,7
W02000262,993,832,127,85,104,72,114,5
W02000263,2472,2020,372,267,294,223,322,25
W02000264,785,676,84,60,73,54,81,1
W02000265,2713,2266,367,252,299,228,327,6
W02000266,911,756,132,104,113,87,126,0
W02000267,2097,1823,228,151,167,135,195,3
W02000268,2208,1834,316,228,254,209,279,4
W02000269,1731,1490,198,131,171,123,183,2
W02000270,1722,1392,277,199,229,186,244,5
W02000271,1868,1526,285,217,237,192,261,8
W02000272,5512,4501,822,589,685,536,735,28
W02000273,4172,3345,662,491,526,411,587,41
W02000274,2949,2533,326,244,282,215,311,5
W02000275,1020,854,135,113,118,91,134,0
W02000276,2678,2173,387,315,345,276,379,53
W02000277,8416,7057,1043,721,831,627,909,141
W02000278,2018,1629,325,267,283,225,311,7
W02000279,1383,1141,202,151,171,133,185,4
W02000280,3297,2613,445,319,351,280,390,161
W02000281,10454,8663,1456,1020,1162,888,1269,87
W02000282,3896,3231,546,431,459,383,502,28
W02000284,4554,4112,334,216,246,186,283,21
W02000285,2322,1962,299,228,252,202,281,5
W02000286,7935,6696,1009,659,785,584,866,23
W02000287,2594,2246,277,193,204,172,228,30
W02000288,2543,2186,258,207,232,175,258,37
W02000289,1173,991,148,115,126,89,141,4
W02000290,2331,2005,255,175,193,147,216,24
W02000291,1095,977,94,68,66,56,80,9
W02000292,1139,987,137,101,110,93,118,0
W02000293,1531,1342,159,110,124,89,137,2
W02000294,1020,909,76,55,66,52,72,19
W02000295,4549,3973,306,240,245,195,275,212
W02000296,1487,1217,220,211,213,187,230,16
W02000297,2334,2063,220,162,183,144,197,13
W02000298,3394,2956,327,255,269,217,302,43
W02000299,1501,1345,125,83,89,67,101,5
W02000300,3499,3092,304,237,253,196,284,35
W02000301,3209,2872,257,175,195,133,222,27
W02000302,5317,4456,675,521,596,464,648,53
W02000303,2417,2177,183,136,144,118,158,29
W02000304,1685,1530,101,79,78,61,91,26
W02000305,678,611,50,41,38,31,46,4
W02000306,2119,1908,157,126,131,102,145,21
W02000307,864,664,173,143,145,115,167,0
W02000308,1245,1076,142,105,120,92,127,1
W02000309,4143,3558,459,349,366,293,409,54
W02000310,2045,1659,252,194,201,160,226,94
W02000311,3765,3210,436,329,357,286,392,38
W02000312,1734,1419,249,173,196,153,215,26
W02000313,5546,4581,698,487,541,414,597,142
W02000314,2609,2405,143,107,108,85,128,22
W02000315,1802,1636,137,83,82,64,101,13
W02000316,2543,2337,141,109,105,86,128,29
W02000317,3698,3184,259,224,229,183,268,178
W02000318,2364,2116,177,133,128,103,161,18
W02000319,2173,1939,177,129,136,112,161,12
W02000320,3348,3043,188,143,162,114,187,56
W02000321,2576,2353,169,114,119,95,139,21
W02000322,908,837,60,36,36,30,42,1
W02000323,1734,1601,88,75,67,57,90,17
W02000324,998,874,110,78,86,75,91,2
W02000325,1141,967,151,136,143,127,152,3
W02000326,4769,4241,377,310,300,250,359,53
W02000327,2551,2259,174,131,125,103,152,77
W02000328,3049,2851,136,102,110,82,127,30
W02000329,2392,2195,127,103,96,80,118,38
W02000330,3689,3253,307,236,240,193,281,66
W02000331,678,611,52,48,44,31,53,3
W02000332,8169,7297,596,501,533,428,615,97
W02000333,960,859,79,62,58,45,71,7
W02000334,708,647,50,37,31,22,40,2
W02000335,8025,7212,511,378,398,311,459,201
W02000336,7378,6512,563,386,420,323,491,193
W02000337,1294,1119,136,103,108,88,123,17
W02000338,2050,1852,148,99,107,81,126,28
W02000339,5006,3708,246,179,199,139,230,989
W02000340,3038,2625,214,149,142,112,179,158
W02000341,4272,3792,254,210,228,181,262,156
W02000342,2644,2188,148,104,107,91,121,283
W02000343,5163,3886,253,196,199,153,237,959
W02000344,2718,2223,151,133,124,97,152,303
W02000345,2467,2083,169,134,134,109,153,177
W02000346,2034,1800,124,85,89,71,106,77
W02000347,3799,3329,312,249,262,210,301,83
W02000348,1560,1429,95,77,83,62,98,11
W02000349,996,904,75,55,59,49,66,4
W02000350,5685,5137,267,197,203,159,248,210
W02000351,570,514,43,32,29,23,41,1
W02000352,2617,2371,138,99,99,83,123,64
W02000353,1960,1753,139,94,98,70,118,36
W02000354,708,650,32,31,41,32,43,6
W02000355,2350,2077,149,109,115,100,131,92
W02000356,1131,953,117,102,103,94,113,44
W02000357,2217,2054,102,86,86,68,106,20
W02000358,2866,2553,225,173,177,139,214,35
W02000359,2255,2067,110,83,96,70,112,39
W02000360,12492,11292,801,632,663,510,772,179
W02000361,8478,7758,420,323,315,252,390,188
W02000362,1239,1097,112,75,74,56,86,14
W02000363,1282,1170,86,57,65,46,76,5
W02000364,6505,5904,344,264,275,212,332,156
W02000365,2410,2197,142,124,122,94,144,29
W02000366,12240,10502,834,629,688,528,759,742
W02000367,1309,1126,155,113,120,92,139,5
W02000368,881,772,84,63,72,58,83,4
W02000369,6637,5703,616,443,509,377,570,185
W02000370,960,811,125,96,105,82,113,1
W02000371,7919,6614,1044,794,893,683,963,78
W02000372,2541,2062,404,291,315,248,342,29
W02000373,2024,1717,188,142,156,117,176,71
W02000374,950,821,98,67,73,56,87,9
W02000375,2140,1853,208,168,180,146,198,33
W02000376,4621,3954,528,377,414,318,459,55
W02000377,6070,5158,512,354,385,302,431,307
W02000378,1253,1059,156,105,124,91,137,6
W02000379,554,492,45,31,41,27,44,4
W02000380,1715,1283,371,296,312,264,332,15
W02000381,907,770,110,85,83,73,95,20
W02000382,1309,1126,143,89,115,83,125,8
W02000383,909,778,114,79,78,61,92,2
W02000384,12402,10668,1325,919,1026,776,1147,170
W02000385,1517,1229,241,169,176,142,194,18
W02000386,2656,2180,411,312,349,277,372,12
W02000387,2428,2099,267,172,205,150,226,17
W02000388,3019,2724,211,149,168,125,193,38
W02000389,1571,1235,284,228,239,204,255,18
W02000390,1092,938,125,90,105,72,114,1
W02000391,4700,4044,505,362,411,318,445,61
W02000392,6276,4668,1347,1094,1141,974,1216,130
W02000393,828,698,111,96,92,79,108,2
W02000394,2779,2396,286,206,228,166,260,33
W02000395,3623,3163,355,255,279,222,304,50
W02000396,2284,1947,234,173,179,150,199,72
W02000397,1793,1482,274,226,240,201,251,4
W02000398,37020,29945,5284,4118,4541,3640,4940,914
W02000399,5338,4522,597,436,484,363,536,103
W02000400,5475,4296,972,744,782,624,860,88
W02000401,966,777,156,122,135,110,147,5
W02000402,7214,6101,852,625,689,519,764,107
W02000403,2694,2391,213,138,149,117,171,58
W02000404,5856,4978,622,468,476,380,545,153
W02000405,604,540,48,42,46,38,52,1
W02000406,5966,5008,736,598,639,523,704,79
W02000407,2013,1712,236,164,175,120,200,18
W02000408,2267,1913,265,184,203,157,225,50
W02000409,1049,895,125,94,100,74,114,0
W02000410,1248,1119,102,74,80,66,91,10
W02000411,1070,925,119,88,89,70,101,6
W02000412,5268,4632,499,360,390,292,439,61
W02000414,2236,1651,487,300,304,219,370,17
W02000415,3735,3193,423,253,323,231,356,28
W02000416,3065,1540,1380,917,765,606,1003,19
W02000417,1594,659,831,713,626,541,742,8
W02000418,4469,2047,2134,1681,1575,1322,1806,35
W02000419,1654,1179,401,276,277,226,316,16
W02000420,14898,10972,1527,892,955,692,1130,2163
W02000421,4169,1516,2393,2175,2043,1832,2234,17
W02000422,13519,11269,1679,1268,1376,1089,1517,274
W02000423,12468,10281,1566,1132,1225,957,1355,385
W35000001,298,99,176,144,128,109,153,5
W35000002,301,136,149,120,112,103,123,5
W35000003,363,88,254,239,230,209,243,4
W35000004,867,161,633,604,555,506,614,12
W35000005,266,32,213,204,191,177,208,0
W35000006,1179,113,1000,950,901,842,959,4
W35000007,749,216,455,301,255,208,322,52
W35000008,301,41,241,211,200,180,216,0
W35000009,286,94,169,149,142,122,155,12
W35000010,724,166,496,428,378,338,440,12
W35000011,198,71,111,100,93,86,105,0
W35000012,300,85,195,172,168,149,180,4
W35000013,326,122,183,136,126,114,144,3
W35000014,294,96,184,151,150,137,158,1
W35000015,294,94,181,150,137,123,156,4
W35000016,1022,300,656,546,516,459,576,14
W35000017,374,71,284,268,258,241,277,0
W35000018,266,62,183,161,145,131,163,3
W35000019,308,75,214,203,199,179,207,1
W35000020,241,29,194,186,173,163,191,0
W35000021,273,113,143,124,116,101,126,6
W35000022,856,355,468,390,367,328,402,9
W35000023,449,40,380,381,363,347,384,3
W35000024,215,45,164,156,152,146,157,1
W35000025,578,31,505,517,509,483,522,4
W35000026,385,52,294,276,266,242,284,20
W35000027,926,161,696,687,645,596,698,7
W35000028,3155,787,2145,1856,1720,1530,1912,42
W35000029,430,123,289,237,220,195,246,3
W35000030,364,123,220,192,184,159,201,6
W35000031,410,107,259,240,221,187,250,7
W35000032,210,44,150,141,132,124,143,2
W35000033,515,88,388,387,361,347,389,2
W35000034,284,48,217,208,202,194,211,7
W35000035,331,120,193,184,181,171,191,1
W35000036,230,34,182,182,175,169,182,0
W35000037,283,41,222,215,203,193,217,3
W35000038,256,19,217,214,205,191,217,0
W35000039,361,49,296,285,273,265,288,0
W35000040,1249,75,1088,1100,1075,1021,1113,0
W35000041,326,39,254,262,249,239,264,3
W35000042,313,167,128,103,97,85,115,5
W35000043,745,333,376,272,258,213,296,4
W35000044,213,132,70,53,48,35,59,2
W35000045,598,421,149,90,96,80,103,12
W35000046,1005,448,491,374,309,259,386,19
W35000047,313,182,117,86,76,63,90,4
W35000048,427,313,103,60,53,41,68,3
W35000049,242,133,92,68,68,53,75,0
W35000050,392,252,114,67,78,58,86,9
W35000051,240,166,65,35,35,21,44,3
W35000052,636,449,139,84,84,62,94,32
W35000053,280,193,75,51,55,42,61,3
W35000054,759,469,220,150,148,117,171,43
W35000055,224,118,90,66,68,49,78,3
W35000056,233,156,65,29,38,33,41,2
W35000057,300,175,110,72,67,53,76,6
W35000058,225,169,48,24,24,21,29,1
W35000059,259,189,62,44,44,36,50,2
W35000060,211,151,49,34,35,31,40,4
W35000061,793,351,402,321,308,272,333,16
W35000062,526,308,180,117,116,92,129,24
W35000063,277,161,105,74,68,55,82,1
W35000064,386,237,131,95,92,79,104,9
W35000065,454,304,134,87,93,74,105,6
W35000066,552,327,187,122,127,91,148,14
W35000067,304,178,112,86,81,73,94,0
W35000068,359,226,124,75,75,57,83,0
W35000069,425,254,147,92,95,76,108,5
W35000070,236,134,96,60,56,45,64,2
W35000071,598,360,206,141,135,109,165,5
W35000072,877,553,298,194,189,162,210,8
W35000073,345,259,74,47,47,33,53,8
W35000074,365,195,142,109,103,83,118,12
W35000075,616,363,153,102,97,80,112,84
W35000076,706,339,306,259,225,192,274,22
W35000077,273,194,66,32,36,29,38,8
W35000078,669,463,131,88,92,70,104,52
W35000079,227,105,113,74,72,66,81,2
W35000080,770,403,325,240,226,190,264,12
W35000081,344,230,66,43,41,33,49,41
W35000082,501,382,94,62,57,52,70,10
W35000083,647,428,190,118,119,89,138,13
W35000084,645,494,119,86,85,64,103,6
W35000085,200,166,29,14,16,10,18,2
W35000086,243,189,40,29,28,23,32,3
W35000087,207,164,35,21,21,20,25,4
W35000088,256,175,70,48,49,38,54,5
W35000089,300,233,43,35,42,35,44,13
W35000090,272,197,65,42,43,34,48,4
W35000091,481,369,89,63,60,46,71,7
W35000092,302,213,79,58,56,49,63,1
W35000093,688,308,332,259,240,208,276,19
W35000094,624,288,291,217,222,186,242,12
W35000095,449,198,220,177,154,137,185,10
W35000096,715,322,322,252,238,210,267,47
W35000097,450,213,25,22,18,17,23,207
W35000098,514,240,37,24,29,20,30,231
W35000099,4609,2378,380,235,253,177,296,1790
W35000100,284,165,13,9,11,6,15,97
W35000101,1056,554,83,55,53,42,62,409
W35000102,594,319,28,16,20,14,21,244
W35000103,321,195,31,20,19,17,22,94
W35000104,1022,661,125,84,101,87,110,216
W35000105,1201,708,88,56,62,43,69,390
W35000106,1018,628,135,105,108,84,130,225
W35000107,801,474,59,35,44,32,46,259
W35000108,1359,518,98,63,70,49,78,726
W35000109,345,261,44,29,32,21,34,35
W35000110,266,192,39,29,28,22,32,30
W35000111,575,428,64,46,46,28,57,69
W35000112,585,416,105,67,71,50,81,47
W35000113,867,551,180,120,111,95,135,117
W35000114,252,189,47,27,28,21,35,10
W35000115,766,571,129,82,93,73,104,49
W35000116,2002,1314,473,341,329,258,386,165
W35000117,227,148,50,34,32,27,36,26
W35000118,737,521,153,109,107,87,125,46
W35000119,420,258,21,20,21,16,24,132
W35000120,1239,853,51,34,26,22,37,331
W35000121,297,157,24,14,15,11,17,112
W35000122,248,183,22,11,14,10,15,38
W35000123,470,266,30,14,13,11,17,172
W35000124,255,178,14,10,10,8,13,57
W35000125,313,158,30,18,14,10,23,122
W35000126,887,442,77,49,58,45,61,358
W35000127,239,104,12,7,7,6,10,118
W35000128,210,108,15,8,10,7,10,87
W35000129,532,215,25,18,17,9,23,284
W35000130,2594,1378,185,128,119,85,146,997
W35000131,610,252,37,28,28,22,33,315
W35000132,1130,571,55,35,41,25,49,490
W35000133,576,280,40,21,25,12,30,248
W35000134,1156,495,62,47,47,35,53,591
W35000135,1183,642,105,67,64,57,78,421
W35000136,1147,443,55,29,39,20,46,633
W35000137,764,564,102,65,67,53,78,83
W35000138,235,184,35,24,18,15,25,11
W35000139,618,433,96,71,83,67,93,61
W35000140,207,103,27,17,19,14,21,73
W35000141,974,610,98,57,54,36,64,255
W35000142,683,447,139,96,107,73,117,82
W35000143,220,147,32,21,20,11,24,33
W35000144,297,241,34,22,24,20,28,17
W35000145,869,610,143,99,119,84,131,85
W35000146,337,226,64,42,41,29,53,32
W35000147,374,273,56,36,44,35,49,34
W35000148,381,278,49,38,39,29,45,44
W35000149,213,154,32,14,19,13,21,24
W35000150,225,165,41,25,26,19,29,15
W35000151,244,152,59,36,36,29,44,25
W35000152,352,205,70,45,44,31,53,70
W35000153,409,311,58,38,41,31,48,27
W35000154,890,653,147,85,102,80,115,59
W35000155,1197,637,140,109,111,101,121,402
W35000156,892,515,158,114,123,89,137,197
W35000157,448,277,41,29,34,24,41,119
W35000158,864,584,97,49,57,43,61,173
W35000159,1803,1306,138,68,81,57,91,341
W35000160,1123,734,114,68,76,54,83,255
W35000161,528,388,43,26,25,18,32,88
W35000162,447,326,35,20,24,16,28,77
W35000163,581,394,70,29,38,23,44,104
W35000164,1889,1425,181,106,110,72,141,253
W35000165,402,318,44,24,26,19,31,35
W35000166,775,550,107,61,68,45,81,94
W35000167,1924,1480,195,95,102,68,122,230
