GeographyCode,WP201EW0001,WP201EW0002,WP201EW0003,WP201EW0004,WP201EW0005,WP201EW0006,WP201EW0007,WP201EW0008,WP201EW0009,WP201EW0010,WP201EW0011,WP201EW0012,WP201EW0013,WP201EW0014,WP201EW0015,WP201EW0016,WP201EW0017,WP201EW0018,WP201EW0019
E06000011,133512,126207,352,41,4034,200,78,223,154,443,190,124,350,465,281,100,28,100,142
E06000012,71067,67348,188,11,1631,106,37,106,96,339,102,88,244,270,195,46,21,116,123
E06000013,76797,70445,325,32,3344,107,47,116,109,594,331,340,264,293,173,47,26,67,137
E06000014,102927,94014,569,62,3771,192,67,288,262,745,250,224,618,842,466,150,65,109,233
E06000015,123890,102016,1017,71,3973,1133,136,487,329,5091,3613,179,571,1416,1042,1537,299,159,821
E06000016,163224,98897,1244,73,6827,1243,249,907,644,36569,2415,850,1001,4302,3158,1854,648,438,1905
E06000017,18293,16875,117,22,630,47,13,51,35,109,34,16,45,73,90,79,18,6,33
E06000018,174216,137000,1451,97,8425,2786,479,964,819,4895,4670,307,1353,2180,2955,3864,841,363,767
E06000019,87169,79975,351,84,4895,139,50,141,99,361,86,79,173,369,109,76,32,40,110
E06000020,83177,73878,374,28,2972,415,51,210,129,2099,674,127,301,590,494,422,108,38,267
E06000021,114156,103098,330,20,2084,505,114,308,199,1269,2437,220,522,1301,720,377,97,123,432
E06000022,89861,80885,638,39,4018,321,94,323,284,683,130,130,480,610,349,414,116,137,210
E06000023,236098,199159,2073,101,12585,1830,484,1148,1089,3129,2074,687,1449,1895,3031,2732,1364,385,883
E06000024,83584,76999,458,40,3268,256,64,177,146,506,95,138,297,355,313,198,52,64,158
E06000025,141998,126763,804,71,5685,630,169,449,408,1879,516,230,640,872,1124,811,411,169,367
E06000026,121963,114145,537,42,3488,311,126,316,324,481,78,117,431,565,385,230,76,86,225
E06000027,52544,49377,254,13,1454,123,59,136,120,241,37,42,143,301,82,29,19,40,74
E06000028,81141,68781,534,69,5965,291,167,400,373,1017,97,187,737,1135,543,163,70,221,391
E06000029,78847,70643,398,50,4333,186,80,272,230,684,71,183,429,578,272,114,53,70,201
E06000030,108642,92892,914,52,5306,432,148,392,380,3599,486,306,496,1495,746,462,148,91,297
E06000031,101167,80270,635,118,9374,466,227,383,426,2183,2948,94,479,1292,972,573,184,165,378
E06000032,89954,55865,2674,32,6853,822,205,429,458,4532,5996,2394,608,2017,2667,2800,687,422,493
E06000033,72074,62630,535,53,2669,288,144,284,267,949,336,319,468,897,1381,300,175,118,261
E06000034,64202,52980,450,62,3673,291,99,187,189,1190,291,334,319,801,2229,481,233,99,294
E06000035,98648,85107,777,112,3628,352,118,384,298,2815,474,424,478,1156,1315,496,156,130,428
E06000036,59267,48907,603,42,3452,216,99,292,190,1582,468,106,322,1279,901,361,116,87,244
E06000037,87006,76475,725,51,4285,298,93,277,246,1463,382,169,416,628,756,389,97,69,187
E06000038,89115,65362,1287,21,6279,663,177,426,406,3915,2412,223,674,2362,2322,1488,395,205,498
E06000039,74593,39048,1066,61,8084,429,178,447,406,9522,5850,201,586,3280,2242,1350,401,352,1090
E06000040,76112,57112,1056,61,6344,351,129,419,332,3533,2023,242,626,1638,920,501,145,204,476
E06000041,69107,56368,729,65,4135,282,98,344,246,2200,946,134,524,1167,842,454,115,147,311
E06000042,143998,112415,1481,22,9146,769,361,616,707,4774,1632,716,1386,2674,4556,1512,472,208,551
E06000043,134345,109904,1799,92,11186,650,495,996,1002,1521,260,496,909,1578,1304,496,193,658,806
E06000044,109456,97319,565,43,3860,388,228,470,447,1277,167,917,822,1072,870,319,112,168,412
E06000045,112852,93477,778,102,7431,480,291,545,451,2694,780,439,975,1859,1219,467,155,202,507
E06000046,56591,53264,294,38,1403,122,28,157,120,299,37,59,134,386,70,48,16,36,80
E06000047,196872,188463,570,96,3527,324,93,284,226,787,256,262,659,579,273,94,42,131,206
E06000048,123686,119060,339,42,1622,164,65,164,116,507,195,237,351,358,171,66,23,51,155
E06000049,182026,168386,1110,86,5413,586,169,393,276,1369,647,332,718,916,590,370,166,157,342
E06000050,158249,148680,1061,35,4012,361,134,352,292,779,222,321,548,562,365,157,74,100,194
E06000051,145002,136086,701,80,4245,316,62,241,193,763,203,259,386,600,246,209,82,135,195
E06000052,235859,223777,977,201,6359,443,157,501,391,537,80,183,588,770,187,192,61,106,349
E06000053,1299,1213,8,0,70,0,0,2,1,1,0,0,0,2,1,1,0,0,0
E06000054,222448,205178,1071,181,7712,701,210,583,478,1211,181,304,602,1604,936,671,282,142,401
E06000055,74527,57179,801,37,5648,584,157,318,295,3507,974,675,427,975,1109,1190,230,123,298
E06000056,98170,83847,1224,61,4734,467,106,332,266,1766,825,550,581,972,1022,790,172,120,335
E07000004,75310,64233,718,31,3278,356,105,261,221,1141,1586,121,324,982,846,627,159,115,206
E07000005,35476,29416,489,49,2196,111,32,153,111,815,610,103,207,497,295,188,49,37,118
E07000006,33210,24674,491,41,2658,161,53,152,130,1850,663,119,254,777,409,372,88,87,231
E07000007,80986,63553,730,49,4690,644,108,354,296,2081,3401,278,460,1352,862,1414,316,115,283
E07000008,94190,71513,1077,58,11409,304,187,531,539,2161,432,582,1469,1761,866,353,147,253,548
E07000009,31112,27510,205,64,2235,70,50,65,74,150,53,47,119,193,116,44,34,15,68
E07000010,38156,32828,135,104,3597,74,36,78,85,297,127,40,119,248,121,87,43,25,112
E07000011,77355,66832,461,56,5521,210,114,228,286,784,429,179,308,749,486,236,204,63,209
E07000012,74393,63737,657,101,5048,208,99,268,252,1170,197,200,595,710,484,252,78,96,241
E07000026,40513,39182,98,8,693,45,15,41,34,57,17,76,79,79,41,14,7,4,23
E07000027,31302,30237,81,12,370,44,18,37,32,92,34,31,105,106,42,6,8,22,25
E07000028,56652,53771,224,63,1542,72,32,65,50,169,65,102,154,182,64,28,3,32,34
E07000029,34640,33671,95,6,319,36,10,39,19,102,40,43,64,89,34,14,8,14,37
E07000030,28783,27513,102,11,711,32,9,33,22,64,17,41,55,97,33,8,4,7,24
E07000031,52022,49047,173,27,1799,88,29,69,62,145,34,75,115,177,66,55,14,11,36
E07000032,55025,51827,188,15,1229,165,32,103,51,413,167,74,149,176,160,120,27,27,102
E07000033,29342,26984,74,23,1407,69,19,46,33,157,63,17,71,107,144,59,23,11,35
E07000034,51786,48655,208,10,903,161,32,123,69,372,205,55,189,192,285,146,47,52,82
E07000035,36196,34310,138,20,855,74,24,74,50,136,136,19,60,81,81,40,12,12,74
E07000036,42970,39924,224,14,1038,189,21,75,61,459,157,29,138,155,140,212,35,20,79
E07000037,35791,33996,192,3,618,94,24,68,54,104,88,98,131,133,62,49,14,19,44
E07000038,31416,29524,79,13,539,85,24,60,36,263,208,26,103,121,152,85,25,25,48
E07000039,33980,31040,143,18,1039,124,19,71,59,555,236,39,80,176,116,117,30,18,100
E07000040,53997,51247,221,30,1386,105,33,100,77,148,20,44,140,250,62,37,14,25,58
E07000041,83220,76690,437,44,3081,165,83,324,225,428,79,107,409,491,252,96,27,133,149
E07000042,30331,28711,121,26,1045,50,12,38,33,67,7,13,64,60,35,16,4,7,22
E07000043,47704,45416,179,26,1056,123,25,91,53,148,47,37,82,212,59,49,15,29,57
E07000044,43382,41077,173,21,1308,67,36,109,91,90,12,29,62,104,62,42,20,31,48
E07000045,50050,47627,221,50,1213,89,35,79,82,127,21,36,132,170,44,36,12,19,57
E07000046,24610,23807,67,13,381,37,10,43,32,29,21,11,46,42,12,13,2,31,13
E07000047,21560,20712,85,7,466,29,10,35,20,43,5,14,39,54,9,10,3,4,15
E07000048,20702,19012,120,17,879,46,20,59,43,98,11,18,90,138,50,30,6,15,50
E07000049,33977,32080,162,55,921,60,29,64,42,96,19,57,93,129,76,22,12,22,38
E07000050,30265,28274,109,35,1066,55,21,69,40,80,8,46,56,269,63,28,12,7,27
E07000051,20220,19148,87,15,570,24,17,45,39,41,5,25,43,75,35,16,8,6,21
E07000052,52101,49304,231,33,1431,88,40,103,81,178,44,42,95,237,77,30,14,32,41
E07000053,21283,20009,97,16,513,61,25,40,41,54,7,39,89,110,91,43,9,3,36
E07000061,43881,38023,393,19,2924,119,77,168,161,413,45,96,246,585,250,87,48,72,155
E07000062,36828,32808,278,21,1461,180,60,187,151,316,42,105,163,485,235,95,44,57,140
E07000063,40055,36576,316,22,1637,98,40,166,131,200,30,81,150,266,141,58,17,28,98
E07000064,32090,29699,180,20,982,82,39,101,82,154,13,51,114,278,137,46,18,29,65
E07000065,55601,51285,329,64,2170,89,37,153,118,292,33,109,175,383,137,64,18,41,104
E07000066,82802,73005,631,127,2375,329,95,237,240,1445,309,252,376,940,1462,440,182,85,272
E07000067,57625,52575,390,44,2276,166,47,169,158,357,69,121,189,489,237,148,40,36,114
E07000068,33868,29260,377,45,1265,100,52,122,98,612,148,180,175,448,526,222,74,32,132
E07000069,25388,23567,142,25,454,70,23,61,36,236,45,82,117,158,181,51,55,13,72
E07000070,82621,74253,717,52,2568,278,105,245,215,1076,279,249,344,668,839,284,98,117,234
E07000071,83688,74811,565,23,3169,298,117,309,290,701,174,167,455,1080,733,288,84,121,303
E07000072,47610,38906,592,58,2741,230,85,175,210,1127,366,277,232,622,880,517,180,81,331
E07000073,39814,33092,429,24,2041,163,58,171,121,818,302,209,298,537,901,292,112,84,162
E07000074,23037,21694,114,32,565,42,10,40,45,89,20,50,59,98,79,40,10,12,38
E07000075,26660,24813,172,26,503,70,20,72,58,190,43,56,98,152,192,65,57,21,52
E07000076,44323,41491,245,17,1042,149,45,101,83,217,32,72,186,292,166,59,35,16,75
E07000077,40286,35301,375,40,2632,96,57,137,114,304,97,146,139,292,222,134,42,42,116
E07000078,63483,56564,480,25,3231,240,71,202,195,880,128,121,256,437,233,189,47,51,133
E07000079,43391,40255,230,26,1659,92,33,93,79,217,31,32,110,235,134,65,38,9,53
E07000080,30458,28939,107,25,729,54,26,47,33,120,14,47,64,81,75,49,19,5,24
E07000081,63844,56553,425,33,2136,524,57,198,205,1184,195,154,237,469,429,714,188,43,100
E07000082,50092,46441,284,19,1917,134,38,126,97,246,44,35,136,215,130,120,39,17,54
E07000083,46180,42248,221,61,1975,145,32,99,96,425,72,62,113,193,147,164,40,22,65
E07000084,84821,73193,643,56,4506,349,104,278,245,1399,303,167,716,1337,754,317,124,99,231
E07000085,48214,43728,261,76,1922,107,40,136,124,362,42,100,193,568,328,51,21,48,107
E07000086,64219,58073,279,57,2370,150,121,182,165,995,169,159,313,466,294,128,39,64,195
E07000087,51004,47450,229,27,1420,126,53,144,95,414,43,108,224,234,221,85,15,35,81
E07000088,26652,24902,97,13,580,68,33,92,85,195,8,70,117,130,117,57,23,16,49
E07000089,40079,34957,281,54,1955,110,45,170,119,590,147,107,225,758,246,143,34,40,98
E07000090,46667,43615,189,20,1071,131,51,148,112,326,51,125,199,246,206,41,36,22,78
E07000091,75620,69898,374,88,2698,147,70,195,160,364,55,149,231,469,311,129,71,50,161
E07000092,49880,41296,392,50,2166,212,91,217,166,922,309,95,324,2395,553,317,83,64,228
E07000093,57602,52518,256,49,2414,153,83,172,136,442,63,95,239,439,236,106,45,37,119
E07000094,75566,68431,466,85,2995,150,79,280,221,812,139,154,311,669,345,146,48,68,167
E07000095,38867,31024,556,28,3274,177,48,148,174,622,179,176,178,463,843,463,157,78,279
E07000096,66247,54697,860,40,3500,280,98,264,241,1693,1027,296,419,841,1000,495,135,102,259
E07000097,58180,51546,605,43,2529,191,51,183,153,711,159,193,292,440,524,275,81,68,136
E07000098,46377,33003,976,29,4257,229,106,261,272,2319,393,212,435,1358,1272,463,215,124,453
E07000099,52441,44825,518,17,2158,322,52,207,150,1406,230,198,328,656,416,558,119,48,233
E07000100,61531,48029,1081,28,4315,353,127,360,283,1628,699,720,506,1102,1055,583,178,181,303
E07000101,44839,36842,505,23,1903,274,97,207,152,1296,375,263,373,804,844,482,134,73,192
E07000102,35393,26976,722,11,2513,135,51,180,147,1996,350,123,287,728,459,356,110,66,183
E07000103,51469,34016,1119,19,3851,365,131,302,289,3690,1775,252,400,1866,1707,892,265,174,356
E07000104,68426,52242,1020,31,5524,310,137,326,310,2313,636,385,583,1289,1864,655,247,167,387
E07000105,54618,48599,363,124,2277,181,64,152,132,552,65,101,175,1074,350,165,55,63,126
E07000106,66713,59165,497,81,3434,207,73,225,222,627,101,132,323,701,438,156,52,66,213
E07000107,54972,44059,517,71,2990,269,95,225,221,1923,230,223,282,1078,1648,453,162,86,440
E07000108,43282,39533,244,49,1799,109,33,99,61,292,37,100,152,403,129,79,25,35,103
E07000109,32015,25580,259,50,1545,102,44,139,106,2146,125,132,153,495,496,165,69,13,396
E07000110,76795,67733,520,195,3457,205,104,276,208,952,203,194,245,1304,540,255,84,86,234
E07000111,46402,41456,363,75,2004,125,52,169,111,459,62,132,222,437,332,155,67,47,134
E07000112,44250,39432,271,50,1599,111,38,111,111,268,43,114,156,1530,161,62,20,28,145
E07000113,52439,47463,305,146,2346,113,43,133,102,544,90,118,142,268,328,117,27,25,129
E07000114,47538,42833,301,35,2069,184,45,148,135,449,99,92,190,449,211,80,29,52,137
E07000115,60126,54402,387,92,2406,160,58,184,127,645,101,157,204,516,292,131,56,58,150
E07000116,54985,48394,425,68,3197,140,58,228,182,521,89,278,227,541,245,129,61,62,140
E07000117,37472,32760,218,8,634,68,31,130,73,317,2138,393,150,314,53,48,7,50,80
E07000118,41674,38976,206,16,793,137,26,82,70,462,261,78,129,141,87,97,14,40,59
E07000119,42934,40044,221,11,1103,114,24,83,86,484,142,37,189,142,58,49,35,50,62
E07000120,31172,27239,183,18,628,68,13,67,41,471,1851,120,151,141,41,33,8,48,51
E07000121,58893,54384,341,99,2051,127,44,138,111,502,122,50,284,250,206,62,14,46,62
E07000122,34602,29665,165,10,931,56,18,115,42,165,2823,144,133,180,36,28,10,26,55
E07000123,87088,73826,586,26,2364,519,93,278,161,5336,1702,156,398,496,317,396,77,128,229
E07000124,29815,27600,141,5,845,61,25,57,28,265,385,55,74,96,64,28,14,21,51
E07000125,24266,22282,170,4,507,52,18,45,21,139,460,227,124,99,42,30,6,18,22
E07000126,49069,45038,294,7,1526,182,31,106,77,802,283,80,140,192,79,100,26,35,71
E07000127,49510,45974,241,2,1926,124,53,57,76,356,97,36,150,157,99,29,15,42,76
E07000128,37730,36104,159,31,578,77,17,56,44,187,72,43,99,134,41,22,10,14,42
E07000129,51967,42741,279,21,1619,305,51,174,135,4542,260,97,208,489,408,306,73,47,212
E07000130,67856,57744,414,30,2011,223,71,211,135,4298,260,459,454,602,363,233,52,71,225
E07000131,42180,36577,269,22,1903,154,24,113,84,1722,124,86,117,300,289,134,49,40,173
E07000132,42514,38798,182,32,1027,113,23,87,66,1240,111,102,137,236,146,92,19,27,76
E07000133,22107,19942,103,5,885,58,8,38,34,568,30,26,74,157,76,38,23,10,32
E07000134,53711,48538,246,22,1867,186,38,121,66,1215,259,89,135,326,185,189,48,31,150
E07000135,21125,15532,149,4,596,94,21,94,46,3237,225,84,97,358,197,126,36,37,192
E07000136,31094,25715,81,12,4264,59,31,60,105,238,64,37,70,126,104,31,19,26,52
E07000137,51693,49223,164,20,1266,136,45,65,51,164,42,67,102,123,105,56,15,13,36
E07000138,55050,51016,352,18,1678,162,62,130,132,360,92,62,216,240,240,94,34,75,87
E07000139,45839,42634,199,18,1966,95,33,81,92,155,33,38,91,136,94,56,49,16,53
E07000140,38861,31659,107,34,5875,71,50,93,101,215,83,30,111,161,107,33,29,23,79
E07000141,57223,52148,245,37,2885,131,37,103,103,370,162,44,219,322,180,84,34,32,87
E07000142,31075,29641,116,31,679,64,9,50,42,136,18,32,54,75,51,29,14,13,21
E07000143,50487,45362,229,45,3419,112,58,108,136,187,38,52,115,203,140,102,71,17,93
E07000144,47264,44387,158,18,1282,82,49,94,80,297,25,51,127,249,216,29,17,25,78
E07000145,39960,37207,155,15,1198,91,60,108,71,285,51,21,104,255,124,40,31,45,99
E07000146,63513,57956,214,57,3409,124,62,112,114,419,65,45,208,333,159,59,59,30,88
E07000147,39632,37590,103,19,1267,69,23,70,65,73,15,33,79,137,23,26,10,7,23
E07000148,89224,80901,438,29,3804,259,177,339,340,650,84,188,426,603,487,161,67,83,188
E07000149,54367,50431,233,29,1752,109,49,142,105,382,62,40,164,464,216,49,21,53,66
E07000150,30883,25670,349,6,3469,78,35,74,84,433,72,50,70,123,195,71,29,14,61
E07000151,38650,33334,280,11,2636,138,39,87,86,784,135,71,116,225,345,184,61,29,89
E07000152,31128,27769,200,13,1592,109,40,68,116,406,65,63,94,175,181,99,41,18,79
E07000153,42290,36614,316,28,2298,146,52,113,88,1022,108,72,144,352,497,191,54,58,137
E07000154,118778,94665,1354,35,8320,953,266,473,441,3787,706,823,622,945,2644,1574,489,170,511
E07000155,34323,30445,265,9,1803,98,46,90,91,404,150,79,137,212,184,125,85,24,76
E07000156,34351,28596,268,18,2175,265,53,99,111,1033,153,132,107,188,429,421,181,45,77
E07000163,27277,25424,109,14,674,45,16,38,35,119,377,92,48,132,69,32,9,14,30
E07000164,48641,46016,195,38,1278,87,24,95,75,195,96,49,86,137,108,43,23,27,69
E07000165,82129,73977,372,30,4162,199,95,250,175,476,262,131,333,519,491,121,227,82,227
E07000166,27802,25751,107,20,558,82,36,47,66,61,47,52,52,486,198,62,101,7,69
E07000167,25988,24479,109,29,944,33,15,29,21,41,20,30,55,78,50,15,5,9,26
E07000168,46119,43691,127,15,1073,69,30,85,79,199,81,44,149,230,101,20,16,60,50
E07000169,35476,32741,95,25,1776,79,16,57,35,108,62,59,96,100,133,34,11,10,39
E07000170,53093,49395,222,12,1302,197,34,90,80,587,163,34,155,232,223,217,43,40,67
E07000171,51829,47858,169,38,2210,149,27,64,95,272,167,31,111,187,151,120,32,53,95
E07000172,38833,34672,213,8,1091,283,56,109,91,689,311,26,238,286,244,313,57,51,95
E07000173,36897,32992,251,6,1035,337,56,123,86,478,315,27,161,191,242,371,89,21,116
E07000174,40987,38294,171,3,1250,166,25,73,57,295,70,55,118,104,78,126,34,19,49
E07000175,50938,46320,247,63,2654,179,31,132,78,284,126,55,148,141,153,181,32,25,89
E07000176,45942,40932,339,15,1241,336,38,189,76,869,436,40,210,312,284,359,81,54,131
E07000177,71803,62547,512,38,3951,238,100,229,244,920,834,111,295,537,524,317,132,62,212
E07000178,99423,72363,1424,31,11642,507,217,557,572,2602,1729,501,1241,2027,1925,1004,292,305,484
E07000179,61683,54070,529,17,3631,202,63,231,175,615,277,108,250,581,429,226,89,50,140
E07000180,62253,54797,530,27,3306,149,60,195,174,684,250,124,350,550,553,205,93,61,145
E07000181,48222,43958,316,54,2155,132,42,118,113,284,102,76,176,315,181,79,30,21,70
E07000187,49267,46118,240,48,1814,94,44,97,90,148,19,38,113,205,85,52,21,11,30
E07000188,46639,43747,162,39,1857,96,23,73,77,91,22,67,88,148,47,32,11,11,48
E07000189,77724,73184,267,31,2685,100,68,128,93,232,45,60,184,320,124,68,25,24,86
E07000190,59898,55842,261,63,2127,123,91,118,110,219,38,67,176,371,118,47,23,33,71
E07000191,14929,13960,61,6,619,32,15,24,18,29,10,13,23,74,14,11,4,7,9
E07000192,38814,36636,167,9,511,131,19,42,42,426,121,125,91,148,96,132,40,14,64
E07000193,59222,52453,281,16,2242,249,33,122,86,816,1484,105,159,397,199,280,77,44,179
E07000194,44755,41016,226,7,1415,176,29,84,49,518,248,141,148,186,148,208,58,18,80
E07000195,49280,45442,154,14,1180,201,37,104,109,448,364,83,221,424,210,97,37,36,119
E07000196,36453,33155,149,34,718,226,13,89,43,852,138,77,118,209,148,274,76,20,114
E07000197,67178,61532,314,33,1518,295,53,116,107,895,299,128,254,567,386,334,95,67,185
E07000198,34851,33325,102,15,526,74,24,41,44,143,127,44,77,130,83,37,12,8,39
E07000199,30315,28137,158,9,684,117,25,51,28,406,101,69,93,102,76,162,30,15,52
E07000200,35722,33227,179,21,1272,99,31,60,80,127,13,64,91,150,105,84,25,17,77
E07000201,32904,24621,323,45,5348,104,83,149,323,209,78,47,95,304,200,131,480,20,344
E07000202,71601,62949,355,36,2974,671,156,235,290,799,117,397,305,657,433,648,211,78,290
E07000203,41665,38528,163,22,1688,136,36,77,97,140,25,48,70,198,161,114,43,11,108
E07000204,58400,52866,348,32,3095,134,83,130,139,359,60,76,172,348,236,108,75,32,107
E07000205,54351,50095,241,14,1787,185,60,123,144,569,44,99,214,265,191,153,43,18,106
E07000206,44953,42285,169,16,1372,101,64,113,109,94,36,52,115,182,107,34,31,9,64
E07000207,56375,43675,832,47,5412,197,112,346,278,1447,405,210,485,1408,631,252,106,190,342
E07000208,30223,23454,496,24,1901,141,71,221,158,810,196,178,300,1111,450,227,82,141,262
E07000209,77684,64749,728,114,5169,227,113,435,338,1276,437,190,645,1505,740,283,104,187,444
E07000210,46437,39064,505,44,2864,108,65,187,167,904,255,135,308,838,428,195,57,119,194
E07000211,67831,55171,851,58,3753,305,127,377,337,1682,561,224,533,1464,1195,561,183,159,290
E07000212,49802,37357,686,67,4307,168,101,255,246,2440,490,143,493,1529,597,313,111,177,322
E07000213,41012,31000,640,39,2827,188,101,261,186,2239,440,168,367,1094,589,295,95,158,325
E07000214,43918,35930,387,42,2454,165,71,212,142,985,342,148,267,1631,507,214,69,99,253
E07000215,33114,28478,408,59,1553,139,54,185,122,413,110,70,107,537,384,210,111,39,135
E07000216,52153,45845,420,56,2898,136,68,231,156,444,136,120,268,675,305,121,41,65,168
E07000217,44230,33924,530,38,3594,137,90,248,234,1138,1458,177,358,1004,589,220,70,166,255
E07000218,39558,35076,288,17,1361,179,27,70,48,811,421,95,81,329,238,311,79,45,82
E07000219,45300,39279,311,15,1259,168,24,99,45,2292,273,86,125,503,333,199,67,37,185
E07000220,47452,40005,444,33,2611,240,45,154,97,1623,252,104,240,537,449,347,74,45,152
E07000221,63398,56784,455,35,3085,213,41,167,112,896,267,142,201,345,233,193,54,34,141
E07000222,77726,65183,985,20,3280,316,74,283,196,3939,528,181,360,809,517,394,91,82,488
E07000223,22179,20164,167,25,819,57,40,74,68,159,29,92,105,164,83,30,8,42,53
E07000224,49092,43919,261,45,3082,99,45,119,96,291,47,143,174,371,162,72,30,46,90
E07000225,61226,55014,363,77,3338,156,61,192,154,416,48,119,201,502,267,107,51,56,104
E07000226,79370,62272,790,38,5937,325,194,415,375,2921,1481,221,445,1357,1100,530,364,216,389
E07000227,56174,50380,387,42,2696,100,73,192,143,553,119,97,235,607,240,97,42,48,123
E07000228,60745,53322,489,36,3205,133,76,212,204,930,134,194,262,763,357,151,63,66,148
E07000229,49415,43922,399,44,1927,129,92,212,136,487,116,165,247,809,343,111,45,94,137
E07000234,39055,35397,344,19,933,219,26,111,67,537,312,123,134,219,146,283,58,39,88
E07000235,31181,28939,123,27,1139,79,19,51,36,212,97,61,86,145,48,38,7,9,65
E07000236,39031,34105,289,9,1671,294,22,99,83,619,780,103,110,216,158,262,83,41,87
E07000237,53214,48453,305,22,1648,160,38,139,92,571,563,146,182,411,148,161,42,32,101
E07000238,54092,48859,249,95,2915,132,29,98,93,533,204,87,119,281,83,116,31,31,137
E07000239,37393,35223,155,55,732,122,17,78,63,256,81,128,95,165,59,84,12,8,60
E08000001,114946,97328,675,33,2433,479,153,408,222,6744,2907,285,589,905,821,283,111,182,388
E08000002,73437,63646,812,32,1998,349,112,202,169,900,2633,256,455,585,581,248,96,99,264
E08000003,319745,240648,5807,128,15214,2621,1279,1653,1552,7447,14843,1970,4639,3910,7726,4357,2184,1695,2072
E08000004,89047,74113,680,19,1854,547,144,265,149,1078,5232,2323,483,688,662,378,137,82,213
E08000005,79184,66535,716,28,2089,332,137,269,151,624,5239,750,364,755,570,222,109,105,189
E08000006,113752,96873,1477,60,4502,560,282,371,355,1887,1685,403,883,942,1713,656,300,314,489
E08000007,125903,111415,1587,21,2736,580,255,353,329,1456,2404,652,777,915,957,586,241,267,372
E08000008,79528,70926,615,18,1692,313,104,195,135,1361,1530,778,440,380,485,201,136,101,118
E08000009,129951,108788,2005,22,5238,900,336,422,444,2291,2775,460,1114,963,1450,1435,455,362,491
E08000010,117725,110763,553,24,2158,284,97,203,149,854,452,233,463,474,455,164,66,117,216
E08000011,57202,54008,427,6,723,183,121,102,136,417,105,29,221,230,238,84,42,79,51
E08000012,235801,209337,3048,43,6665,1141,939,831,916,2430,815,328,2199,1390,2623,592,574,1099,831
E08000013,64928,61669,318,10,1071,141,51,82,78,305,139,146,266,268,176,61,26,61,60
E08000014,102777,96364,848,20,2167,256,131,254,233,481,127,126,493,386,354,105,52,153,227
E08000015,112249,105643,981,16,1773,254,143,259,248,688,134,248,700,517,244,85,56,87,173
E08000016,82962,78422,219,27,1804,197,38,117,127,423,329,104,239,245,309,102,34,93,133
E08000017,127557,117295,491,116,4193,405,81,253,186,937,928,113,482,697,509,364,91,112,304
E08000018,107716,99745,334,34,2087,251,69,202,148,718,1910,78,297,483,571,215,87,203,284
E08000019,261340,228356,1355,74,6494,1399,348,941,770,2630,5920,801,1580,1779,3343,2361,728,1280,1181
